"Median Monthly Basic Pay and Allowance of Time-Rate Workers on Full-Time Basis by Industry, 2014 to 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__OWS/0041B3E1040.px/table/tableViewLayout1/?rxid=5e57853f-ceff-4449-9333-678a00dfce43"
"Sex";"Industries";"Basic Pay/Allowance";"2014";"2016";"2018";"2020";"2022"
"Both Sexes";"Manufacture of Textiles";"Median Allowances";393;428;433;1531;1054
"Both Sexes";"Manufacture of Wearing Apparel";"Median Basic Pay";8709;8664;10249;10189;11418
"Both Sexes";"Manufacture of Wearing Apparel";"Median Allowances";508;448;877;1172;1286
"Both Sexes";"Manufacture of Leather and Related Products";"Median Basic Pay";8825;8799;10652;10800;11626
"Both Sexes";"Manufacture of Leather and Related Products";"Median Allowances";443;488;669;1225;1240
"Both Sexes";"Sawmilling and Planing of Wood";"Median Basic Pay";8973;12064;9592;13824;13000
"Both Sexes";"Sawmilling and Planing of Wood";"Median Allowances";401;384;959;3201;1378
"Both Sexes";"Manufacture of Products of Wood, Cork, Straw and Plaiting Materials";"Median Basic Pay";8342;8202;9846;10135;11187
"Both Sexes";"Manufacture of Products of Wood, Cork, Straw and Plaiting Materials";"Median Allowances";558;498;468;1467;1220
"Both Sexes";"Manufacture of Paper and Paper Products";"Median Basic Pay";11878;12024;13374;12932;14252
"Both Sexes";"Manufacture of Paper and Paper Products";"Median Allowances";453;414;487;1092;1301
"Both Sexes";"Printing and Reproduction of Recorded Media";"Median Basic Pay";12374;11627;13221;13889;11974
"Both Sexes";"Printing and Reproduction of Recorded Media";"Median Allowances";439;408;619;2109;2496
"Both Sexes";"Manufacture of Coke and Refined Petroleum Products";"Median Basic Pay";25259;27124;33026;14347;16448
"Both Sexes";"Manufacture of Coke and Refined Petroleum Products";"Median Allowances";5119;5079;5117;2597;1991
"Both Sexes";"Manufacture of Chemicals and Chemical Products";"Median Basic Pay";12536;14427;14251;13331;15234
"Both Sexes";"Manufacture of Chemicals and Chemical Products";"Median Allowances";1010;1197;1508;925;1875
"Both Sexes";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparation";"Median Basic Pay";16347;16035;13465;14641;14489
"Both Sexes";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparation";"Median Allowances";711;1262;1709;2838;1925
"Both Sexes";"Manufacture of Rubber Products";"Median Basic Pay";10443;10729;11462;10592;12042
"Both Sexes";"Manufacture of Rubber Products";"Median Allowances";1213;996;1058;922;2095
"Both Sexes";"Manufacture of Plastic Products";"Median Basic Pay";9258;11299;13153;13328;13721
"Both Sexes";"Manufacture of Plastic Products";"Median Allowances";569;428;646;1070;1988
"Both Sexes";"Manufacture of Other Non-Metallic Mineral Products";"Median Basic Pay";12465;10629;10914;13087;12380
"Both Sexes";"Manufacture of Other Non-Metallic Mineral Products";"Median Allowances";694;457;1068;1796;890
"Both Sexes";"Manufacture of Basic Metals";"Median Basic Pay";12915;12157;13474;14500;14435
"Both Sexes";"Manufacture of Basic Metals";"Median Allowances";499;838;1250;2555;2611
"Both Sexes";"Manufacture of Fabricated Metal Products except Machinery and Equipment";"Median Basic Pay";10834;10310;12267;12065;13777
"Both Sexes";"Manufacture of Fabricated Metal Products except Machinery and Equipment";"Median Allowances";637;528;570;1470;1670
"Both Sexes";"Manufacture of Computer, Electronic and Optical Products";"Median Basic Pay";8921;10192;10854;10903;12030
"Both Sexes";"Manufacture of Computer, Electronic and Optical Products";"Median Allowances";1030;926;1373;2456;2324
"Both Sexes";"Manufacture of Electrical Equipment";"Median Basic Pay";9246;9319;10601;10875;11818
"Both Sexes";"Manufacture of Electrical Equipment";"Median Allowances";745;482;1146;2263;1260
"Both Sexes";"Manufacture of Machinery and Equipment, n.e.c.";"Median Basic Pay";9645;10174;10971;14232;11689
"Both Sexes";"Manufacture of Machinery and Equipment, n.e.c.";"Median Allowances";809;1575;705;1385;5069
"Both Sexes";"Manufacture of Motor Vehicles, Trailers and Semi-Trailers";"Median Basic Pay";9657;10682;10695;11496;14172
"Both Sexes";"Manufacture of Motor Vehicles, Trailers and Semi-Trailers";"Median Allowances";749;1011;1176;1301;1812
"Both Sexes";"Manufacture of Other Transport Equipment except Building of Ships and Boats";"Median Basic Pay";14339;11711;13115;10875;12422
"Both Sexes";"Manufacture of Other Transport Equipment except Building of Ships and Boats";"Median Allowances";1136;1147;1230;2379;2556
"Both Sexes";"Building of Ships and Boats";"Median Basic Pay";9907;10055;13049;12821;14715
"Both Sexes";"Building of Ships and Boats";"Median Allowances";1525;1045;1140;3790;4237
"Both Sexes";"Manufacture of Furniture";"Median Basic Pay";9346;9392;10906;11084;12950
"Both Sexes";"Manufacture of Furniture";"Median Allowances";454;708;823;1139;1410
"Both Sexes";"Other Manufacturing; Repair and Installation of Machinery and Equipment";"Median Basic Pay";9552;9735;10622;11861;13445
"Both Sexes";"Other Manufacturing; Repair and Installation of Machinery and Equipment";"Median Allowances";622;686;923;2843;2348
"Both Sexes";"Electricity, Gas, Steam and Air Conditioning Supply";"Median Basic Pay";17961;20400;24627;27253;29928
"Both Sexes";"Electricity, Gas, Steam and Air Conditioning Supply";"Median Allowances";3070;3125;3219;3848;3276
"Both Sexes";"Water Supply; Sewerage, Waste Management and Remediation Activities";"Median Basic Pay";12720;13478;15356;15242;15909
"Both Sexes";"Water Supply; Sewerage, Waste Management and Remediation Activities";"Median Allowances";2196;2173;2198;2299;2312
"Both Sexes";"Water Collection, Treatment and Supply";"Median Basic Pay";12912;13643;15601;15627;16979
"Both Sexes";"Water Collection, Treatment and Supply";"Median Allowances";2202;2174;2198;2291;2315
"Both Sexes";"Sewerage; Waste Collection, Treatment and Disposal Activities; Materials Recovery; Remediation Activities and Other Waste Management Services";"Median Basic Pay";12074;12092;13889;13857;14199
"Both Sexes";"Sewerage; Waste Collection, Treatment and Disposal Activities; Materials Recovery; Remediation Activities and Other Waste Management Services";"Median Allowances";588;2077;2507;5271;1926
"Both Sexes";"Construction";"Median Basic Pay";11486;11612;13611;13800;14359
"Both Sexes";"Construction";"Median Allowances";536;468;838;2650;1626
"Both Sexes";"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Median Basic Pay";11288;11396;13299;12592;13198
"Both Sexes";"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Median Allowances";484;476;939;2106;1810
"Both Sexes";"Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles";"Median Basic Pay";12024;11774;13262;13025;13819
"Both Sexes";"Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles";"Median Allowances";467;457;1025;2118;1952
"Both Sexes";"Wholesale Trade except of Motor Vehicles and Motorcycles";"Median Basic Pay";11964;12639;13866;13674;14735
"Both Sexes";"Wholesale Trade except of Motor Vehicles and Motorcycles";"Median Allowances";660;1100;1368;2882;2077
"Both Sexes";"Retail Trade except of Motor Vehicles and Motorcycles";"Median Basic Pay";9430;9082;11878;11206;11797
"Both Sexes";"Retail Trade except of Motor Vehicles and Motorcycles";"Median Allowances";469;402;481;1452;1442
"Both Sexes";"Transportation and Storage";"Median Basic Pay";12479;12665;13623;14252;15134
"Both Sexes";"Transportation and Storage";"Median Allowances";730;1005;1309;2548;2005
"Both Sexes";"Land Transport and Transport via Pipelines except  Transport via Buses";"Median Basic Pay";11822;12031;13399;10955;13878
"Both Sexes";"Land Transport and Transport via Pipelines except  Transport via Buses";"Median Allowances";1387;687;1372;2519;2570
"Both Sexes";"Transport via Buses";"Median Basic Pay";11043;10959;10940;11338;12987
"Both Sexes";"Transport via Buses";"Median Allowances";451;1114;1184;1750;1226
"Both Sexes";"Water Transport";"Median Basic Pay";15407;14378;13767;14648;16154
"Both Sexes";"Water Transport";"Median Allowances";3128;2611;2234;3312;1460
"Both Sexes";"Air Transport";"Median Basic Pay";22399;18839;18791;26281;23408
"Both Sexes";"Air Transport";"Median Allowances";5071;5091;4197;1938;5323
"Both Sexes";"Warehousing and Support Activities for Transportation";"Median Basic Pay";12766;13284;13823;15548;15393
"Both Sexes";"Warehousing and Support Activities for Transportation";"Median Allowances";640;794;1075;2261;1967
"Both Sexes";"Postal and Courier Activities";"Median Basic Pay";14538;12622;13284;14948;15178
"Both Sexes";"Postal and Courier Activities";"Median Allowances";936;926;697;6383;1281
"Both Sexes";"Accommodation and Food Service Activities";"Median Basic Pay";11337;10339;12216;11806;12921
"Both Sexes";"Accommodation and Food Service Activities";"Median Allowances";517;509;1023;1311;1671
"Both Sexes";"Information and Communications";"Median Basic Pay";22262;21399;25261;24469;25988
"Both Sexes";"Information and Communications";"Median Allowances";2004;2012;1882;2794;2445
"Both Sexes";"Publishing Activities";"Median Basic Pay";15648;19267;19784;21394;22019
"Both Sexes";"Publishing Activities";"Median Allowances";2495;2517;2611;3211;3267
"Both Sexes";"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities except Animated Films and Cartoons Production; Programming and Broadcasting Activities";"Median Basic Pay";20316;21377;18057;20848;21801
"Both Sexes";"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities except Animated Films and Cartoons Production; Programming and Broadcasting Activities";"Median Allowances";674;484;529;939;866
"Both Sexes";"Animated Films and Cartoons Production";"Median Basic Pay";17166;13699;23690;20105;24464
"Both Sexes";"Animated Films and Cartoons Production";"Median Allowances";1687;375;2592;2277;5184
"Both Sexes";"Telecommunications";"Median Basic Pay";25048;18176;31509;16200;22816
"Both Sexes";"Telecommunications";"Median Allowances";1966;1914;1746;3633;2267
"Both Sexes";"Computer Programming, Consultancy and Related Activities; Information Service Activities";"Median Basic Pay";23948;23481;25313;26734;.
"Both Sexes";"Computer Programming, Consultancy and Related Activities; Information Service Activities";"Median Allowances";2087;2142;2645;2777;.
"Both Sexes";"Computer Programming, Consultancy and Related Activities";"Median Basic Pay";.;.;.;.;33605
"Both Sexes";"Computer Programming, Consultancy and Related Activities";"Median Allowances";.;.;.;.;2960
"Both Sexes";"Information Service Activities";"Median Basic Pay";.;.;.;.;17854
"Both Sexes";"Information Service Activities";"Median Allowances";.;.;.;.;2671
"Both Sexes";"Financial and Insurance Activities";"Median Basic Pay";15400;16820;18486;15986;17155
"Both Sexes";"Financial and Insurance Activities";"Median Allowances";1568;1670;2471;2673;2373
"Both Sexes";"Financial Service Activities except Insurance, Pension Funding and Central Banking";"Median Basic Pay";14804;16125;17673;15289;15978
"Both Sexes";"Financial Service Activities except Insurance, Pension Funding and Central Banking";"Median Allowances";1560;1667;2772;2214;2232
"Both Sexes";"Insurance, Reinsurance and Pension Funding except Compulsory Social Security";"Median Basic Pay";18780;21732;21647;22767;27915
"Both Sexes";"Insurance, Reinsurance and Pension Funding except Compulsory Social Security";"Median Allowances";1830;1959;2350;6900;4149
"Both Sexes";"Activities Auxiliary to Financial Service and Insurance Activities";"Median Basic Pay";18666;17173;20239;18735;19408
"Both Sexes";"Activities Auxiliary to Financial Service and Insurance Activities";"Median Allowances";1487;1233;2028;4900;3454
"Both Sexes";"Real Estate Activities";"Median Basic Pay";14795;15892;17989;16238;19173
"Both Sexes";"Real Estate Activities";"Median Allowances";1298;2028;2140;1993;2070
"Both Sexes";"Professional, Scientific and Technical Activities";"Median Basic Pay";17612;19576;19263;19596;22463
"Both Sexes";"Professional, Scientific and Technical Activities";"Median Allowances";2001;2153;2373;2956;3206
"Both Sexes";"Professional, Scientific and Technical Activities except Accounting, Architectural and Engineering Activities";"Median Basic Pay";18073;22498;19547;22152;20672
"Both Sexes";"Professional, Scientific and Technical Activities except Accounting, Architectural and Engineering Activities";"Median Allowances";1674;1602;2199;3741;2910
"Both Sexes";"Accounting, Bookkeeping and Auditing Activities; Tax Consultancy";"Median Basic Pay";14868;18023;18437;19882;23768
"Both Sexes";"Accounting, Bookkeeping and Auditing Activities; Tax Consultancy";"Median Allowances";1730;2751;4447;2945;3090
"Both Sexes";"Architectural and Engineering Activities and Related Technical Consultancy";"Median Basic Pay";18889;17306;19146;16425;23990
"Both Sexes";"Architectural and Engineering Activities and Related Technical Consultancy";"Median Allowances";3068;2670;2442;2717;3343
"Both Sexes";"Administrative and Support Service Activities";"Median Basic Pay";12384;13210;13916;13750;14836
"Both Sexes";"Administrative and Support Service Activities";"Median Allowances";1623;2053;2130;2668;2789
"Both Sexes";"Rental and Leasing Activities; Security and Investigation Activities; Services to Buildings and Landscape Activities";"Median Basic Pay";11219;11158;13146;13153;14184
"Both Sexes";"Rental and Leasing Activities; Security and Investigation Activities; Services to Buildings and Landscape Activities";"Median Allowances";395;398;400;1649;1642
"Both Sexes";"Employment Activities";"Median Basic Pay";9131;8879;10865;11086;11964
"Both Sexes";"Employment Activities";"Median Allowances";444;369;410;1240;5178
"Both Sexes";"Travel Agency, Tour Operator, Reservation Service and Related Activities";"Median Basic Pay";13957;16652;16904;17528;17269
"Both Sexes";"Travel Agency, Tour Operator, Reservation Service and Related Activities";"Median Allowances";2120;1931;3027;2304;3200
"Both Sexes";"Office Administrative, Office Support and Other Business Support Activities except Call Center Activities (Voice) and Medical Transcription Activities";"Median Basic Pay";13729;17128;15142;15006;21959
"Both Sexes";"Office Administrative, Office Support and Other Business Support Activities except Call Center Activities (Voice) and Medical Transcription Activities";"Median Allowances";1706;2225;3645;2437;2611
"Both Sexes";"Call Center Activities (Voice)";"Median Basic Pay";16254;17144;18038;17565;18010
"Both Sexes";"Call Center Activities (Voice)";"Median Allowances";2500;2430;2429;2759;2690
"Both Sexes";"Back-Office Operations Activities (Non-Voice) except Medical Transcription Activities";"Median Basic Pay";.;.;18681;23892;20571
"Both Sexes";"Back-Office Operations Activities (Non-Voice) except Medical Transcription Activities";"Median Allowances";.;.;3554;4276;3669
"Both Sexes";"Medical Transcription Activities";"Median Basic Pay";14200;13028;15589;15086;25168
"Both Sexes";"Medical Transcription Activities";"Median Allowances";2521;1375;2185;9727;4459
"Both Sexes";"Education Except Public Education";"Median Basic Pay";12766;13967;14506;15228;15731
"Both Sexes";"Education Except Public Education";"Median Allowances";1511;1593;1728;1955;2043
"Both Sexes";"Human Health and Social Work Activities";"Median Basic Pay";10856;11434;13411;14721;15885
"Both Sexes";"Human Health and Social Work Activities";"Median Allowances";885;1053;1547;1973;2185
"Both Sexes";"Human Health Activities except Public Health Activities";"Median Basic Pay";10624;11391;13318;14457;15881
"Both Sexes";"Human Health Activities except Public Health Activities";"Median Allowances";789;1035;1486;1927;2175
"Both Sexes";"Residential Care Activities; Social Work Activities without Accommodation";"Median Basic Pay";18675;13124;17173;16653;16146
"Both Sexes";"Residential Care Activities; Social Work Activities without Accommodation";"Median Allowances";1990;2605;2671;2577;2377
"Both Sexes";"Arts, Entertainment and Recreation";"Median Basic Pay";10735;11434;14653;14846;17307
"Both Sexes";"Arts, Entertainment and Recreation";"Median Allowances";762;857;1692;6119;5247
"Both Sexes";"Creative, Arts and Entertainment Activities";"Median Basic Pay";18519;16392;24091;20556;.
"Both Sexes";"Creative, Arts and Entertainment Activities";"Median Allowances";2166;2186;2156;2250;.
"Both Sexes";"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"Median Basic Pay";10691;10485;14558;14818;.
"Both Sexes";"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"Median Allowances";743;841;1681;6182;.
"Both Sexes";"Other Service Activities Except Activities of Membership Organizations";"Median Basic Pay";.;.;13548;14045;14197
"Both Sexes";"Other Service Activities Except Activities of Membership Organizations";"Median Allowances";.;.;622;1524;1427
"Both Sexes";"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Median Basic Pay";11748;12173;.;.;.
"Both Sexes";"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Median Allowances";536;437;.;.;.
"Both Sexes";"Repair of Computers and Personal Household Goods";"Median Basic Pay";.;.;14606;11841;14561
"Both Sexes";"Repair of Computers and Personal Household Goods";"Median Allowances";.;.;1162;1599;1375
"Both Sexes";"Other Personal Service Activities";"Median Basic Pay";.;.;13376;15360;14004
"Both Sexes";"Other Personal Service Activities";"Median Allowances";.;.;446;952;1806
"Male";"All Industries";"Median Basic Pay";.;.;13481;13467;14413
"Male";"All Industries";"Median Allowances";.;.;1588;2410;2345
"Male";"Agriculture, Forestry and Fishing";"Median Basic Pay";.;.;9807;10411;10932
"Male";"Agriculture, Forestry and Fishing";"Median Allowances";.;.;975;2110;932
"Male";"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"Median Basic Pay";.;.;9726;10371;10895
"Male";"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"Median Allowances";.;.;1269;2139;956
"Male";"Fishing and Aquaculture";"Median Basic Pay";.;.;12001;10752;11382
"Male";"Fishing and Aquaculture";"Median Allowances";.;.;428;985;639
"Male";"Mining and Quarrying";"Median Basic Pay";.;.;11328;13122;15993
"Male";"Mining and Quarrying";"Median Allowances";.;.;889;1275;1988
"Male";"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"Median Basic Pay";.;.;10703;9855;12583
"Male";"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"Median Allowances";.;.;867;1795;1408
"Male";"Mining of Metal Ores";"Median Basic Pay";.;.;11770;13921;17279
"Male";"Mining of Metal Ores";"Median Allowances";.;.;870;1245;2097
"Male";"Mining Support Service";"Median Basic Pay";.;.;33034;11338;12743
"Male";"Mining Support Service";"Median Allowances";.;.;5022;1113;2996
"Male";"Manufacturing";"Median Basic Pay";.;.;12019;12458;13046
"Male";"Manufacturing";"Median Allowances";.;.;1093;1775;1904
"Male";"Manufacture of Food Products";"Median Basic Pay";.;.;12292;12717;12352
"Male";"Manufacture of Food Products";"Median Allowances";.;.;795;1382;1990
"Male";"Manufacture of Beverages";"Median Basic Pay";.;.;15232;16546;17755
"Male";"Manufacture of Beverages";"Median Allowances";.;.;1537;1683;a
"Male";"Manufacture of Tobacco Products";"Median Basic Pay";.;.;15480;15931;13233
"Male";"Manufacture of Tobacco Products";"Median Allowances";.;.;1793;1441;1332
"Male";"Manufacture of Textiles";"Median Basic Pay";.;.;10966;11757;11850
"Male";"Manufacture of Textiles";"Median Allowances";.;.;440;1402;872
"Male";"Manufacture of Wearing Apparel";"Median Basic Pay";.;.;10308;10356;11490
"Male";"Manufacture of Wearing Apparel";"Median Allowances";.;.;890;1323;1317
"Male";"Manufacture of Leather and Related Products";"Median Basic Pay";.;.;10660;10889;11652
"Male";"Manufacture of Leather and Related Products";"Median Allowances";.;.;739;1062;1217
"Male";"Sawmilling and Planing of Wood";"Median Basic Pay";.;.;9565;12436;12298
"Male";"Sawmilling and Planing of Wood";"Median Allowances";.;.;984;1909;1402
"Male";"Manufacture of Products of Wood, Cork, Straw and Plaiting Materials";"Median Basic Pay";.;.;9825;10165;11253
"Male";"Manufacture of Products of Wood, Cork, Straw and Plaiting Materials";"Median Allowances";.;.;485;1470;1206
"Male";"Manufacture of Paper and Paper Products";"Median Basic Pay";.;.;13446;13733;14470
"Male";"Manufacture of Paper and Paper Products";"Median Allowances";.;.;480;1032;1058
"Male";"Printing and Reproduction of Recorded Media";"Median Basic Pay";.;.;13214;13870;14008
"Male";"Printing and Reproduction of Recorded Media";"Median Allowances";.;.;536;2121;2318
"Male";"Manufacture of Coke and Refined Petroleum Products";"Median Basic Pay";.;.;29082;13184;16068
"Male";"Manufacture of Coke and Refined Petroleum Products";"Median Allowances";.;.;5117;2984;1890
"Male";"Manufacture of Chemicals and Chemical Products";"Median Basic Pay";.;.;13891;13347;15113
"Male";"Manufacture of Chemicals and Chemical Products";"Median Allowances";.;.;1384;708;1786
"Male";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparation";"Median Basic Pay";.;.;12959;14091;13776
"Male";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparation";"Median Allowances";.;.;1698;2829;2004
"Male";"Manufacture of Rubber Products";"Median Basic Pay";.;.;12776;10570;12966
"Male";"Manufacture of Rubber Products";"Median Allowances";.;.;2515;875;2588
"Male";"Manufacture of Plastic Products";"Median Basic Pay";.;.;13257;13439;14030
"Male";"Manufacture of Plastic Products";"Median Allowances";.;.;523;1022;1977
"Male";"Manufacture of Other Non-Metallic Mineral Products";"Median Basic Pay";.;.;11011;12783;12402
"Male";"Manufacture of Other Non-Metallic Mineral Products";"Median Allowances";.;.;886;1718;942
"Male";"Manufacture of Basic Metals";"Median Basic Pay";.;.;13395;14279;14213
"Male";"Manufacture of Basic Metals";"Median Allowances";.;.;1049;2553;2648
"Male";"Manufacture of Fabricated Metal Products except Machinery and Equipment";"Median Basic Pay";.;.;12972;12591;14054
"Male";"Manufacture of Fabricated Metal Products except Machinery and Equipment";"Median Allowances";.;.;523;1853;1692
"Male";"Manufacture of Computer, Electronic and Optical Products";"Median Basic Pay";.;.;12321;11518;14648
"Male";"Manufacture of Computer, Electronic and Optical Products";"Median Allowances";.;.;1809;2028;2488
"Male";"Manufacture of Electrical Equipment";"Median Basic Pay";.;.;11633;12965;12608
"Male";"Manufacture of Electrical Equipment";"Median Allowances";.;.;1115;2257;1298
"Male";"Manufacture of Machinery and Equipment, n.e.c.";"Median Basic Pay";.;.;13154;13973;12468
"Male";"Manufacture of Machinery and Equipment, n.e.c.";"Median Allowances";.;.;828;1366;3159
"Male";"Manufacture of Motor Vehicles, Trailers and Semi-Trailers";"Median Basic Pay";.;.;11034;11368;14498
"Male";"Manufacture of Motor Vehicles, Trailers and Semi-Trailers";"Median Allowances";.;.;1316;1411;1928
"Male";"Manufacture of Other Transport Equipment except Building of Ships and Boats";"Median Basic Pay";.;.;12782;10871;13665
"Male";"Manufacture of Other Transport Equipment except Building of Ships and Boats";"Median Allowances";.;.;1231;3056;2546
"Male";"Building of Ships and Boats";"Median Basic Pay";.;.;12809;12613;14821
"Male";"Building of Ships and Boats";"Median Allowances";.;.;1117;2977;4303
"Male";"Manufacture of Furniture";"Median Basic Pay";.;.;10792;11239;12658
"Male";"Manufacture of Furniture";"Median Allowances";.;.;701;1154;1361
"Male";"Other Manufacturing; Repair and Installation of Machinery and Equipment";"Median Basic Pay";.;.;11712;11890;14016
"Male";"Other Manufacturing; Repair and Installation of Machinery and Equipment";"Median Allowances";.;.;1004;3028;2398
"Male";"Electricity, Gas, Steam and Air Conditioning Supply";"Median Basic Pay";.;.;24007;26474;28846
"Male";"Electricity, Gas, Steam and Air Conditioning Supply";"Median Allowances";.;.;3199;3818;3224
"Male";"Water Supply; Sewerage, Waste Management and Remediation Activities";"Median Basic Pay";.;.;14385;14296;15017
"Male";"Water Supply; Sewerage, Waste Management and Remediation Activities";"Median Allowances";.;.;2194;2294;2306
"Male";"Water Collection, Treatment and Supply";"Median Basic Pay";.;.;14491;14827;15960
"Male";"Water Collection, Treatment and Supply";"Median Allowances";.;.;2195;2283;2310
"Male";"Sewerage; Waste Collection, Treatment and Disposal Activities; Materials Recovery; Remediation Activities and Other Waste Management Services";"Median Basic Pay";.;.;13700;13789;14133
"Male";"Sewerage; Waste Collection, Treatment and Disposal Activities; Materials Recovery; Remediation Activities and Other Waste Management Services";"Median Allowances";.;.;1962;5996;1485
"Male";"Construction";"Median Basic Pay";.;.;13561;13740;14267
"Male";"Construction";"Median Allowances";.;.;737;2605;1485
"Male";"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;13172;11883;12821
"Male";"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Median Allowances";.;.;1077;2053;1809
"Male";"Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;13182;12885;13685
"Male";"Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles";"Median Allowances";.;.;1059;2224;1895
"Male";"Wholesale Trade except of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;13588;13213;14365
"Male";"Wholesale Trade except of Motor Vehicles and Motorcycles";"Median Allowances";.;.;1238;2901;1954
"Male";"Retail Trade except of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;11121;10927;11676
"Male";"Retail Trade except of Motor Vehicles and Motorcycles";"Median Allowances";.;.;683;1423;1535
"Male";"Transportation and Storage";"Median Basic Pay";.;.;13421;13908;14772
"Male";"Transportation and Storage";"Median Allowances";.;.;1257;2631;1953
"Male";"Land Transport and Transport via Pipelines except  Transport via Buses";"Median Basic Pay";.;.;13271;10702;13245
"Male";"Land Transport and Transport via Pipelines except  Transport via Buses";"Median Allowances";.;.;1123;2523;2643
"Male";"Transport via Buses";"Median Basic Pay";.;.;10857;11657;12721
"Male";"Transport via Buses";"Median Allowances";.;.;1218;1726;1322
"Male";"Water Transport";"Median Basic Pay";.;.;13724;14677;15930
"Male";"Water Transport";"Median Allowances";.;.;2574;3357;1466
"Male";"Air Transport";"Median Basic Pay";.;.;24438;30267;32118
"Male";"Air Transport";"Median Allowances";.;.;5009;1897;5414
"Male";"Warehousing and Support Activities for Transportation";"Median Basic Pay";.;.;13606;14879;14833
