"Total Number of Persons Engaged in Establishments with 20 or More Workers by Type of Workers, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Total Employment";"2014 ..Working Owners";"2014 ..Unpaid Workers";"2014 ..Paid Employees (PE)";"2014 ....PE_Managers/Executives";"2014 ....PE_Supervisors/Foremen";"2014 ....PE_Rank and File";"2014 ......RF_Regular Workers";"2014 ......RF_Non-Regular Workers";"2014 Agency-Hired Workers";"2016 Total Employment";"2016 ..Working Owners";"2016 ..Unpaid Workers";"2016 ..Paid Employees (PE)";"2016 ....PE_Managers/Executives";"2016 ....PE_Supervisors/Foremen";"2016 ....PE_Rank and File";"2016 ......RF_Regular Workers";"2016 ......RF_Non-Regular Workers";"2016 Agency-Hired Workers";"2018 Total Employment";"2018 ..Working Owners";"2018 ..Unpaid Workers";"2018 ..Paid Employees (PE)";"2018 ....PE_Managers/Executives";"2018 ....PE_Supervisors/Foremen";"2018 ....PE_Rank and File";"2018 ......RF_Regular Workers";"2018 ......RF_Non-Regular Workers";"2018 Agency-Hired Workers";"2020 Total Employment";"2020 ..Working Owners";"2020 ..Unpaid Workers";"2020 ..Paid Employees (PE)";"2020 ....PE_Managers/Executives";"2020 ....PE_Supervisors/Foremen";"2020 ....PE_Rank and File";"2020 ......RF_Regular Workers";"2020 ......RF_Non-Regular Workers";"2020 Agency-Hired Workers";"2022 Total Employment";"2022 ..Working Owners";"2022 ..Unpaid Workers";"2022 ..Paid Employees (PE)";"2022 ....PE_Managers/Executives";"2022 ....PE_Supervisors/Foremen";"2022 ....PE_Rank and File";"2022 ......RF_Regular Workers";"2022 ......RF_Non-Regular Workers";"2022 Agency-Hired Workers"
"Female";"..Construction";14777;.;.;.;.;.;.;.;.;.;19881;214;1;19665;1398;2345;15922;8676;7247;.;28684;278;4;28403;1804;2924;23675;15072;8603;.;24848;427;14;24407;2021;2783;19603;12961;6641;.;26695;283;9;26403;2271;3162;20970;14174;6796;.
"Female";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";254012;.;.;.;.;.;.;.;.;.;251298;1571;8;249719;16812;25073;207834;151233;56601;.;269044;1203;106;267736;18411;29554;219771;172188;47583;.;378481;1660;98;376723;17339;33144;326240;295065;31175;.;271002;2020;1058;267924;17808;29715;220402;176001;44401;.
"Female";"..Transportation and Storage";24796;.;.;.;.;.;.;.;.;.;37992;221;15;37757;4775;3525;29456;23080;6377;.;36667;178;16;36474;2761;3501;30212;25243;4968;.;30239;186;292;29761;2334;3232;24195;21498;2697;.;44262;161;0;44101;3745;5334;35022;28705;6317;.
"Female";"..Accommodation and Food Service Activities";100727;.;.;.;.;.;.;.;.;.;92273;800;44;91429;8514;7783;75131;45712;29419;.;99158;656;11;98491;8921;9051;80518;56888;23631;.;80468;864;1771;77833;8349;8391;61093;51723;9370;.;93806;403;13;93390;7630;6989;78772;54126;24646;.
"Female";"..Information and Communication";54774;.;.;.;.;.;.;.;.;.;48619;62;0;48557;4940;7223;36394;29741;6653;.;59959;29;0;59929;5114;10355;44461;37280;7181;.;62982;13;88;62882;3928;7318;51636;46526;5110;.;54337;81;2;54254;5172;7052;42030;36560;5470;.
"Female";"..Financial and Insurance Activities";129437;.;.;.;.;.;.;.;.;.;145788;85;11;145691;29003;18350;98339;84881;13458;.;183387;52;7;183328;36170;24999;122159;106741;15419;.;211766;1235;417;210113;36656;29313;144144;131362;12782;.;218403;208;664;217532;34036;25387;158109;144873;13236;.
"Female";"..Real Estate Activities";16067;.;.;.;.;.;.;.;.;.;20329;72;0;20257;2841;3544;13872;10543;3328;.;22579;64;0;22514;2810;4149;15555;13365;2191;.;27146;51;0;27095;4039;2977;20079;18129;1950;.;28928;68;0;28860;3998;4537;20326;16658;3668;.
"Female";"..Professional, Scientific and Technical Activities";44574;.;.;.;.;.;.;.;.;.;47612;199;0;47413;5057;7172;35184;27301;7883;.;49030;139;0;48890;4334;6053;38503;33147;5356;.;50083;179;146;49758;4790;9661;35307;31313;3994;.;47571;237;4;47330;4036;4895;38400;29908;8492;.
"Female";"..Administrative and Support Services Activities";357274;.;.;.;.;.;.;.;.;.;435302;205;6;435091;9979;21733;403379;287816;115563;.;584295;239;3;584053;11151;27293;545608;438968;106640;.;622084;220;1322;620541;13837;41290;565415;447049;118367;.;667568;326;86;667156;23479;44410;599266;469028;130238;.
"Female";"..Education except Public Education";175130;.;.;.;.;.;.;.;.;.;163719;1850;264;161605;7933;8825;144847;102224;42623;.;183377;1458;116;181803;7650;9744;164409;119909;44500;.;170856;1401;636;168819;8734;9306;150778;116572;34207;.;162250;1128;191;160931;7268;9634;144029;113579;30450;.
"Female";"..Human Health and Social Work Activities except Public Health Activities";68604;.;.;.;.;.;.;.;.;.;88609;547;127;87936;2983;6798;78154;66370;11784;.;103510;459;34;103018;3262;8688;91067;78434;12633;.;116216;881;258;115078;4261;8005;102811;92273;10538;.;122101;790;144;121167;5296;9445;106426;93412;13014;.
"Female";"..Arts, Entertainment and Recreation";11416;.;.;.;.;.;.;.;.;.;17824;24;0;17801;1225;1982;14594;10833;3761;.;19941;19;4;19918;1747;2559;15613;12547;3066;.;19320;31;258;19032;1270;2261;15501;12551;2949;.;16187;49;0;16138;1346;2746;12045;10824;1222;.
"Female";"..Other Service Activities except Activities of Membership Organizations";13164;.;.;.;.;.;.;.;.;.;6891;99;0;6792;482;408;5902;5063;839;.;8789;52;2;8735;527;776;7433;6199;1234;.;5092;15;0;5076;318;945;3813;3724;89;.;5101;52;0;5049;257;251;4541;4077;464;.
