"Total Employment and Number of Commission and Output-Rated Workers in Establishments with 20 or More Workers by Type, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Commission Workers (CW)";"2014 ..CW_With Basic Pay and Commission";"2014 ..CW_Purely on Commission With Employer Control and Supervision";"2014 ..CW_Purely on Commission Without Employer Control and Supervision";"2014 Output-rated Workers (ORW)";"2014 ..ORW_Piece-rated Workers";"2014 ..ORW_Quota Workers";"2014 ..ORW_Pakyao or Takay Workers";"2014 ..ORW_Task Workers";"2016 Commission Workers (CW)";"2016 ..CW_With Basic Pay and Commission";"2016 ..CW_Purely on Commission With Employer Control and Supervision";"2016 ..CW_Purely on Commission Without Employer Control and Supervision";"2016 Output-rated Workers (ORW)";"2016 ..ORW_Piece-rated Workers";"2016 ..ORW_Quota Workers";"2016 ..ORW_Pakyao or Takay Workers";"2016 ..ORW_Task Workers";"2018 Commission Workers (CW)";"2018 ..CW_With Basic Pay and Commission";"2018 ..CW_Purely on Commission With Employer Control and Supervision";"2018 ..CW_Purely on Commission Without Employer Control and Supervision";"2018 Output-rated Workers (ORW)";"2018 ..ORW_Piece-rated Workers";"2018 ..ORW_Quota Workers";"2018 ..ORW_Pakyao or Takay Workers";"2018 ..ORW_Task Workers";"2020 Commission Workers (CW)";"2020 ..CW_With Basic Pay and Commission";"2020 ..CW_Purely on Commission With Employer Control and Supervision";"2020 ..CW_Purely on Commission Without Employer Control and Supervision";"2020 Output-rated Workers (ORW)";"2020 ..ORW_Piece-rated Workers";"2020 ..ORW_Quota Workers";"2020 ..ORW_Pakyao or Takay Workers";"2020 ..ORW_Task Workers";"2022 Commission Workers (CW)";"2022 ..CW_With Basic Pay and Commission";"2022 ..CW_Purely on Commission With Employer Control and Supervision";"2022 ..CW_Purely on Commission Without Employer Control and Supervision";"2022 Output-rated Workers (ORW)";"2022 ..ORW_Piece-rated Workers";"2022 ..ORW_Quota Workers";"2022 ..ORW_Pakyao or Takay Workers";"2022 ..ORW_Task Workers"
"Both Sexes";"..Information and Communication";2405;2300;71;35;777;133;214;62;368;2398;2006;391;1;940;845;95;0;0;6029;5947;32;50;246;8;227;0;12;1771;1610;0;160;866;670;115;0;81;2092;801;1228;64;310;149;145;16;0
"Both Sexes";"..Financial and Insurance Activities";47333;2207;33949;11177;2518;703;75;1691;50;5439;2418;879;2142;2623;83;2525;0;15;13982;12027;5;1950;2878;36;2578;147;118;1901;1674;227;0;26;26;0;0;0;3565;1888;1677;0;491;211;74;148;58
"Both Sexes";"..Real Estate Activities";3971;872;1766;1333;272;61;0;211;0;1924;370;411;1144;2232;0;373;367;1492;1670;161;70;1439;0;0;0;0;0;3216;2907;20;289;12;0;0;12;0;938;395;368;175;0;0;0;0;0
"Both Sexes";"..Professional, Scientific and Technical Activities";7237;5291;1857;89;2558;2230;0;0;327;1508;1070;6;433;1698;601;42;0;1055;513;511;0;2;2214;2;0;2189;23;1388;1388;0;0;115;60;0;48;7;279;258;0;21;126;0;123;2;0
"Both Sexes";"..Administrative and Support Services Activities";82452;81468;669;316;6651;5697;15;0;939;2604;2061;515;28;5489;3053;267;1500;668;55175;52828;2325;22;5223;2586;39;2396;201;5716;4771;549;396;6588;4765;616;810;397;11293;9687;1547;59;8864;7104;942;249;568
"Both Sexes";"..Education except Public Education";620;553;67;0;346;8;0;137;201;830;627;177;27;289;59;47;6;175;706;610;92;5;167;17;28;0;123;2504;2214;288;1;384;113;8;0;263;225;12;196;17;1134;612;158;0;365
"Both Sexes";"..Human Health and Social Work Activities except Public Health Activities";180;153;22;6;29;0;0;6;22;601;49;417;135;265;6;121;0;139;362;194;76;92;28;0;0;0;28;91;91;0;0;78;0;43;2;33;780;643;132;5;532;154;234;37;107
"Both Sexes";"..Arts, Entertainment and Recreation";35;31;4;0;0;0;0;0;0;110;77;22;11;78;0;0;0;78;732;450;0;281;0;0;0;0;0;0;0;0;0;236;0;0;0;236;304;0;6;298;78;0;20;0;58
"Both Sexes";"..Other Service Activities except Activities of Membership Organizations";4017;2784;1142;91;166;166;0;0;0;1687;752;935;0;143;93;19;30;0;2371;1283;899;189;127;110;0;12;6;611;611;0;0;336;336;0;0;0;1019;393;495;131;138;114;8;16;0
"Female";"ALL INDUSTRIES";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19419;17392;1094;933;21108;12018;1632;6296;1161;19200;14041;4042;1117;19170;12622;2113;3445;989
"Female";"..Agriculture, Forestry and Fishing";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;13;2;11;0;5552;1413;0;4127;12;340;4;335;0;3009;1415;123;1448;24
"Female";"..Mining and Quarrying";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;0;0;0;0;0;11;0;11;0;0;0;0;0;0
"Female";"..Manufacturing";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2075;1776;209;90;11767;8656;906;2015;189;1210;735;177;298;9092;6557;947;1308;280
"Female";"..Electricity, Gas, Steam and Air Conditioning Supply";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;31;31;0;0;0;75;47;28;0;68;0;15;0;53
"Female";"..Water Supply; Sewerage, Waste Management and Remediation Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;89;0;89;0;7;0;0;0;7;0;0;0;0;24;15;0;0;9
"Female";"..Construction";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;0;0;2;121;12;0;0;109;37;37;0;0;136;2;4;11;119
"Female";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6974;6131;362;480;743;192;257;65;229;7080;5907;852;322;911;382;3;392;134
"Female";"..Transportation and Storage";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;70;58;12;0;83;0;0;0;83;108;60;48;0;314;39;245;0;29
"Female";"..Accommodation and Food Service Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1301;1279;22;0;147;0;129;0;18;163;98;64;0;290;148;90;0;52
"Female";"..Information and Communication";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;879;836;0;43;357;207;92;0;59;1080;422;617;41;99;53;31;16;0
"Female";"..Financial and Insurance Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;596;575;22;0;0;0;0;0;0;1420;591;829;0;296;96;48;148;4
"Female";"..Real Estate Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1779;1731;0;48;0;0;0;0;0;505;252;143;109;0;0;0;0;0
"Female";"..Professional, Scientific and Technical Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;811;811;0;0;25;20;0;5;0;116;105;0;11;0;0;0;0;0
"Female";"..Administrative and Support Services Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2982;2442;271;269;1759;1246;214;84;215;5528;5022;480;27;3816;3360;307;86;63
"Female";"..Education except Public Education";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1458;1361;97;0;295;88;8;0;199;124;2;122;0;734;412;116;0;206
"Female";"..Human Health and Social Work Activities except Public Health Activities";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;76;76;0;0;42;0;27;0;15;626;534;87;4;273;77;159;37;1
"Female";"..Arts, Entertainment and Recreation";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;26;0;0;0;26;194;0;0;194;33;0;17;0;16
"Female";"..Other Service Activities except Activities of Membership Organizations";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;312;312;0;0;153;153;0;0;0;584;223;250;111;76;68;8;0;0
