"Number and Distribution of Job Vacancies in Establishments with 20 or More Workers by Major Industry Group, National Capital Region: 1st Quarter 2014 to 4th Quarter 2021"

"Major Industry Group";"2014 Q1 Number";"2014 Q1 Percent Share (%)";"2014 Q2 Number";"2014 Q2 Percent Share (%)";"2014 Q3 Number";"2014 Q3 Percent Share (%)";"2014 Q4 Number";"2014 Q4 Percent Share (%)";"2015 Q1 Number";"2015 Q1 Percent Share (%)";"2015 Q2 Number";"2015 Q2 Percent Share (%)";"2015 Q3 Number";"2015 Q3 Percent Share (%)";"2015 Q4 Number";"2015 Q4 Percent Share (%)";"2016 Q1 Number";"2016 Q1 Percent Share (%)";"2016 Q2 Number";"2016 Q2 Percent Share (%)";"2016 Q3 Number";"2016 Q3 Percent Share (%)";"2016 Q4 Number";"2016 Q4 Percent Share (%)";"2017 Q1 Number";"2017 Q1 Percent Share (%)";"2017 Q2 Number";"2017 Q2 Percent Share (%)";"2017 Q3 Number";"2017 Q3 Percent Share (%)";"2017 Q4 Number";"2017 Q4 Percent Share (%)";"2018 Q1 Number";"2018 Q1 Percent Share (%)";"2018 Q2 Number";"2018 Q2 Percent Share (%)";"2018 Q3 Number";"2018 Q3 Percent Share (%)";"2018 Q4 Number";"2018 Q4 Percent Share (%)";"2019 Q1 Number";"2019 Q1 Percent Share (%)";"2019 Q2 Number";"2019 Q2 Percent Share (%)";"2019 Q3 Number";"2019 Q3 Percent Share (%)";"2019 Q4 Number";"2019 Q4 Percent Share (%)";"2020 Q1 Number";"2020 Q1 Percent Share (%)";"2020 Q2 Number";"2020 Q2 Percent Share (%)";"2020 Q3 Number";"2020 Q3 Percent Share (%)";"2020 Q4 Number";"2020 Q4 Percent Share (%)";"2021 Q1 Number";"2021 Q1 Percent Share (%)";"2021 Q2 Number";"2021 Q2 Percent Share (%)";"2021 Q3 Number";"2021 Q3 Percent Share (%)";"2021 Q4 Number";"2021 Q4 Percent Share (%)"
"....Transportation and Storage";818;0.4;1208;0.5;466;0.2;709;0.3;2388;1.1;1099;0.5;2314;1.0;1036;0.5;4171;1.9;3056;1.4;3959;1.8;3420;1.5;3787;1.7;3329;1.5;2396;1.1;3239;1.4;6822;3.0;5033;2.3;3332;2.1;3876;2.8;3740;4.4;4045;4.2;2300;2.2;2282;2.6;2525;3.0;20784;32.5;3176;6.6;3745;4.0;2502;5.8;2899;5.6;4880;5.3;1889;2.1
"....Accommodation and Food Service Activities";4799;2.1;1988;0.9;10845;4.8;5673;2.5;7774;3.5;8176;3.7;9919;4.4;10167;4.5;3186;1.4;3105;1.4;2384;1.1;4012;1.8;2874;1.3;6926;3.1;2910;1.3;1591;0.7;11643;5.2;11473;5.2;8076;5.0;6838;5.0;8798;10.3;9376;9.8;6128;5.9;7966;9.2;174;0.2;46;0.1;562;1.2;949;1.0;923;2.1;1096;2.1;1975;2.1;1636;1.8
"....Information and Communication";5933;2.6;2727;1.2;1117;0.5;2016;0.9;2517;1.1;2986;1.3;2559;1.1;2113;0.9;4074;1.8;3135;1.4;2321;1.0;3808;1.7;1704;0.8;1629;0.7;1844;0.8;2540;1.1;4160;1.9;4167;1.9;4034;2.5;2876;2.1;3707;4.3;3554;3.7;2887;2.8;1436;1.7;20723;24.3;6069;9.5;6463;13.4;13527;14.3;4398;10.2;6124;11.7;3494;3.8;5755;6.3
"....Financial and Insurance Activities";3964;1.8;5255;2.3;5996;2.7;4154;1.9;5040;2.3;11457;5.1;4782;2.1;10752;4.8;5521;2.5;8495;3.8;4329;1.9;5869;2.6;4369;2.0;4443;2.0;2659;1.2;2588;1.2;11529;5.1;25173;11.5;13822;8.6;13251;9.7;3400;4.0;3389;3.5;4420;4.3;4685;5.4;20820;24.4;6740;10.5;4226;8.7;4603;4.9;1269;3.0;1820;3.5;5314;5.8;6066;6.6
"....Real Estate Activities";3088;1.4;2329;1.0;2204;1.0;3105;1.4;1035;0.5;760;0.3;913;0.4;1634;0.7;1135;0.5;1446;0.6;371;0.2;545;0.2;892;0.4;823;0.4;421;0.2;359;0.2;1219;0.5;1446;0.7;604;0.4;933;0.7;1845;2.2;872;0.9;832;0.8;1449;1.7;3153;3.7;1908;3.0;1707;3.5;2465;2.6;3489;8.1;3569;6.8;520;0.6;512;0.6
"....Professional, Scientific and Technical Activities";2100;0.9;2888;1.3;1613;0.7;2113;0.9;2143;1.0;1656;0.7;2338;1.0;1200;0.5;2355;1.1;2081;0.9;2574;1.1;5524;2.5;3706;1.7;2155;1.0;2051;0.9;2731;1.2;2348;1.0;8132;3.7;10163;6.4;6413;4.7;5569;6.5;5426;5.6;2555;2.5;4309;5.0;2476;2.9;1299;2.0;1879;3.9;2595;2.7;2289;5.3;2707;5.2;3792;4.1;3268;3.6
"....Administrative and Support Service Activities";24637;11.0;15573;7.0;7447;3.3;13958;6.2;15518;6.9;15255;6.8;20066;9.0;22711;10.1;19906;8.9;16494;7.4;22795;10.2;14738;6.6;25250;11.3;10562;4.7;20635;9.2;10306;4.6;67955;30.3;47540;21.7;48061;30.1;40351;29.6;35302;41.3;43767;45.5;52489;50.6;27550;32.0;17163;20.1;12499;19.6;9934;20.6;49694;52.6;10237;23.8;15249;29.2;55295;59.8;56553;61.9
"....Education";3495;1.6;916;0.4;995;0.4;1385;0.6;956;0.4;1191;0.5;514;0.2;645;0.3;2881;1.3;1770;0.8;587;0.3;827;0.4;2118;0.9;662;0.3;712;0.3;582;0.3;12989;5.8;13315;6.1;3330;2.1;4269;3.1;1617;1.9;1536;1.6;2320;2.2;3345;3.9;791;0.9;361;0.6;223;0.5;536;0.6;847;2.0;1589;3.0;1602;1.7;1184;1.3
"....Human Health and Social Work Activities";1405;0.6;927;0.4;824;0.4;852;0.4;1149;0.5;1020;0.5;1067;0.5;1011;0.5;1274;0.6;631;0.3;1040;0.5;1234;0.6;1296;0.6;1400;0.6;967;0.4;2187;1.0;9696;4.3;10798;4.9;6656;4.2;8125;6.0;2649;3.1;2648;2.8;4134;4.0;6625;7.7;3995;4.7;4395;6.9;7058;14.6;5958;6.3;2324;5.4;2799;5.4;2569;2.8;2945;3.2
"....Arts, Entertainment and Recreation";913;0.4;1196;0.5;1062;0.5;824;0.4;686;0.3;650;0.3;446;0.2;354;0.2;435;0.2;240;0.1;343;0.2;202;0.1;260;0.1;655;0.3;219;0.1;139;0.1;452;0.2;543;0.2;710;0.4;456;0.3;196;0.2;168;0.2;309;0.3;919;1.1;366;0.4;19;a/;0;0.0;3;a/;37;0.1;27;0.1;72;0.1;111;0.1
"....Other Service Activities";703;0.3;917;0.4;396;0.2;258;0.1;123;0.1;317;0.1;525;0.2;172;0.1;567;0.3;1213;0.5;894;0.4;955;0.4;480;0.2;634;0.3;406;0.2;522;0.2;361;0.2;497;0.2;499;0.3;360;0.3;346;0.4;593;0.6;682;0.7;580;0.7;226;0.3;43;0.1;36;0.1;61;0.1;123;0.3;123;0.2;186;0.2;98;0.1
