"Number of Establishments Employing 20 or More Workers with Employees Who Availed of ECP Services by Type and Duration When Service was Received and Major Industry Group, Philippines: 2015 - 2017"

"Type of Services (KAGABAY Program) Availed";"Duration When Service was Received";"Major Industry Group";"2017"
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Construction";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Transportation and Storage";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Accommodation and Food Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Information and Communication";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Financial and Insurance Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Real Estate Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Administrative and Support Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Education Except Public Education";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Total Establishments With Employees Who Availed ECP Services";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"ALL INDUSTRIES";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Agriculture, Forestry and Fishing";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Mining and Quarrying";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Manufacturing";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Construction";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Transportation and Storage";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Accommodation and Food Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Information and Communication";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Financial and Insurance Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Real Estate Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Professional, Scientific and Technical Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Administrative and Support Service Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Education Except Public Education";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Arts, Entertainment and  Recreation";..
"Total Establishments With Employees Who Availed ECP Services";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Entreprenurial training";"Less than one month";"ALL INDUSTRIES";544
"Entreprenurial training";"Less than one month";"..Agriculture, Forestry and Fishing";17
"Entreprenurial training";"Less than one month";"..Mining and Quarrying";..
"Entreprenurial training";"Less than one month";"..Manufacturing";96
"Entreprenurial training";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";7
"Entreprenurial training";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";2
"Entreprenurial training";"Less than one month";"..Construction";8
"Entreprenurial training";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";114
"Entreprenurial training";"Less than one month";"..Transportation and Storage";9
"Entreprenurial training";"Less than one month";"..Accommodation and Food Service Activities";109
"Entreprenurial training";"Less than one month";"..Information and Communication";8
"Entreprenurial training";"Less than one month";"..Financial and Insurance Activities";26
"Entreprenurial training";"Less than one month";"..Real Estate Activities";7
"Entreprenurial training";"Less than one month";"..Professional, Scientific and Technical Activities";19
"Entreprenurial training";"Less than one month";"..Administrative and Support Service Activities";41
"Entreprenurial training";"Less than one month";"..Education Except Public Education";64
"Entreprenurial training";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";8
"Entreprenurial training";"Less than one month";"..Arts, Entertainment and  Recreation";6
"Entreprenurial training";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Entreprenurial training";"1 to 6 months";"ALL INDUSTRIES";502
"Entreprenurial training";"1 to 6 months";"..Agriculture, Forestry and Fishing";12
"Entreprenurial training";"1 to 6 months";"..Mining and Quarrying";4
"Entreprenurial training";"1 to 6 months";"..Manufacturing";120
"Entreprenurial training";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";10
"Entreprenurial training";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Entreprenurial training";"1 to 6 months";"..Construction";13
"Entreprenurial training";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";120
"Entreprenurial training";"1 to 6 months";"..Transportation and Storage";11
"Entreprenurial training";"1 to 6 months";"..Accommodation and Food Service Activities";87
"Entreprenurial training";"1 to 6 months";"..Information and Communication";5
"Entreprenurial training";"1 to 6 months";"..Financial and Insurance Activities";13
"Entreprenurial training";"1 to 6 months";"..Real Estate Activities";9
"Entreprenurial training";"1 to 6 months";"..Professional, Scientific and Technical Activities";9
"Entreprenurial training";"1 to 6 months";"..Administrative and Support Service Activities";21
"Entreprenurial training";"1 to 6 months";"..Education Except Public Education";44
"Entreprenurial training";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";19
"Entreprenurial training";"1 to 6 months";"..Arts, Entertainment and  Recreation";3
"Entreprenurial training";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Entreprenurial training";"7 to 12 months";"ALL INDUSTRIES";65
"Entreprenurial training";"7 to 12 months";"..Agriculture, Forestry and Fishing";1
"Entreprenurial training";"7 to 12 months";"..Mining and Quarrying";..
"Entreprenurial training";"7 to 12 months";"..Manufacturing";11
"Entreprenurial training";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Entreprenurial training";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Entreprenurial training";"7 to 12 months";"..Construction";2
"Entreprenurial training";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";20
"Entreprenurial training";"7 to 12 months";"..Transportation and Storage";2
"Entreprenurial training";"7 to 12 months";"..Accommodation and Food Service Activities";6
"Entreprenurial training";"7 to 12 months";"..Information and Communication";..
"Entreprenurial training";"7 to 12 months";"..Financial and Insurance Activities";7
"Entreprenurial training";"7 to 12 months";"..Real Estate Activities";..
"Entreprenurial training";"7 to 12 months";"..Professional, Scientific and Technical Activities";3
"Entreprenurial training";"7 to 12 months";"..Administrative and Support Service Activities";1
"Entreprenurial training";"7 to 12 months";"..Education Except Public Education";8
"Entreprenurial training";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";1
"Entreprenurial training";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Entreprenurial training";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Entreprenurial training";"More than 12 months";"ALL INDUSTRIES";43
"Entreprenurial training";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Entreprenurial training";"More than 12 months";"..Mining and Quarrying";..
"Entreprenurial training";"More than 12 months";"..Manufacturing";8
"Entreprenurial training";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Entreprenurial training";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Entreprenurial training";"More than 12 months";"..Construction";..
"Entreprenurial training";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";17
"Entreprenurial training";"More than 12 months";"..Transportation and Storage";2
"Entreprenurial training";"More than 12 months";"..Accommodation and Food Service Activities";6
"Entreprenurial training";"More than 12 months";"..Information and Communication";..
"Entreprenurial training";"More than 12 months";"..Financial and Insurance Activities";1
"Entreprenurial training";"More than 12 months";"..Real Estate Activities";..
"Entreprenurial training";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Entreprenurial training";"More than 12 months";"..Administrative and Support Service Activities";6
"Entreprenurial training";"More than 12 months";"..Education Except Public Education";..
"Entreprenurial training";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";1
"Entreprenurial training";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Entreprenurial training";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Entreprenurial training";"Do not know";"ALL INDUSTRIES";90
"Entreprenurial training";"Do not know";"..Agriculture, Forestry and Fishing";..
"Entreprenurial training";"Do not know";"..Mining and Quarrying";..
"Entreprenurial training";"Do not know";"..Manufacturing";22
"Entreprenurial training";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Entreprenurial training";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Entreprenurial training";"Do not know";"..Construction";..
"Entreprenurial training";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";17
"Entreprenurial training";"Do not know";"..Transportation and Storage";7
"Entreprenurial training";"Do not know";"..Accommodation and Food Service Activities";6
"Entreprenurial training";"Do not know";"..Information and Communication";1
"Entreprenurial training";"Do not know";"..Financial and Insurance Activities";10
"Entreprenurial training";"Do not know";"..Real Estate Activities";2
"Entreprenurial training";"Do not know";"..Professional, Scientific and Technical Activities";8
"Entreprenurial training";"Do not know";"..Administrative and Support Service Activities";10
"Entreprenurial training";"Do not know";"..Education Except Public Education";6
"Entreprenurial training";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";1
"Entreprenurial training";"Do not know";"..Arts, Entertainment and  Recreation";..
"Entreprenurial training";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Skills training";"Less than one month";"ALL INDUSTRIES";1615
"Skills training";"Less than one month";"..Agriculture, Forestry and Fishing";40
"Skills training";"Less than one month";"..Mining and Quarrying";8
"Skills training";"Less than one month";"..Manufacturing";313
"Skills training";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";21
"Skills training";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";13
"Skills training";"Less than one month";"..Construction";64
"Skills training";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";339
"Skills training";"Less than one month";"..Transportation and Storage";60
"Skills training";"Less than one month";"..Accommodation and Food Service Activities";247
"Skills training";"Less than one month";"..Information and Communication";21
"Skills training";"Less than one month";"..Financial and Insurance Activities";79
"Skills training";"Less than one month";"..Real Estate Activities";26
"Skills training";"Less than one month";"..Professional, Scientific and Technical Activities";38
"Skills training";"Less than one month";"..Administrative and Support Service Activities";102
"Skills training";"Less than one month";"..Education Except Public Education";158
"Skills training";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";54
"Skills training";"Less than one month";"..Arts, Entertainment and  Recreation";20
"Skills training";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";12
"Skills training";"1 to 6 months";"ALL INDUSTRIES";1854
"Skills training";"1 to 6 months";"..Agriculture, Forestry and Fishing";97
"Skills training";"1 to 6 months";"..Mining and Quarrying";10
"Skills training";"1 to 6 months";"..Manufacturing";460
"Skills training";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";22
"Skills training";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";15
"Skills training";"1 to 6 months";"..Construction";92
"Skills training";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";438
"Skills training";"1 to 6 months";"..Transportation and Storage";59
"Skills training";"1 to 6 months";"..Accommodation and Food Service Activities";207
"Skills training";"1 to 6 months";"..Information and Communication";20
"Skills training";"1 to 6 months";"..Financial and Insurance Activities";49
"Skills training";"1 to 6 months";"..Real Estate Activities";24
"Skills training";"1 to 6 months";"..Professional, Scientific and Technical Activities";18
"Skills training";"1 to 6 months";"..Administrative and Support Service Activities";106
"Skills training";"1 to 6 months";"..Education Except Public Education";172
"Skills training";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";45
"Skills training";"1 to 6 months";"..Arts, Entertainment and  Recreation";13
"Skills training";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";7
"Skills training";"7 to 12 months";"ALL INDUSTRIES";232
"Skills training";"7 to 12 months";"..Agriculture, Forestry and Fishing";15
"Skills training";"7 to 12 months";"..Mining and Quarrying";3
"Skills training";"7 to 12 months";"..Manufacturing";33
"Skills training";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Skills training";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Skills training";"7 to 12 months";"..Construction";5
"Skills training";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";59
"Skills training";"7 to 12 months";"..Transportation and Storage";7
"Skills training";"7 to 12 months";"..Accommodation and Food Service Activities";28
"Skills training";"7 to 12 months";"..Information and Communication";10
"Skills training";"7 to 12 months";"..Financial and Insurance Activities";10
"Skills training";"7 to 12 months";"..Real Estate Activities";4
"Skills training";"7 to 12 months";"..Professional, Scientific and Technical Activities";8
"Skills training";"7 to 12 months";"..Administrative and Support Service Activities";5
"Skills training";"7 to 12 months";"..Education Except Public Education";36
"Skills training";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";3
"Skills training";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Skills training";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";4
"Skills training";"More than 12 months";"ALL INDUSTRIES";22
"Skills training";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Skills training";"More than 12 months";"..Mining and Quarrying";..
"Skills training";"More than 12 months";"..Manufacturing";6
"Skills training";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Skills training";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Skills training";"More than 12 months";"..Construction";..
"Skills training";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1
"Skills training";"More than 12 months";"..Transportation and Storage";1
"Skills training";"More than 12 months";"..Accommodation and Food Service Activities";5
"Skills training";"More than 12 months";"..Information and Communication";..
"Skills training";"More than 12 months";"..Financial and Insurance Activities";..
"Skills training";"More than 12 months";"..Real Estate Activities";..
"Skills training";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Skills training";"More than 12 months";"..Administrative and Support Service Activities";4
"Skills training";"More than 12 months";"..Education Except Public Education";6
"Skills training";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Skills training";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Skills training";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Skills training";"Do not know";"ALL INDUSTRIES";167
"Skills training";"Do not know";"..Agriculture, Forestry and Fishing";6
"Skills training";"Do not know";"..Mining and Quarrying";..
"Skills training";"Do not know";"..Manufacturing";27
"Skills training";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";5
"Skills training";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Skills training";"Do not know";"..Construction";6
"Skills training";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";53
"Skills training";"Do not know";"..Transportation and Storage";5
"Skills training";"Do not know";"..Accommodation and Food Service Activities";8
"Skills training";"Do not know";"..Information and Communication";3
"Skills training";"Do not know";"..Financial and Insurance Activities";17
"Skills training";"Do not know";"..Real Estate Activities";..
"Skills training";"Do not know";"..Professional, Scientific and Technical Activities";6
"Skills training";"Do not know";"..Administrative and Support Service Activities";14
"Skills training";"Do not know";"..Education Except Public Education";7
"Skills training";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";4
"Skills training";"Do not know";"..Arts, Entertainment and  Recreation";4
"Skills training";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Assistive Devices";"Less than one month";"ALL INDUSTRIES";134
"Assistive Devices";"Less than one month";"..Agriculture, Forestry and Fishing";..
"Assistive Devices";"Less than one month";"..Mining and Quarrying";..
"Assistive Devices";"Less than one month";"..Manufacturing";25
"Assistive Devices";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";3
"Assistive Devices";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Assistive Devices";"Less than one month";"..Construction";4
"Assistive Devices";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";29
"Assistive Devices";"Less than one month";"..Transportation and Storage";8
"Assistive Devices";"Less than one month";"..Accommodation and Food Service Activities";10
"Assistive Devices";"Less than one month";"..Information and Communication";4
"Assistive Devices";"Less than one month";"..Financial and Insurance Activities";10
"Assistive Devices";"Less than one month";"..Real Estate Activities";4
"Assistive Devices";"Less than one month";"..Professional, Scientific and Technical Activities";9
"Assistive Devices";"Less than one month";"..Administrative and Support Service Activities";1
"Assistive Devices";"Less than one month";"..Education Except Public Education";19
"Assistive Devices";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";1
"Assistive Devices";"Less than one month";"..Arts, Entertainment and  Recreation";4
"Assistive Devices";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Assistive Devices";"1 to 6 months";"ALL INDUSTRIES";236
"Assistive Devices";"1 to 6 months";"..Agriculture, Forestry and Fishing";9
"Assistive Devices";"1 to 6 months";"..Mining and Quarrying";5
"Assistive Devices";"1 to 6 months";"..Manufacturing";39
"Assistive Devices";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";11
"Assistive Devices";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Assistive Devices";"1 to 6 months";"..Construction";12
"Assistive Devices";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";36
"Assistive Devices";"1 to 6 months";"..Transportation and Storage";7
"Assistive Devices";"1 to 6 months";"..Accommodation and Food Service Activities";33
"Assistive Devices";"1 to 6 months";"..Information and Communication";3
"Assistive Devices";"1 to 6 months";"..Financial and Insurance Activities";9
"Assistive Devices";"1 to 6 months";"..Real Estate Activities";5
"Assistive Devices";"1 to 6 months";"..Professional, Scientific and Technical Activities";8
"Assistive Devices";"1 to 6 months";"..Administrative and Support Service Activities";18
"Assistive Devices";"1 to 6 months";"..Education Except Public Education";23
"Assistive Devices";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";18
"Assistive Devices";"1 to 6 months";"..Arts, Entertainment and  Recreation";..
"Assistive Devices";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Assistive Devices";"7 to 12 months";"ALL INDUSTRIES";30
"Assistive Devices";"7 to 12 months";"..Agriculture, Forestry and Fishing";4
"Assistive Devices";"7 to 12 months";"..Mining and Quarrying";..
"Assistive Devices";"7 to 12 months";"..Manufacturing";6
"Assistive Devices";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Assistive Devices";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Assistive Devices";"7 to 12 months";"..Construction";4
"Assistive Devices";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3
"Assistive Devices";"7 to 12 months";"..Transportation and Storage";1
"Assistive Devices";"7 to 12 months";"..Accommodation and Food Service Activities";..
"Assistive Devices";"7 to 12 months";"..Information and Communication";..
"Assistive Devices";"7 to 12 months";"..Financial and Insurance Activities";3
"Assistive Devices";"7 to 12 months";"..Real Estate Activities";..
"Assistive Devices";"7 to 12 months";"..Professional, Scientific and Technical Activities";..
"Assistive Devices";"7 to 12 months";"..Administrative and Support Service Activities";..
"Assistive Devices";"7 to 12 months";"..Education Except Public Education";1
"Assistive Devices";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";4
"Assistive Devices";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Assistive Devices";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Assistive Devices";"More than 12 months";"ALL INDUSTRIES";1
"Assistive Devices";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Assistive Devices";"More than 12 months";"..Mining and Quarrying";..
"Assistive Devices";"More than 12 months";"..Manufacturing";..
"Assistive Devices";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Assistive Devices";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Assistive Devices";"More than 12 months";"..Construction";..
"Assistive Devices";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..
"Assistive Devices";"More than 12 months";"..Transportation and Storage";..
"Assistive Devices";"More than 12 months";"..Accommodation and Food Service Activities";..
"Assistive Devices";"More than 12 months";"..Information and Communication";..
