"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Usual Form of Non-Cash Incentive and Major Industry Group, Philippines:  2017 - 2019"

"Major Industry Group";"Type of Gainsharing Schemes/Practices";"Usual Form of Non-Cash Incentive";"2017";"2019"
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"..Subsidize Travel/Leisure";5;34
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"..Home Appliance";0;0
"..Agriculture, Forestry and Fishing";"Gainsharing Practices";"..Others";0;0
"..Agriculture, Forestry and Fishing";"Profit Sharing";"Total";5;6
"..Agriculture, Forestry and Fishing";"Profit Sharing";"..Grocery Items";5;1
"..Agriculture, Forestry and Fishing";"Profit Sharing";"..Electronic Gadgets";0;0
"..Agriculture, Forestry and Fishing";"Profit Sharing";"..Gift Certificate/Cheque";0;5
"..Agriculture, Forestry and Fishing";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Agriculture, Forestry and Fishing";"Profit Sharing";"..Home Appliance";0;0
"..Agriculture, Forestry and Fishing";"Profit Sharing";"..Others";0;0
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"Total";5;1
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";5;0
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;1
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Agriculture, Forestry and Fishing";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Mining and Quarrying";"Gainsharing Practices";"Total";10;2
"..Mining and Quarrying";"Gainsharing Practices";"..Grocery Items";6;0
"..Mining and Quarrying";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Mining and Quarrying";"Gainsharing Practices";"..Gift Certificate/Cheque";4;2
"..Mining and Quarrying";"Gainsharing Practices";"..Subsidize Travel/Leisure";0;0
"..Mining and Quarrying";"Gainsharing Practices";"..Home Appliance";0;0
"..Mining and Quarrying";"Gainsharing Practices";"..Others";0;0
"..Mining and Quarrying";"Profit Sharing";"Total";1;0
"..Mining and Quarrying";"Profit Sharing";"..Grocery Items";0;0
"..Mining and Quarrying";"Profit Sharing";"..Electronic Gadgets";0;0
"..Mining and Quarrying";"Profit Sharing";"..Gift Certificate/Cheque";1;0
"..Mining and Quarrying";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Mining and Quarrying";"Profit Sharing";"..Home Appliance";0;0
"..Mining and Quarrying";"Profit Sharing";"..Others";0;0
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"Total";0;0
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Mining and Quarrying";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Manufacturing";"Gainsharing Practices";"Total";490;298
"..Manufacturing";"Gainsharing Practices";"..Grocery Items";212;139
"..Manufacturing";"Gainsharing Practices";"..Electronic Gadgets";26;2
"..Manufacturing";"Gainsharing Practices";"..Gift Certificate/Cheque";155;128
"..Manufacturing";"Gainsharing Practices";"..Subsidize Travel/Leisure";24;9
"..Manufacturing";"Gainsharing Practices";"..Home Appliance";9;0
"..Manufacturing";"Gainsharing Practices";"..Others";63;20
"..Manufacturing";"Profit Sharing";"Total";105;38
"..Manufacturing";"Profit Sharing";"..Grocery Items";47;30
"..Manufacturing";"Profit Sharing";"..Electronic Gadgets";3;0
"..Manufacturing";"Profit Sharing";"..Gift Certificate/Cheque";45;4
"..Manufacturing";"Profit Sharing";"..Subsidize Travel/Leisure";2;3
"..Manufacturing";"Profit Sharing";"..Home Appliance";4;2
"..Manufacturing";"Profit Sharing";"..Others";5;0
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"Total";22;120
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";12;70
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;24
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";7;16
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";2;7
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Manufacturing";"Other Type of Gainsharing Schemes/Practices";"..Others";0;3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"Total";12;5
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"..Grocery Items";5;1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"..Gift Certificate/Cheque";4;4
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"..Subsidize Travel/Leisure";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"..Home Appliance";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Gainsharing Practices";"..Others";3;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"Total";3;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"..Grocery Items";3;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"..Electronic Gadgets";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"..Gift Certificate/Cheque";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"..Home Appliance";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Profit Sharing";"..Others";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"Total";3;4
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Type of Gainsharing Schemes/Practices";"..Others";3;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"Total";23;30
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"..Grocery Items";6;1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"..Electronic Gadgets";0;2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";11;2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";0;25
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"..Home Appliance";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Gainsharing Practices";"..Others";7;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"Total";11;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"..Grocery Items";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"..Electronic Gadgets";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"..Gift Certificate/Cheque";10;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"..Home Appliance";1;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Profit Sharing";"..Others";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"Total";3;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";1;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";1;0
"..Construction";"Gainsharing Practices";"Total";85;95
"..Construction";"Gainsharing Practices";"..Grocery Items";45;36
"..Construction";"Gainsharing Practices";"..Electronic Gadgets";2;9
"..Construction";"Gainsharing Practices";"..Gift Certificate/Cheque";16;11
"..Construction";"Gainsharing Practices";"..Subsidize Travel/Leisure";14;36
"..Construction";"Gainsharing Practices";"..Home Appliance";0;0
"..Construction";"Gainsharing Practices";"..Others";7;2
"..Construction";"Profit Sharing";"Total";16;9
"..Construction";"Profit Sharing";"..Grocery Items";12;7
"..Construction";"Profit Sharing";"..Electronic Gadgets";0;0
"..Construction";"Profit Sharing";"..Gift Certificate/Cheque";2;2
"..Construction";"Profit Sharing";"..Subsidize Travel/Leisure";2;0
"..Construction";"Profit Sharing";"..Home Appliance";0;0
"..Construction";"Profit Sharing";"..Others";0;0
"..Construction";"Other Type of Gainsharing Schemes/Practices";"Total";3;2
"..Construction";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Construction";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Construction";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";3;2
"..Construction";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Construction";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Construction";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"Total";657;443
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"..Grocery Items";208;88
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"..Electronic Gadgets";26;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"..Gift Certificate/Cheque";347;228
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"..Subsidize Travel/Leisure";29;60
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"..Home Appliance";21;67
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Gainsharing Practices";"..Others";25;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"Total";134;182
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"..Grocery Items";60;181
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"..Electronic Gadgets";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"..Gift Certificate/Cheque";60;2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"..Home Appliance";14;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Profit Sharing";"..Others";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"Total";6;2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";4;2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";2;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Transportation and Storage";"Gainsharing Practices";"Total";63;84
"..Transportation and Storage";"Gainsharing Practices";"..Grocery Items";21;84
"..Transportation and Storage";"Gainsharing Practices";"..Electronic Gadgets";5;0
"..Transportation and Storage";"Gainsharing Practices";"..Gift Certificate/Cheque";15;0
"..Transportation and Storage";"Gainsharing Practices";"..Subsidize Travel/Leisure";10;0
"..Transportation and Storage";"Gainsharing Practices";"..Home Appliance";5;0
"..Transportation and Storage";"Gainsharing Practices";"..Others";7;0
"..Transportation and Storage";"Profit Sharing";"Total";11;1
"..Transportation and Storage";"Profit Sharing";"..Grocery Items";9;1
"..Transportation and Storage";"Profit Sharing";"..Electronic Gadgets";0;0
"..Transportation and Storage";"Profit Sharing";"..Gift Certificate/Cheque";2;0
"..Transportation and Storage";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Transportation and Storage";"Profit Sharing";"..Home Appliance";0;0
"..Transportation and Storage";"Profit Sharing";"..Others";0;0
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"Total";3;0
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Transportation and Storage";"Other Type of Gainsharing Schemes/Practices";"..Others";3;0
"..Accommodation and Food Service Activities";"Gainsharing Practices";"Total";479;485
"..Accommodation and Food Service Activities";"Gainsharing Practices";"..Grocery Items";104;73
"..Accommodation and Food Service Activities";"Gainsharing Practices";"..Electronic Gadgets";28;0
"..Accommodation and Food Service Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";278;339
"..Accommodation and Food Service Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";3;74
"..Accommodation and Food Service Activities";"Gainsharing Practices";"..Home Appliance";21;0
"..Accommodation and Food Service Activities";"Gainsharing Practices";"..Others";46;0
"..Accommodation and Food Service Activities";"Profit Sharing";"Total";66;147
"..Accommodation and Food Service Activities";"Profit Sharing";"..Grocery Items";4;8
"..Accommodation and Food Service Activities";"Profit Sharing";"..Electronic Gadgets";6;0
"..Accommodation and Food Service Activities";"Profit Sharing";"..Gift Certificate/Cheque";42;70
"..Accommodation and Food Service Activities";"Profit Sharing";"..Subsidize Travel/Leisure";4;69
"..Accommodation and Food Service Activities";"Profit Sharing";"..Home Appliance";0;0
"..Accommodation and Food Service Activities";"Profit Sharing";"..Others";10;0
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"Total";18;208
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";5;69
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";13;69
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;69
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Accommodation and Food Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;2
"..Information and Communication";"Gainsharing Practices";"Total";39;7
"..Information and Communication";"Gainsharing Practices";"..Grocery Items";3;0
"..Information and Communication";"Gainsharing Practices";"..Electronic Gadgets";9;0
"..Information and Communication";"Gainsharing Practices";"..Gift Certificate/Cheque";22;5
"..Information and Communication";"Gainsharing Practices";"..Subsidize Travel/Leisure";0;0
"..Information and Communication";"Gainsharing Practices";"..Home Appliance";3;0
"..Information and Communication";"Gainsharing Practices";"..Others";3;2
"..Information and Communication";"Profit Sharing";"Total";3;6
"..Information and Communication";"Profit Sharing";"..Grocery Items";0;2
"..Information and Communication";"Profit Sharing";"..Electronic Gadgets";3;0
"..Information and Communication";"Profit Sharing";"..Gift Certificate/Cheque";0;4
"..Information and Communication";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Information and Communication";"Profit Sharing";"..Home Appliance";0;0
"..Information and Communication";"Profit Sharing";"..Others";0;0
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"Total";6;3
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;2
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";5;1
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Information and Communication";"Other Type of Gainsharing Schemes/Practices";"..Others";2;0
"..Financial and Insurance Activities";"Gainsharing Practices";"Total";69;22
"..Financial and Insurance Activities";"Gainsharing Practices";"..Grocery Items";12;8
"..Financial and Insurance Activities";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Financial and Insurance Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";45;14
"..Financial and Insurance Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";7;0
"..Financial and Insurance Activities";"Gainsharing Practices";"..Home Appliance";0;0
"..Financial and Insurance Activities";"Gainsharing Practices";"..Others";5;0
"..Financial and Insurance Activities";"Profit Sharing";"Total";17;6
"..Financial and Insurance Activities";"Profit Sharing";"..Grocery Items";0;6
"..Financial and Insurance Activities";"Profit Sharing";"..Electronic Gadgets";0;0
"..Financial and Insurance Activities";"Profit Sharing";"..Gift Certificate/Cheque";12;0
"..Financial and Insurance Activities";"Profit Sharing";"..Subsidize Travel/Leisure";5;0
"..Financial and Insurance Activities";"Profit Sharing";"..Home Appliance";1;0
"..Financial and Insurance Activities";"Profit Sharing";"..Others";0;0
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"Total";10;0
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";7;0
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";3;0
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Financial and Insurance Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Real Estate Activities";"Gainsharing Practices";"Total";21;54
"..Real Estate Activities";"Gainsharing Practices";"..Grocery Items";6;0
"..Real Estate Activities";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Real Estate Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";10;54
"..Real Estate Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";4;0
"..Real Estate Activities";"Gainsharing Practices";"..Home Appliance";0;0
"..Real Estate Activities";"Gainsharing Practices";"..Others";1;0
"..Real Estate Activities";"Profit Sharing";"Total";0;51
"..Real Estate Activities";"Profit Sharing";"..Grocery Items";0;0
"..Real Estate Activities";"Profit Sharing";"..Electronic Gadgets";0;0
"..Real Estate Activities";"Profit Sharing";"..Gift Certificate/Cheque";0;51
"..Real Estate Activities";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Real Estate Activities";"Profit Sharing";"..Home Appliance";0;0
"..Real Estate Activities";"Profit Sharing";"..Others";0;0
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"Total";0;0
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Real Estate Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"Total";35;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"..Grocery Items";13;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";7;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";3;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"..Home Appliance";0;0
"..Professional, Scientific and Technical Activities";"Gainsharing Practices";"..Others";12;0
"..Professional, Scientific and Technical Activities";"Profit Sharing";"Total";19;12
"..Professional, Scientific and Technical Activities";"Profit Sharing";"..Grocery Items";5;0
"..Professional, Scientific and Technical Activities";"Profit Sharing";"..Electronic Gadgets";5;0
"..Professional, Scientific and Technical Activities";"Profit Sharing";"..Gift Certificate/Cheque";1;2
"..Professional, Scientific and Technical Activities";"Profit Sharing";"..Subsidize Travel/Leisure";8;0
"..Professional, Scientific and Technical Activities";"Profit Sharing";"..Home Appliance";0;2
"..Professional, Scientific and Technical Activities";"Profit Sharing";"..Others";0;8
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"Total";0;0
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Professional, Scientific and Technical Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Administrative and Support Service Activities";"Gainsharing Practices";"Total";134;152
"..Administrative and Support Service Activities";"Gainsharing Practices";"..Grocery Items";51;12
"..Administrative and Support Service Activities";"Gainsharing Practices";"..Electronic Gadgets";3;0
"..Administrative and Support Service Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";60;28
"..Administrative and Support Service Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";10;104
"..Administrative and Support Service Activities";"Gainsharing Practices";"..Home Appliance";2;5
"..Administrative and Support Service Activities";"Gainsharing Practices";"..Others";7;4
"..Administrative and Support Service Activities";"Profit Sharing";"Total";10;13
"..Administrative and Support Service Activities";"Profit Sharing";"..Grocery Items";3;5
"..Administrative and Support Service Activities";"Profit Sharing";"..Electronic Gadgets";0;0
"..Administrative and Support Service Activities";"Profit Sharing";"..Gift Certificate/Cheque";3;5
"..Administrative and Support Service Activities";"Profit Sharing";"..Subsidize Travel/Leisure";4;2
"..Administrative and Support Service Activities";"Profit Sharing";"..Home Appliance";0;1
"..Administrative and Support Service Activities";"Profit Sharing";"..Others";0;0
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"Total";2;5
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";2;1
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;4
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
