"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Program Developer and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/2751B3GP052.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Program Developer";"2017";"2019"
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Labor-Management Committee";10;6
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Management";157;100
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Union";0;1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Supervisors/Line Leaders";38;1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Rank-and-File/Production Workers";20;3
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Productivity Consultants";10;23
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";5;0
"..Construction";"Total Establishments with PIPs";487;440
"..Construction";"Labor-Management Committee";41;22
"..Construction";"Management";387;374
"..Construction";"Union";0;6
"..Construction";"Supervisors/Line Leaders";81;81
"..Construction";"Rank-and-File/Production Workers";49;48
"..Construction";"Productivity Consultants";27;16
"..Construction";"Others";5;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";4126;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Labor-Management Committee";312;328
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Management";3439;2873
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Union";23;136
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Supervisors/Line Leaders";868;923
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Rank-and-File/Production Workers";410;370
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Productivity Consultants";149;106
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";38;0
"..Transportation and Storage";"Total Establishments with PIPs";499;425
"..Transportation and Storage";"Labor-Management Committee";47;69
"..Transportation and Storage";"Management";398;242
"..Transportation and Storage";"Union";1;0
"..Transportation and Storage";"Supervisors/Line Leaders";90;134
"..Transportation and Storage";"Rank-and-File/Production Workers";66;28
"..Transportation and Storage";"Productivity Consultants";11;6
"..Transportation and Storage";"Others";2;3
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";2531;2261
"..Accommodation and Food Service Activities";"Labor-Management Committee";143;256
"..Accommodation and Food Service Activities";"Management";2126;1885
"..Accommodation and Food Service Activities";"Union";7;69
"..Accommodation and Food Service Activities";"Supervisors/Line Leaders";567;471
"..Accommodation and Food Service Activities";"Rank-and-File/Production Workers";176;12
"..Accommodation and Food Service Activities";"Productivity Consultants";67;25
"..Accommodation and Food Service Activities";"Others";26;0
"..Information and Communication";"Total Establishments with PIPs";338;190
"..Information and Communication";"Labor-Management Committee";15;22
"..Information and Communication";"Management";277;174
"..Information and Communication";"Union";0;0
"..Information and Communication";"Supervisors/Line Leaders";73;25
"..Information and Communication";"Rank-and-File/Production Workers";53;12
"..Information and Communication";"Productivity Consultants";10;0
"..Information and Communication";"Others";0;0
"..Financial and Insurance Activities";"Total Establishments with PIPs";731;580
"..Financial and Insurance Activities";"Labor-Management Committee";35;83
"..Financial and Insurance Activities";"Management";622;476
"..Financial and Insurance Activities";"Union";1;0
"..Financial and Insurance Activities";"Supervisors/Line Leaders";112;22
"..Financial and Insurance Activities";"Rank-and-File/Production Workers";67;14
"..Financial and Insurance Activities";"Productivity Consultants";16;6
"..Financial and Insurance Activities";"Others";11;0
"..Real Estate Activities";"Total Establishments with PIPs";173;123
"..Real Estate Activities";"Labor-Management Committee";14;1
"..Real Estate Activities";"Management";139;116
"..Real Estate Activities";"Union";0;0
"..Real Estate Activities";"Supervisors/Line Leaders";30;9
"..Real Estate Activities";"Rank-and-File/Production Workers";12;0
"..Real Estate Activities";"Productivity Consultants";10;0
"..Real Estate Activities";"Others";5;0
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";314;365
"..Professional, Scientific and Technical Activities";"Labor-Management Committee";21;48
"..Professional, Scientific and Technical Activities";"Management";256;305
"..Professional, Scientific and Technical Activities";"Union";2;0
"..Professional, Scientific and Technical Activities";"Supervisors/Line Leaders";68;100
"..Professional, Scientific and Technical Activities";"Rank-and-File/Production Workers";24;2
"..Professional, Scientific and Technical Activities";"Productivity Consultants";0;9
"..Professional, Scientific and Technical Activities";"Others";7;0
"..Administrative and Support Service Activities";"Total Establishments with PIPs";929;1033
"..Administrative and Support Service Activities";"Labor-Management Committee";67;94
"..Administrative and Support Service Activities";"Management";775;756
"..Administrative and Support Service Activities";"Union";3;35
"..Administrative and Support Service Activities";"Supervisors/Line Leaders";174;294
"..Administrative and Support Service Activities";"Rank-and-File/Production Workers";97;118
"..Administrative and Support Service Activities";"Productivity Consultants";31;17
"..Administrative and Support Service Activities";"Others";4;2
"..Education Except Public Education";"Total Establishments with PIPs";1901;1611
"..Education Except Public Education";"Labor-Management Committee";135;340
"..Education Except Public Education";"Management";1586;1364
"..Education Except Public Education";"Union";12;4
"..Education Except Public Education";"Supervisors/Line Leaders";327;149
"..Education Except Public Education";"Rank-and-File/Production Workers";153;171
"..Education Except Public Education";"Productivity Consultants";34;54
"..Education Except Public Education";"Others";18;0
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";656;722
"..Human Health and Social Work Activities Except Public Health Activities";"Labor-Management Committee";44;116
"..Human Health and Social Work Activities Except Public Health Activities";"Management";559;508
"..Human Health and Social Work Activities Except Public Health Activities";"Union";2;45
"..Human Health and Social Work Activities Except Public Health Activities";"Supervisors/Line Leaders";144;139
"..Human Health and Social Work Activities Except Public Health Activities";"Rank-and-File/Production Workers";37;53
"..Human Health and Social Work Activities Except Public Health Activities";"Productivity Consultants";9;5
"..Human Health and Social Work Activities Except Public Health Activities";"Others";3;1
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";140;152
"..Arts, Entertainment and  Recreation";"Labor-Management Committee";8;2
"..Arts, Entertainment and  Recreation";"Management";116;95
"..Arts, Entertainment and  Recreation";"Union";0;0
"..Arts, Entertainment and  Recreation";"Supervisors/Line Leaders";21;2
"..Arts, Entertainment and  Recreation";"Rank-and-File/Production Workers";10;62
"..Arts, Entertainment and  Recreation";"Productivity Consultants";9;0
"..Arts, Entertainment and  Recreation";"Others";4;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";171;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Labor-Management Committee";9;36
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Management";137;82
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Union";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Supervisors/Line Leaders";32;2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Rank-and-File/Production Workers";15;3
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Productivity Consultants";2;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";2;0
