"Number of Establishments Employing 20 or More Workers by Sources of Funds During Quarantine/Lockdown and Major Industry Group, Philippines:  June 30, 2020"

"Major Industry Group";"Sources of Funds During Quarantine/Lockdown";"2020"
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Delayed payment of taxes";377
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Loans from family/friends";238
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Loans from banks";814
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Loans from informal lenders";103
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Loans from non-bank financial institutions";69
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Loans from digital financing platforms";57
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Loans from government institutions";94
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Others";262
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..None";5658
"..Transportation and Storage";"Total Establishments";1043
"..Transportation and Storage";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";558
"..Transportation and Storage";"....Early payments from customers";214
"..Transportation and Storage";"....Delayed payments to suppliers";302
"..Transportation and Storage";"....Delayed payment of taxes";56
"..Transportation and Storage";"....Loans from family/friends";85
"..Transportation and Storage";"....Loans from banks";131
"..Transportation and Storage";"....Loans from informal lenders";12
"..Transportation and Storage";"....Loans from non-bank financial institutions";3
"..Transportation and Storage";"....Loans from digital financing platforms";1
"..Transportation and Storage";"....Loans from government institutions";34
"..Transportation and Storage";"....Others";45
"..Transportation and Storage";"..None";486
"..Accommodation and Food Service Activities";"Total Establishments";4070
"..Accommodation and Food Service Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";2270
"..Accommodation and Food Service Activities";"....Early payments from customers";400
"..Accommodation and Food Service Activities";"....Delayed payments to suppliers";1202
"..Accommodation and Food Service Activities";"....Delayed payment of taxes";215
"..Accommodation and Food Service Activities";"....Loans from family/friends";260
"..Accommodation and Food Service Activities";"....Loans from banks";807
"..Accommodation and Food Service Activities";"....Loans from informal lenders";0
"..Accommodation and Food Service Activities";"....Loans from non-bank financial institutions";128
"..Accommodation and Food Service Activities";"....Loans from digital financing platforms";0
"..Accommodation and Food Service Activities";"....Loans from government institutions";63
"..Accommodation and Food Service Activities";"....Others";317
"..Accommodation and Food Service Activities";"..None";1800
"..Information and Communication";"Total Establishments";788
"..Information and Communication";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";330
"..Information and Communication";"....Early payments from customers";130
"..Information and Communication";"....Delayed payments to suppliers";191
"..Information and Communication";"....Delayed payment of taxes";43
"..Information and Communication";"....Loans from family/friends";27
"..Information and Communication";"....Loans from banks";41
"..Information and Communication";"....Loans from informal lenders";0
"..Information and Communication";"....Loans from non-bank financial institutions";1
"..Information and Communication";"....Loans from digital financing platforms";12
"..Information and Communication";"....Loans from government institutions";35
"..Information and Communication";"....Others";46
"..Information and Communication";"..None";457
"..Financial and Insurance Activities";"Total Establishments";1455
"..Financial and Insurance Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";578
"..Financial and Insurance Activities";"....Early payments from customers";241
"..Financial and Insurance Activities";"....Delayed payments to suppliers";34
"..Financial and Insurance Activities";"....Delayed payment of taxes";96
"..Financial and Insurance Activities";"....Loans from family/friends";4
"..Financial and Insurance Activities";"....Loans from banks";113
"..Financial and Insurance Activities";"....Loans from informal lenders";0
"..Financial and Insurance Activities";"....Loans from non-bank financial institutions";65
"..Financial and Insurance Activities";"....Loans from digital financing platforms";3
"..Financial and Insurance Activities";"....Loans from government institutions";70
"..Financial and Insurance Activities";"....Others";82
"..Financial and Insurance Activities";"..None";877
"..Real Estate Activities";"Total Establishments";613
"..Real Estate Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";270
"..Real Estate Activities";"....Early payments from customers";252
"..Real Estate Activities";"....Delayed payments to suppliers";152
"..Real Estate Activities";"....Delayed payment of taxes";2
"..Real Estate Activities";"....Loans from family/friends";2
"..Real Estate Activities";"....Loans from banks";56
"..Real Estate Activities";"....Loans from informal lenders";1
"..Real Estate Activities";"....Loans from non-bank financial institutions";0
"..Real Estate Activities";"....Loans from digital financing platforms";0
"..Real Estate Activities";"....Loans from government institutions";0
"..Real Estate Activities";"....Others";105
"..Real Estate Activities";"..None";342
"..Professional, Scientific and Technical Activities";"Total Establishments";846
"..Professional, Scientific and Technical Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";413
"..Professional, Scientific and Technical Activities";"....Early payments from customers";87
"..Professional, Scientific and Technical Activities";"....Delayed payments to suppliers";138
"..Professional, Scientific and Technical Activities";"....Delayed payment of taxes";54
"..Professional, Scientific and Technical Activities";"....Loans from family/friends";77
"..Professional, Scientific and Technical Activities";"....Loans from banks";50
"..Professional, Scientific and Technical Activities";"....Loans from informal lenders";0
"..Professional, Scientific and Technical Activities";"....Loans from non-bank financial institutions";84
"..Professional, Scientific and Technical Activities";"....Loans from digital financing platforms";0
"..Professional, Scientific and Technical Activities";"....Loans from government institutions";27
"..Professional, Scientific and Technical Activities";"....Others";90
"..Professional, Scientific and Technical Activities";"..None";433
"..Administrative and Support Service Activities";"Total Establishments";2445
"..Administrative and Support Service Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";1019
"..Administrative and Support Service Activities";"....Early payments from customers";360
"..Administrative and Support Service Activities";"....Delayed payments to suppliers";394
"..Administrative and Support Service Activities";"....Delayed payment of taxes";184
"..Administrative and Support Service Activities";"....Loans from family/friends";112
"..Administrative and Support Service Activities";"....Loans from banks";203
"..Administrative and Support Service Activities";"....Loans from informal lenders";14
"..Administrative and Support Service Activities";"....Loans from non-bank financial institutions";62
"..Administrative and Support Service Activities";"....Loans from digital financing platforms";9
"..Administrative and Support Service Activities";"....Loans from government institutions";53
"..Administrative and Support Service Activities";"....Others";189
"..Administrative and Support Service Activities";"..None";1426
"..Education Except Public Education";"Total Establishments";3894
"..Education Except Public Education";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";1988
"..Education Except Public Education";"....Early payments from customers";728
"..Education Except Public Education";"....Delayed payments to suppliers";326
"..Education Except Public Education";"....Delayed payment of taxes";126
"..Education Except Public Education";"....Loans from family/friends";362
"..Education Except Public Education";"....Loans from banks";145
"..Education Except Public Education";"....Loans from informal lenders";147
"..Education Except Public Education";"....Loans from non-bank financial institutions";199
"..Education Except Public Education";"....Loans from digital financing platforms";1
"..Education Except Public Education";"....Loans from government institutions";59
"..Education Except Public Education";"....Others";638
"..Education Except Public Education";"..None";1906
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";1378
"..Human Health and Social Work Activities Except Public Health Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";380
"..Human Health and Social Work Activities Except Public Health Activities";"....Early payments from customers";82
"..Human Health and Social Work Activities Except Public Health Activities";"....Delayed payments to suppliers";168
"..Human Health and Social Work Activities Except Public Health Activities";"....Delayed payment of taxes";27
"..Human Health and Social Work Activities Except Public Health Activities";"....Loans from family/friends";27
"..Human Health and Social Work Activities Except Public Health Activities";"....Loans from banks";89
"..Human Health and Social Work Activities Except Public Health Activities";"....Loans from informal lenders";1
"..Human Health and Social Work Activities Except Public Health Activities";"....Loans from non-bank financial institutions";13
"..Human Health and Social Work Activities Except Public Health Activities";"....Loans from digital financing platforms";1
"..Human Health and Social Work Activities Except Public Health Activities";"....Loans from government institutions";15
"..Human Health and Social Work Activities Except Public Health Activities";"....Others";94
"..Human Health and Social Work Activities Except Public Health Activities";"..None";997
"..Arts, Entertainment and  Recreation";"Total Establishments";202
"..Arts, Entertainment and  Recreation";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";49
"..Arts, Entertainment and  Recreation";"....Early payments from customers";9
"..Arts, Entertainment and  Recreation";"....Delayed payments to suppliers";14
"..Arts, Entertainment and  Recreation";"....Delayed payment of taxes";0
"..Arts, Entertainment and  Recreation";"....Loans from family/friends";0
"..Arts, Entertainment and  Recreation";"....Loans from banks";2
"..Arts, Entertainment and  Recreation";"....Loans from informal lenders";0
"..Arts, Entertainment and  Recreation";"....Loans from non-bank financial institutions";0
"..Arts, Entertainment and  Recreation";"....Loans from digital financing platforms";0
"..Arts, Entertainment and  Recreation";"....Loans from government institutions";0
"..Arts, Entertainment and  Recreation";"....Others";29
"..Arts, Entertainment and  Recreation";"..None";153
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";317
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Total Establishments with Sources of Funds During Quarantine/Lockdown";199
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Early payments from customers";79
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Delayed payments to suppliers";138
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Delayed payment of taxes";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Loans from family/friends";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Loans from banks";59
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Loans from informal lenders";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Loans from non-bank financial institutions";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Loans from digital financing platforms";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Loans from government institutions";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Others";31
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..None";118
