"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Type of Technical Assistance Needed from RTWPBs and Major Industry Group, Philippines:  2013 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/8501B3GP170.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Type of Technical Assistance Needed from RTWPBs";"2013";"2015";"2017";"2019"
"..Financial and Insurance Activities";"Number of Establishments";1159;.;.;.
"..Financial and Insurance Activities";"Total Establishments with PIPs";.;.;.;580
"..Financial and Insurance Activities";"Training";906;.;398;135
"..Financial and Insurance Activities";"Consulting";346;.;209;38
"..Financial and Insurance Activities";"Information Materials";715;.;215;49
"..Financial and Insurance Activities";"Others";92;.;.;0
"..Financial and Insurance Activities";"None";.;.;255;437
"..Real Estate Activities";"Number of Establishments";404;.;.;.
"..Real Estate Activities";"Total Establishments with PIPs";.;.;.;123
"..Real Estate Activities";"Training";283;.;91;6
"..Real Estate Activities";"Consulting";155;.;76;3
"..Real Estate Activities";"Information Materials";280;.;77;0
"..Real Estate Activities";"Others";0;.;.;0
"..Real Estate Activities";"None";.;.;46;117
"..Professional, Scientific and Technical Activities";"Number of Establishments";574;.;.;.
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";.;.;.;365
"..Professional, Scientific and Technical Activities";"Training";315;.;150;103
"..Professional, Scientific and Technical Activities";"Consulting";259;.;60;101
"..Professional, Scientific and Technical Activities";"Information Materials";441;.;93;68
"..Professional, Scientific and Technical Activities";"Others";5;.;.;0
"..Professional, Scientific and Technical Activities";"None";.;.;130;217
"..Administrative and Support Service Activities";"Number of Establishments";1667;.;.;.
"..Administrative and Support Service Activities";"Total Establishments with PIPs";.;.;.;1033
"..Administrative and Support Service Activities";"Training";1228;.;485;284
"..Administrative and Support Service Activities";"Consulting";717;.;276;164
"..Administrative and Support Service Activities";"Information Materials";1092;.;300;112
"..Administrative and Support Service Activities";"Others";54;.;.;0
"..Administrative and Support Service Activities";"None";.;.;315;674
"..Education Except Public Education";"Number of Establishments";2888;.;.;.
"..Education Except Public Education";"Total Establishments with PIPs";.;.;.;1611
"..Education Except Public Education";"Training";2333;.;1101;680
"..Education Except Public Education";"Consulting";1045;.;576;626
"..Education Except Public Education";"Information Materials";1606;.;685;469
"..Education Except Public Education";"Others";183;.;.;0
"..Education Except Public Education";"None";.;.;546;708
"..Human Health and Social Work Activities Except Public Health Activities";"Number of Establishments";762;.;.;.
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";.;.;.;722
"..Human Health and Social Work Activities Except Public Health Activities";"Training";633;.;413;409
"..Human Health and Social Work Activities Except Public Health Activities";"Consulting";342;.;207;190
"..Human Health and Social Work Activities Except Public Health Activities";"Information Materials";464;.;250;142
"..Human Health and Social Work Activities Except Public Health Activities";"Others";65;.;.;0
"..Human Health and Social Work Activities Except Public Health Activities";"None";.;.;179;259
"..Arts, Entertainment and  Recreation";"Number of Establishments";167;.;.;.
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";.;.;.;152
"..Arts, Entertainment and  Recreation";"Training";105;.;75;82
"..Arts, Entertainment and  Recreation";"Consulting";49;.;32;5
"..Arts, Entertainment and  Recreation";"Information Materials";98;.;28;5
"..Arts, Entertainment and  Recreation";"Others";21;.;.;0
"..Arts, Entertainment and  Recreation";"None";.;.;56;71
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Number of Establishments";379;.;.;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";.;.;.;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Training";300;.;76;85
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Consulting";96;.;52;36
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Information Materials";233;.;45;29
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";2;.;.;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"None";.;.;67;18
