"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Reasons for Non-Attainment of PIP Objective/s and Major Industry Group, Philippines:  2019"

"Major Industry Group";"Reasons for Non-Attainment of PIP Objective/s";"2019"
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";3
"..Transportation and Storage";"Total Establishments";1152
"..Transportation and Storage";"Total Establishments with PIPs";425
"..Transportation and Storage";"Lack of funds";61
"..Transportation and Storage";"Change in the owner/s' or management's priorities";21
"..Transportation and Storage";"Lack of manpower or support from the employees";149
"..Transportation and Storage";"Strike/lockout/work stoppage";1
"..Transportation and Storage";"Typhoon/flood/landslide";55
"..Transportation and Storage";"Earthquake";4
"..Transportation and Storage";"Fire";4
"..Transportation and Storage";"Human acts of terror";4
"..Transportation and Storage";"Disease outbreak";55
"..Transportation and Storage";"Others";5
"..Accommodation and Food Service Activities";"Total Establishments";4716
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";2261
"..Accommodation and Food Service Activities";"Lack of funds";877
"..Accommodation and Food Service Activities";"Change in the owner/s' or management's priorities";17
"..Accommodation and Food Service Activities";"Lack of manpower or support from the employees";148
"..Accommodation and Food Service Activities";"Strike/lockout/work stoppage";0
"..Accommodation and Food Service Activities";"Typhoon/flood/landslide";139
"..Accommodation and Food Service Activities";"Earthquake";1
"..Accommodation and Food Service Activities";"Fire";0
"..Accommodation and Food Service Activities";"Human acts of terror";69
"..Accommodation and Food Service Activities";"Disease outbreak";28
"..Accommodation and Food Service Activities";"Others";143
"..Information and Communication";"Total Establishments";1052
"..Information and Communication";"Total Establishments with PIPs";190
"..Information and Communication";"Lack of funds";45
"..Information and Communication";"Change in the owner/s' or management's priorities";13
"..Information and Communication";"Lack of manpower or support from the employees";33
"..Information and Communication";"Strike/lockout/work stoppage";0
"..Information and Communication";"Typhoon/flood/landslide";12
"..Information and Communication";"Earthquake";0
"..Information and Communication";"Fire";0
"..Information and Communication";"Human acts of terror";4
"..Information and Communication";"Disease outbreak";29
"..Information and Communication";"Others";0
"..Financial and Insurance Activities";"Total Establishments";1696
"..Financial and Insurance Activities";"Total Establishments with PIPs";580
"..Financial and Insurance Activities";"Lack of funds";115
"..Financial and Insurance Activities";"Change in the owner/s' or management's priorities";91
"..Financial and Insurance Activities";"Lack of manpower or support from the employees";163
"..Financial and Insurance Activities";"Strike/lockout/work stoppage";3
"..Financial and Insurance Activities";"Typhoon/flood/landslide";0
"..Financial and Insurance Activities";"Earthquake";0
"..Financial and Insurance Activities";"Fire";0
"..Financial and Insurance Activities";"Human acts of terror";0
"..Financial and Insurance Activities";"Disease outbreak";9
"..Financial and Insurance Activities";"Others";0
"..Real Estate Activities";"Total Establishments";652
"..Real Estate Activities";"Total Establishments with PIPs";123
"..Real Estate Activities";"Lack of funds";50
"..Real Estate Activities";"Change in the owner/s' or management's priorities";6
"..Real Estate Activities";"Lack of manpower or support from the employees";54
"..Real Estate Activities";"Strike/lockout/work stoppage";0
"..Real Estate Activities";"Typhoon/flood/landslide";50
"..Real Estate Activities";"Earthquake";0
"..Real Estate Activities";"Fire";0
"..Real Estate Activities";"Human acts of terror";0
"..Real Estate Activities";"Disease outbreak";7
"..Real Estate Activities";"Others";0
"..Professional, Scientific and Technical Activities";"Total Establishments";963
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";365
"..Professional, Scientific and Technical Activities";"Lack of funds";95
"..Professional, Scientific and Technical Activities";"Change in the owner/s' or management's priorities";2
"..Professional, Scientific and Technical Activities";"Lack of manpower or support from the employees";64
"..Professional, Scientific and Technical Activities";"Strike/lockout/work stoppage";0
"..Professional, Scientific and Technical Activities";"Typhoon/flood/landslide";6
"..Professional, Scientific and Technical Activities";"Earthquake";0
"..Professional, Scientific and Technical Activities";"Fire";0
"..Professional, Scientific and Technical Activities";"Human acts of terror";0
"..Professional, Scientific and Technical Activities";"Disease outbreak";6
"..Professional, Scientific and Technical Activities";"Others";0
"..Administrative and Support Service Activities";"Total Establishments";2729
"..Administrative and Support Service Activities";"Total Establishments with PIPs";1033
"..Administrative and Support Service Activities";"Lack of funds";151
"..Administrative and Support Service Activities";"Change in the owner/s' or management's priorities";28
"..Administrative and Support Service Activities";"Lack of manpower or support from the employees";134
"..Administrative and Support Service Activities";"Strike/lockout/work stoppage";17
"..Administrative and Support Service Activities";"Typhoon/flood/landslide";39
"..Administrative and Support Service Activities";"Earthquake";5
"..Administrative and Support Service Activities";"Fire";1
"..Administrative and Support Service Activities";"Human acts of terror";0
"..Administrative and Support Service Activities";"Disease outbreak";118
"..Administrative and Support Service Activities";"Others";14
"..Education Except Public Education";"Total Establishments";4156
"..Education Except Public Education";"Total Establishments with PIPs";1611
"..Education Except Public Education";"Lack of funds";341
"..Education Except Public Education";"Change in the owner/s' or management's priorities";24
"..Education Except Public Education";"Lack of manpower or support from the employees";80
"..Education Except Public Education";"Strike/lockout/work stoppage";3
"..Education Except Public Education";"Typhoon/flood/landslide";56
"..Education Except Public Education";"Earthquake";53
"..Education Except Public Education";"Fire";51
"..Education Except Public Education";"Human acts of terror";0
"..Education Except Public Education";"Disease outbreak";42
"..Education Except Public Education";"Others";12
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";1447
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";722
"..Human Health and Social Work Activities Except Public Health Activities";"Lack of funds";190
"..Human Health and Social Work Activities Except Public Health Activities";"Change in the owner/s' or management's priorities";21
"..Human Health and Social Work Activities Except Public Health Activities";"Lack of manpower or support from the employees";129
"..Human Health and Social Work Activities Except Public Health Activities";"Strike/lockout/work stoppage";1
"..Human Health and Social Work Activities Except Public Health Activities";"Typhoon/flood/landslide";3
"..Human Health and Social Work Activities Except Public Health Activities";"Earthquake";5
"..Human Health and Social Work Activities Except Public Health Activities";"Fire";0
"..Human Health and Social Work Activities Except Public Health Activities";"Human acts of terror";0
"..Human Health and Social Work Activities Except Public Health Activities";"Disease outbreak";53
"..Human Health and Social Work Activities Except Public Health Activities";"Others";4
"..Arts, Entertainment and  Recreation";"Total Establishments";313
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";152
"..Arts, Entertainment and  Recreation";"Lack of funds";24
"..Arts, Entertainment and  Recreation";"Change in the owner/s' or management's priorities";4
"..Arts, Entertainment and  Recreation";"Lack of manpower or support from the employees";0
"..Arts, Entertainment and  Recreation";"Strike/lockout/work stoppage";0
"..Arts, Entertainment and  Recreation";"Typhoon/flood/landslide";2
"..Arts, Entertainment and  Recreation";"Earthquake";0
"..Arts, Entertainment and  Recreation";"Fire";0
"..Arts, Entertainment and  Recreation";"Human acts of terror";0
"..Arts, Entertainment and  Recreation";"Disease outbreak";6
"..Arts, Entertainment and  Recreation";"Others";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";363
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Lack of funds";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Change in the owner/s' or management's priorities";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Lack of manpower or support from the employees";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Strike/lockout/work stoppage";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Typhoon/flood/landslide";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Earthquake";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Fire";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Human acts of terror";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Disease outbreak";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";0
