"Number of Establishments Employing 20 or More Workers With Preventive and Control Measures/Activities Against Work Safety and Health Hazards by Type of Activity Conducted and Major Industry Group, Philippines: 2012-2013 to 2017"

"Preventive and Control Measures/Activities";"Major Industry Group";"2013";"2015";"2017"
"Dissemination of info materials on safety and health";"..Real Estate Activities";271;239;335
"Dissemination of info materials on safety and health";"..Professional, Scientific and Technical Activities";325;440;501
"Dissemination of info materials on safety and health";"..Administrative and Support Service Activities";1315;1227;1466
"Dissemination of info materials on safety and health";"..Education Except Public Education";2413;2317;2604
"Dissemination of info materials on safety and health";"..Human Health and Social Work Activities Except Public Health Activities";680;798;856
"Dissemination of info materials on safety and health";"..Arts, Entertainment and  Recreation";144;131;165
"Dissemination of info materials on safety and health";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";229;197;225
"Submission of required reports on illness/injuries to DOLE";"Number of Establishments with Preventive and Control Measures/ Activities";13214;16104;19692
"Submission of required reports on illness/injuries to DOLE";"..Agriculture, Forestry and Fishing";386;371;475
"Submission of required reports on illness/injuries to DOLE";"..Mining and Quarrying";81;79;110
"Submission of required reports on illness/injuries to DOLE";"..Manufacturing";3166;3643;4177
"Submission of required reports on illness/injuries to DOLE";"..Electricity, Gas, Steam and Air Conditioning Supply";303;200;248
"Submission of required reports on illness/injuries to DOLE";"..Water Supply; Sewerage, Waste Management and Remediation Activities";63;61;72
"Submission of required reports on illness/injuries to DOLE";"..Construction";480;621;665
"Submission of required reports on illness/injuries to DOLE";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2753;3423;4713
"Submission of required reports on illness/injuries to DOLE";"..Transportation and Storage";446;490;700
"Submission of required reports on illness/injuries to DOLE";"..Accommodation and Food Service Activities";1919;2456;2877
"Submission of required reports on illness/injuries to DOLE";"..Information and Communication";360;513;477
"Submission of required reports on illness/injuries to DOLE";"..Financial and Insurance Activities";178;745;638
"Submission of required reports on illness/injuries to DOLE";"..Real Estate Activities";210;185;276
"Submission of required reports on illness/injuries to DOLE";"..Professional, Scientific and Technical Activities";183;290;385
"Submission of required reports on illness/injuries to DOLE";"..Administrative and Support Service Activities";917;1160;1438
"Submission of required reports on illness/injuries to DOLE";"..Education Except Public Education";1071;1116;1445
"Submission of required reports on illness/injuries to DOLE";"..Human Health and Social Work Activities Except Public Health Activities";451;529;674
"Submission of required reports on illness/injuries to DOLE";"..Arts, Entertainment and  Recreation";100;92;137
"Submission of required reports on illness/injuries to DOLE";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";148;128;185
"Training on safety and health for officers and workers";"Number of Establishments with Preventive and Control Measures/ Activities";18773;21135;23148
"Training on safety and health for officers and workers";"..Agriculture, Forestry and Fishing";335;492;571
"Training on safety and health for officers and workers";"..Mining and Quarrying";145;123;118
"Training on safety and health for officers and workers";"..Manufacturing";3946;4406;4535
"Training on safety and health for officers and workers";"..Electricity, Gas, Steam and Air Conditioning Supply";347;226;253
"Training on safety and health for officers and workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";113;168;170
"Training on safety and health for officers and workers";"..Construction";917;804;822
"Training on safety and health for officers and workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3456;4392;5322
"Training on safety and health for officers and workers";"..Transportation and Storage";763;651;783
"Training on safety and health for officers and workers";"..Accommodation and Food Service Activities";2763;3204;3347
"Training on safety and health for officers and workers";"..Information and Communication";353;502;493
"Training on safety and health for officers and workers";"..Financial and Insurance Activities";496;941;828
"Training on safety and health for officers and workers";"..Real Estate Activities";256;254;341
"Training on safety and health for officers and workers";"..Professional, Scientific and Technical Activities";254;386;479
"Training on safety and health for officers and workers";"..Administrative and Support Service Activities";1296;1353;1525
"Training on safety and health for officers and workers";"..Education Except Public Education";2209;2140;2276
"Training on safety and health for officers and workers";"..Human Health and Social Work Activities Except Public Health Activities";777;786;866
"Training on safety and health for officers and workers";"..Arts, Entertainment and  Recreation";124;146;175
"Training on safety and health for officers and workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";225;159;241
"HIV and AIDS education in the workplace";"Number of Establishments with Preventive and Control Measures/ Activities";10157;14187;17437
"HIV and AIDS education in the workplace";"..Agriculture, Forestry and Fishing";251;290;335
"HIV and AIDS education in the workplace";"..Mining and Quarrying";41;60;82
"HIV and AIDS education in the workplace";"..Manufacturing";1721;2803;3399
"HIV and AIDS education in the workplace";"..Electricity, Gas, Steam and Air Conditioning Supply";211;139;191
"HIV and AIDS education in the workplace";"..Water Supply; Sewerage, Waste Management and Remediation Activities";46;59;66
"HIV and AIDS education in the workplace";"..Construction";499;448;495
"HIV and AIDS education in the workplace";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1837;2989;4140
"HIV and AIDS education in the workplace";"..Transportation and Storage";292;397;597
"HIV and AIDS education in the workplace";"..Accommodation and Food Service Activities";1698;2216;2701
"HIV and AIDS education in the workplace";"..Information and Communication";253;369;398
"HIV and AIDS education in the workplace";"..Financial and Insurance Activities";181;631;571
"HIV and AIDS education in the workplace";"..Real Estate Activities";87;136;240
"HIV and AIDS education in the workplace";"..Professional, Scientific and Technical Activities";117;254;313
"HIV and AIDS education in the workplace";"..Administrative and Support Service Activities";738;1026;1220
"HIV and AIDS education in the workplace";"..Education Except Public Education";1354;1350;1573
"HIV and AIDS education in the workplace";"..Human Health and Social Work Activities Except Public Health Activities";646;721;800
"HIV and AIDS education in the workplace";"..Arts, Entertainment and  Recreation";48;110;104
"HIV and AIDS education in the workplace";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";137;189;210
"Regular inspection and maintenance of equipment";"Number of Establishments with Preventive and Control Measures/ Activities";25891;24461;25968
"Regular inspection and maintenance of equipment";"..Agriculture, Forestry and Fishing";932;804;842
"Regular inspection and maintenance of equipment";"..Mining and Quarrying";170;135;136
"Regular inspection and maintenance of equipment";"..Manufacturing";5749;5256;5207
"Regular inspection and maintenance of equipment";"..Electricity, Gas, Steam and Air Conditioning Supply";340;223;261
"Regular inspection and maintenance of equipment";"..Water Supply; Sewerage, Waste Management and Remediation Activities";248;277;264
"Regular inspection and maintenance of equipment";"..Construction";926;866;844
"Regular inspection and maintenance of equipment";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5339;5126;6004
"Regular inspection and maintenance of equipment";"..Transportation and Storage";910;803;865
"Regular inspection and maintenance of equipment";"..Accommodation and Food Service Activities";3777;3532;3715
"Regular inspection and maintenance of equipment";"..Information and Communication";639;594;596
"Regular inspection and maintenance of equipment";"..Financial and Insurance Activities";757;1028;907
"Regular inspection and maintenance of equipment";"..Real Estate Activities";354;291;371
"Regular inspection and maintenance of equipment";"..Professional, Scientific and Technical Activities";414;456;534
"Regular inspection and maintenance of equipment";"..Administrative and Support Service Activities";1364;1314;1452
"Regular inspection and maintenance of equipment";"..Education Except Public Education";2630;2435;2556
"Regular inspection and maintenance of equipment";"..Human Health and Social Work Activities Except Public Health Activities";820;877;936
"Regular inspection and maintenance of equipment";"..Arts, Entertainment and  Recreation";209;163;181
"Regular inspection and maintenance of equipment";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";312;281;296
"Advocacy, education and training on drug-free workplace";"Number of Establishments with Preventive and Control Measures/ Activities";17792;20229;22858
"Advocacy, education and training on drug-free workplace";"..Agriculture, Forestry and Fishing";469;467;591
"Advocacy, education and training on drug-free workplace";"..Mining and Quarrying";96;81;114
"Advocacy, education and training on drug-free workplace";"..Manufacturing";3201;3968;4259
"Advocacy, education and training on drug-free workplace";"..Electricity, Gas, Steam and Air Conditioning Supply";324;178;230
"Advocacy, education and training on drug-free workplace";"..Water Supply; Sewerage, Waste Management and Remediation Activities";133;164;198
"Advocacy, education and training on drug-free workplace";"..Construction";687;674;691
"Advocacy, education and training on drug-free workplace";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3680;4263;5443
"Advocacy, education and training on drug-free workplace";"..Transportation and Storage";616;687;795
"Advocacy, education and training on drug-free workplace";"..Accommodation and Food Service Activities";2491;2946;3210
"Advocacy, education and training on drug-free workplace";"..Information and Communication";457;471;489
"Advocacy, education and training on drug-free workplace";"..Financial and Insurance Activities";419;900;780
"Advocacy, education and training on drug-free workplace";"..Real Estate Activities";180;228;304
"Advocacy, education and training on drug-free workplace";"..Professional, Scientific and Technical Activities";275;413;457
"Advocacy, education and training on drug-free workplace";"..Administrative and Support Service Activities";1247;1250;1409
"Advocacy, education and training on drug-free workplace";"..Education Except Public Education";2605;2439;2663
"Advocacy, education and training on drug-free workplace";"..Human Health and Social Work Activities Except Public Health Activities";606;762;806
"Advocacy, education and training on drug-free workplace";"..Arts, Entertainment and  Recreation";123;136;148
"Advocacy, education and training on drug-free workplace";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";184;204;270
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"Number of Establishments with Preventive and Control Measures/ Activities";13985;15859;19241
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Agriculture, Forestry and Fishing";461;436;493
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Mining and Quarrying";78;71;93
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Manufacturing";2994;3436;3876
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Electricity, Gas, Steam and Air Conditioning Supply";213;151;177
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";113;126;108
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Construction";570;511;577
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2849;3427;4651
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Transportation and Storage";544;485;637
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Accommodation and Food Service Activities";2091;2339;2829
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Information and Communication";351;388;448
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Financial and Insurance Activities";263;656;677
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Real Estate Activities";113;177;233
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Professional, Scientific and Technical Activities";249;348;404
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Administrative and Support Service Activities";776;1004;1261
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Education Except Public Education";1375;1286;1595
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Human Health and Social Work Activities Except Public Health Activities";710;745;827
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Arts, Entertainment and  Recreation";78;117;132
"Provision of work accommodation measures to support workers with tuberculosis (e.g., flexible leave/work schedule)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";158;155;223
"Smoke-free workplace";"Number of Establishments with Preventive and Control Measures/ Activities";26608;25539;27563
"Smoke-free workplace";"..Agriculture, Forestry and Fishing";692;681;705
"Smoke-free workplace";"..Mining and Quarrying";111;103;123
"Smoke-free workplace";"..Manufacturing";5057;5069;5036
"Smoke-free workplace";"..Electricity, Gas, Steam and Air Conditioning Supply";338;188;239
"Smoke-free workplace";"..Water Supply; Sewerage, Waste Management and Remediation Activities";238;267;285
"Smoke-free workplace";"..Construction";777;762;818
"Smoke-free workplace";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";5901;5841;6797
"Smoke-free workplace";"..Transportation and Storage";830;757;872
"Smoke-free workplace";"..Accommodation and Food Service Activities";3598;3184;3685
"Smoke-free workplace";"..Information and Communication";726;694;668
"Smoke-free workplace";"..Financial and Insurance Activities";1090;1207;1109
"Smoke-free workplace";"..Real Estate Activities";349;339;371
"Smoke-free workplace";"..Professional, Scientific and Technical Activities";510;558;612
"Smoke-free workplace";"..Administrative and Support Service Activities";1522;1513;1611
"Smoke-free workplace";"..Education Except Public Education";3458;3038;3177
"Smoke-free workplace";"..Human Health and Social Work Activities Except Public Health Activities";841;876;961
"Smoke-free workplace";"..Arts, Entertainment and  Recreation";185;169;195
"Smoke-free workplace";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";386;294;302
"Periodic/annual medical exam of workers";"Number of Establishments with Preventive and Control Measures/ Activities";23780;23036;24025
"Periodic/annual medical exam of workers";"..Agriculture, Forestry and Fishing";652;495;558
"Periodic/annual medical exam of workers";"..Mining and Quarrying";97;106;108
"Periodic/annual medical exam of workers";"..Manufacturing";4487;4655;4704
"Periodic/annual medical exam of workers";"..Electricity, Gas, Steam and Air Conditioning Supply";357;217;254
"Periodic/annual medical exam of workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";222;190;166
"Periodic/annual medical exam of workers";"..Construction";519;622;640
"Periodic/annual medical exam of workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4701;4781;5506
"Periodic/annual medical exam of workers";"..Transportation and Storage";814;680;783
"Periodic/annual medical exam of workers";"..Accommodation and Food Service Activities";3723;3485;3494
"Periodic/annual medical exam of workers";"..Information and Communication";727;662;611
"Periodic/annual medical exam of workers";"..Financial and Insurance Activities";908;1182;1012
