"Number of Establishments Employing 20 or More Workers Who Disseminated Information on ECP by Mode of Information Dissemination and Major Industry Group, Philippines:  2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0071B3E9070.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Information Dissemination";"Major Industry Group";"2017"
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1561
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Transportation and Storage";194
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Accommodation and Food Service Activities";924
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Information and Communication";144
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Financial and Insurance Activities";289
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Real Estate Activities";100
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Professional, Scientific and Technical Activities";79
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Administrative and Support Service Activities";394
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Education Except Public Education";592
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Human Health and Social Work Activities Except Public Health Activities";266
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Arts, Entertainment and  Recreation";45
"Echo Seminar on ECP (Solely initiated by Establishment)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";66
"Echo Seminar on ECP (In coordination with ECC)";"ALL INDUSTRIES";2290
"Echo Seminar on ECP (In coordination with ECC)";"..Agriculture, Forestry and Fishing";90
"Echo Seminar on ECP (In coordination with ECC)";"..Mining and Quarrying";16
"Echo Seminar on ECP (In coordination with ECC)";"..Manufacturing";477
"Echo Seminar on ECP (In coordination with ECC)";"..Electricity, Gas, Steam and Air Conditioning Supply";45
"Echo Seminar on ECP (In coordination with ECC)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";11
"Echo Seminar on ECP (In coordination with ECC)";"..Construction";64
"Echo Seminar on ECP (In coordination with ECC)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";516
"Echo Seminar on ECP (In coordination with ECC)";"..Transportation and Storage";86
"Echo Seminar on ECP (In coordination with ECC)";"..Accommodation and Food Service Activities";316
"Echo Seminar on ECP (In coordination with ECC)";"..Information and Communication";35
"Echo Seminar on ECP (In coordination with ECC)";"..Financial and Insurance Activities";80
"Echo Seminar on ECP (In coordination with ECC)";"..Real Estate Activities";43
"Echo Seminar on ECP (In coordination with ECC)";"..Professional, Scientific and Technical Activities";36
"Echo Seminar on ECP (In coordination with ECC)";"..Administrative and Support Service Activities";144
"Echo Seminar on ECP (In coordination with ECC)";"..Education Except Public Education";223
"Echo Seminar on ECP (In coordination with ECC)";"..Human Health and Social Work Activities Except Public Health Activities";82
"Echo Seminar on ECP (In coordination with ECC)";"..Arts, Entertainment and  Recreation";16
"Echo Seminar on ECP (In coordination with ECC)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";9
"Echo Seminar on ECP (In coordination with SSS)";"ALL INDUSTRIES";7632
"Echo Seminar on ECP (In coordination with SSS)";"..Agriculture, Forestry and Fishing";255
"Echo Seminar on ECP (In coordination with SSS)";"..Mining and Quarrying";32
"Echo Seminar on ECP (In coordination with SSS)";"..Manufacturing";1502
"Echo Seminar on ECP (In coordination with SSS)";"..Electricity, Gas, Steam and Air Conditioning Supply";131
"Echo Seminar on ECP (In coordination with SSS)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";28
"Echo Seminar on ECP (In coordination with SSS)";"..Construction";237
"Echo Seminar on ECP (In coordination with SSS)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1855
"Echo Seminar on ECP (In coordination with SSS)";"..Transportation and Storage";274
"Echo Seminar on ECP (In coordination with SSS)";"..Accommodation and Food Service Activities";944
"Echo Seminar on ECP (In coordination with SSS)";"..Information and Communication";125
"Echo Seminar on ECP (In coordination with SSS)";"..Financial and Insurance Activities";309
"Echo Seminar on ECP (In coordination with SSS)";"..Real Estate Activities";103
"Echo Seminar on ECP (In coordination with SSS)";"..Professional, Scientific and Technical Activities";133
"Echo Seminar on ECP (In coordination with SSS)";"..Administrative and Support Service Activities";494
"Echo Seminar on ECP (In coordination with SSS)";"..Education Except Public Education";863
"Echo Seminar on ECP (In coordination with SSS)";"..Human Health and Social Work Activities Except Public Health Activities";220
"Echo Seminar on ECP (In coordination with SSS)";"..Arts, Entertainment and  Recreation";48
"Echo Seminar on ECP (In coordination with SSS)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";78
"Echo Seminar on ECP (In coordination with GSIS)";"ALL INDUSTRIES";282
"Echo Seminar on ECP (In coordination with GSIS)";"..Agriculture, Forestry and Fishing";27
"Echo Seminar on ECP (In coordination with GSIS)";"..Mining and Quarrying";..
"Echo Seminar on ECP (In coordination with GSIS)";"..Manufacturing";31
"Echo Seminar on ECP (In coordination with GSIS)";"..Electricity, Gas, Steam and Air Conditioning Supply";5
"Echo Seminar on ECP (In coordination with GSIS)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";60
"Echo Seminar on ECP (In coordination with GSIS)";"..Construction";4
"Echo Seminar on ECP (In coordination with GSIS)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";41
"Echo Seminar on ECP (In coordination with GSIS)";"..Transportation and Storage";10
"Echo Seminar on ECP (In coordination with GSIS)";"..Accommodation and Food Service Activities";28
"Echo Seminar on ECP (In coordination with GSIS)";"..Information and Communication";5
"Echo Seminar on ECP (In coordination with GSIS)";"..Financial and Insurance Activities";18
"Echo Seminar on ECP (In coordination with GSIS)";"..Real Estate Activities";7
"Echo Seminar on ECP (In coordination with GSIS)";"..Professional, Scientific and Technical Activities";..
"Echo Seminar on ECP (In coordination with GSIS)";"..Administrative and Support Service Activities";12
"Echo Seminar on ECP (In coordination with GSIS)";"..Education Except Public Education";20
"Echo Seminar on ECP (In coordination with GSIS)";"..Human Health and Social Work Activities Except Public Health Activities";7
"Echo Seminar on ECP (In coordination with GSIS)";"..Arts, Entertainment and  Recreation";5
"Echo Seminar on ECP (In coordination with GSIS)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Flyers/Posters";"ALL INDUSTRIES";2642
"Flyers/Posters";"..Agriculture, Forestry and Fishing";56
"Flyers/Posters";"..Mining and Quarrying";21
"Flyers/Posters";"..Manufacturing";682
"Flyers/Posters";"..Electricity, Gas, Steam and Air Conditioning Supply";25
"Flyers/Posters";"..Water Supply; Sewerage, Waste Management and Remediation Activities";6
"Flyers/Posters";"..Construction";57
"Flyers/Posters";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";592
"Flyers/Posters";"..Transportation and Storage";82
"Flyers/Posters";"..Accommodation and Food Service Activities";298
"Flyers/Posters";"..Information and Communication";41
"Flyers/Posters";"..Financial and Insurance Activities";81
"Flyers/Posters";"..Real Estate Activities";35
"Flyers/Posters";"..Professional, Scientific and Technical Activities";53
"Flyers/Posters";"..Administrative and Support Service Activities";165
"Flyers/Posters";"..Education Except Public Education";304
"Flyers/Posters";"..Human Health and Social Work Activities Except Public Health Activities";116
"Flyers/Posters";"..Arts, Entertainment and  Recreation";10
"Flyers/Posters";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";18
"Youtube Social Media";"ALL INDUSTRIES";299
"Youtube Social Media";"..Agriculture, Forestry and Fishing";..
"Youtube Social Media";"..Mining and Quarrying";1
"Youtube Social Media";"..Manufacturing";40
"Youtube Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Youtube Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Youtube Social Media";"..Construction";15
"Youtube Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";73
"Youtube Social Media";"..Transportation and Storage";6
"Youtube Social Media";"..Accommodation and Food Service Activities";46
"Youtube Social Media";"..Information and Communication";7
"Youtube Social Media";"..Financial and Insurance Activities";8
"Youtube Social Media";"..Real Estate Activities";..
"Youtube Social Media";"..Professional, Scientific and Technical Activities";5
"Youtube Social Media";"..Administrative and Support Service Activities";21
"Youtube Social Media";"..Education Except Public Education";51
"Youtube Social Media";"..Human Health and Social Work Activities Except Public Health Activities";17
"Youtube Social Media";"..Arts, Entertainment and  Recreation";..
"Youtube Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";4
"Instagram Social Media";"ALL INDUSTRIES";51
"Instagram Social Media";"..Agriculture, Forestry and Fishing";..
"Instagram Social Media";"..Mining and Quarrying";..
"Instagram Social Media";"..Manufacturing";3
"Instagram Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Instagram Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Instagram Social Media";"..Construction";3
"Instagram Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";13
"Instagram Social Media";"..Transportation and Storage";..
"Instagram Social Media";"..Accommodation and Food Service Activities";22
"Instagram Social Media";"..Information and Communication";..
"Instagram Social Media";"..Financial and Insurance Activities";3
"Instagram Social Media";"..Real Estate Activities";..
"Instagram Social Media";"..Professional, Scientific and Technical Activities";..
"Instagram Social Media";"..Administrative and Support Service Activities";4
"Instagram Social Media";"..Education Except Public Education";..
"Instagram Social Media";"..Human Health and Social Work Activities Except Public Health Activities";3
"Instagram Social Media";"..Arts, Entertainment and  Recreation";..
"Instagram Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Facebook Social Media";"ALL INDUSTRIES";1183
"Facebook Social Media";"..Agriculture, Forestry and Fishing";42
"Facebook Social Media";"..Mining and Quarrying";3
"Facebook Social Media";"..Manufacturing";164
"Facebook Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";8
"Facebook Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";3
"Facebook Social Media";"..Construction";28
"Facebook Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";287
"Facebook Social Media";"..Transportation and Storage";55
"Facebook Social Media";"..Accommodation and Food Service Activities";198
"Facebook Social Media";"..Information and Communication";28
"Facebook Social Media";"..Financial and Insurance Activities";44
"Facebook Social Media";"..Real Estate Activities";23
"Facebook Social Media";"..Professional, Scientific and Technical Activities";15
"Facebook Social Media";"..Administrative and Support Service Activities";88
"Facebook Social Media";"..Education Except Public Education";129
"Facebook Social Media";"..Human Health and Social Work Activities Except Public Health Activities";48
"Facebook Social Media";"..Arts, Entertainment and  Recreation";9
"Facebook Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";11
"Twitter Social Media";"ALL INDUSTRIES";36
"Twitter Social Media";"..Agriculture, Forestry and Fishing";..
"Twitter Social Media";"..Mining and Quarrying";..
"Twitter Social Media";"..Manufacturing";1
"Twitter Social Media";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Twitter Social Media";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Twitter Social Media";"..Construction";3
"Twitter Social Media";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";12
"Twitter Social Media";"..Transportation and Storage";..
"Twitter Social Media";"..Accommodation and Food Service Activities";1
"Twitter Social Media";"..Information and Communication";..
"Twitter Social Media";"..Financial and Insurance Activities";3
"Twitter Social Media";"..Real Estate Activities";..
"Twitter Social Media";"..Professional, Scientific and Technical Activities";..
"Twitter Social Media";"..Administrative and Support Service Activities";3
"Twitter Social Media";"..Education Except Public Education";7
"Twitter Social Media";"..Human Health and Social Work Activities Except Public Health Activities";7
"Twitter Social Media";"..Arts, Entertainment and  Recreation";..
"Twitter Social Media";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Email/Chat Blast";"ALL INDUSTRIES";1821
"Email/Chat Blast";"..Agriculture, Forestry and Fishing";22
"Email/Chat Blast";"..Mining and Quarrying";11
"Email/Chat Blast";"..Manufacturing";276
"Email/Chat Blast";"..Electricity, Gas, Steam and Air Conditioning Supply";20
"Email/Chat Blast";"..Water Supply; Sewerage, Waste Management and Remediation Activities";5
"Email/Chat Blast";"..Construction";47
"Email/Chat Blast";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";441
"Email/Chat Blast";"..Transportation and Storage";40
"Email/Chat Blast";"..Accommodation and Food Service Activities";326
"Email/Chat Blast";"..Information and Communication";95
"Email/Chat Blast";"..Financial and Insurance Activities";113
"Email/Chat Blast";"..Real Estate Activities";27
"Email/Chat Blast";"..Professional, Scientific and Technical Activities";63
"Email/Chat Blast";"..Administrative and Support Service Activities";153
"Email/Chat Blast";"..Education Except Public Education";93
"Email/Chat Blast";"..Human Health and Social Work Activities Except Public Health Activities";48
"Email/Chat Blast";"..Arts, Entertainment and  Recreation";26
"Email/Chat Blast";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";16
"Text Blast";"ALL INDUSTRIES";469
"Text Blast";"..Agriculture, Forestry and Fishing";5
"Text Blast";"..Mining and Quarrying";..
"Text Blast";"..Manufacturing";59
"Text Blast";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Text Blast";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Text Blast";"..Construction";17
"Text Blast";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";151
"Text Blast";"..Transportation and Storage";21
"Text Blast";"..Accommodation and Food Service Activities";56
"Text Blast";"..Information and Communication";15
"Text Blast";"..Financial and Insurance Activities";26
"Text Blast";"..Real Estate Activities";7
"Text Blast";"..Professional, Scientific and Technical Activities";4
"Text Blast";"..Administrative and Support Service Activities";41
"Text Blast";"..Education Except Public Education";34
"Text Blast";"..Human Health and Social Work Activities Except Public Health Activities";8
"Text Blast";"..Arts, Entertainment and  Recreation";15
"Text Blast";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";7
"Others";"ALL INDUSTRIES";959
"Others";"..Agriculture, Forestry and Fishing";12
"Others";"..Mining and Quarrying";4
"Others";"..Manufacturing";191
"Others";"..Electricity, Gas, Steam and Air Conditioning Supply";5
"Others";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Others";"..Construction";38
"Others";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";231
"Others";"..Transportation and Storage";34
"Others";"..Accommodation and Food Service Activities";109
"Others";"..Information and Communication";26
"Others";"..Financial and Insurance Activities";57
"Others";"..Real Estate Activities";18
"Others";"..Professional, Scientific and Technical Activities";26
"Others";"..Administrative and Support Service Activities";66
"Others";"..Education Except Public Education";98
"Others";"..Human Health and Social Work Activities Except Public Health Activities";35
"Others";"..Arts, Entertainment and  Recreation";..
"Others";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";9
