"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Assisting Agency and Major Industry Group, Philippines: 2015"

"Major Industry Group";"Assisting Agency";"2015"
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Science and Technology";10
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Government Agencies";7
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Non-Government Organizations";1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Private Sector Organizations";76
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"None";437
"..Transportation and Storage";"Total Productivity Programs Implemented";72
"..Transportation and Storage";"Department of Labor and Employment";14
"..Transportation and Storage";"Department of Trade of Industry";0
"..Transportation and Storage";"Department of Science and Technology";1
"..Transportation and Storage";"Other Government Agencies";1
"..Transportation and Storage";"Non-Government Organizations";0
"..Transportation and Storage";"Private Sector Organizations";0
"..Transportation and Storage";"None";56
"..Accommodation and Food Service Activities";"Total Productivity Programs Implemented";511
"..Accommodation and Food Service Activities";"Department of Labor and Employment";155
"..Accommodation and Food Service Activities";"Department of Trade of Industry";20
"..Accommodation and Food Service Activities";"Department of Science and Technology";7
"..Accommodation and Food Service Activities";"Other Government Agencies";21
"..Accommodation and Food Service Activities";"Non-Government Organizations";8
"..Accommodation and Food Service Activities";"Private Sector Organizations";42
"..Accommodation and Food Service Activities";"None";278
"..Information and Communication";"Total Productivity Programs Implemented";48
"..Information and Communication";"Department of Labor and Employment";0
"..Information and Communication";"Department of Trade of Industry";6
"..Information and Communication";"Department of Science and Technology";0
"..Information and Communication";"Other Government Agencies";1
"..Information and Communication";"Non-Government Organizations";0
"..Information and Communication";"Private Sector Organizations";0
"..Information and Communication";"None";41
"..Financial and Insurance Activities";"Total Productivity Programs Implemented";177
"..Financial and Insurance Activities";"Department of Labor and Employment";37
"..Financial and Insurance Activities";"Department of Trade of Industry";1
"..Financial and Insurance Activities";"Department of Science and Technology";0
"..Financial and Insurance Activities";"Other Government Agencies";2
"..Financial and Insurance Activities";"Non-Government Organizations";0
"..Financial and Insurance Activities";"Private Sector Organizations";16
"..Financial and Insurance Activities";"None";122
"..Real Estate Activities";"Total Productivity Programs Implemented";31
"..Real Estate Activities";"Department of Labor and Employment";16
"..Real Estate Activities";"Department of Trade of Industry";1
"..Real Estate Activities";"Department of Science and Technology";0
"..Real Estate Activities";"Other Government Agencies";1
"..Real Estate Activities";"Non-Government Organizations";0
"..Real Estate Activities";"Private Sector Organizations";7
"..Real Estate Activities";"None";7
"..Professional, Scientific and Technical Activities";"Total Productivity Programs Implemented";61
"..Professional, Scientific and Technical Activities";"Department of Labor and Employment";12
"..Professional, Scientific and Technical Activities";"Department of Trade of Industry";0
"..Professional, Scientific and Technical Activities";"Department of Science and Technology";0
"..Professional, Scientific and Technical Activities";"Other Government Agencies";0
"..Professional, Scientific and Technical Activities";"Non-Government Organizations";0
"..Professional, Scientific and Technical Activities";"Private Sector Organizations";8
"..Professional, Scientific and Technical Activities";"None";47
"..Administrative and Support Service Activities";"Total Productivity Programs Implemented";133
"..Administrative and Support Service Activities";"Department of Labor and Employment";24
"..Administrative and Support Service Activities";"Department of Trade of Industry";6
"..Administrative and Support Service Activities";"Department of Science and Technology";0
"..Administrative and Support Service Activities";"Other Government Agencies";1
"..Administrative and Support Service Activities";"Non-Government Organizations";0
"..Administrative and Support Service Activities";"Private Sector Organizations";13
"..Administrative and Support Service Activities";"None";91
"..Education Except Public Education";"Total Productivity Programs Implemented";255
"..Education Except Public Education";"Department of Labor and Employment";38
"..Education Except Public Education";"Department of Trade of Industry";2
"..Education Except Public Education";"Department of Science and Technology";2
"..Education Except Public Education";"Other Government Agencies";52
"..Education Except Public Education";"Non-Government Organizations";1
"..Education Except Public Education";"Private Sector Organizations";46
"..Education Except Public Education";"None";140
"..Human Health and Social Work Activities Except Public Health Activities";"Total Productivity Programs Implemented";127
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Labor and Employment";13
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Trade of Industry";6
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Science and Technology";1
"..Human Health and Social Work Activities Except Public Health Activities";"Other Government Agencies";21
"..Human Health and Social Work Activities Except Public Health Activities";"Non-Government Organizations";0
"..Human Health and Social Work Activities Except Public Health Activities";"Private Sector Organizations";16
"..Human Health and Social Work Activities Except Public Health Activities";"None";75
"..Arts, Entertainment and Recreation";"Total Productivity Programs Implemented";18
"..Arts, Entertainment and Recreation";"Department of Labor and Employment";7
"..Arts, Entertainment and Recreation";"Department of Trade of Industry";0
"..Arts, Entertainment and Recreation";"Department of Science and Technology";0
"..Arts, Entertainment and Recreation";"Other Government Agencies";7
"..Arts, Entertainment and Recreation";"Non-Government Organizations";0
"..Arts, Entertainment and Recreation";"Private Sector Organizations";1
"..Arts, Entertainment and Recreation";"None";3
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Productivity Programs Implemented";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Labor and Employment";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Trade of Industry";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Science and Technology";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Government Agencies";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Non-Government Organizations";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Private Sector Organizations";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"None";10
