"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Assisting Government Agency and Major Industry Group, Philippines:  2013 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/7251B3GP130.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Assisting Government Agency";"2013";"2015";"2017";"2019"
"..Manufacturing";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;92;112
"..Manufacturing";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;5;1
"..Manufacturing";"Other Assisting Agencies";222;.;106;60
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments with PIPs";.;.;188;172
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Establishments Assisted";120;.;.;77
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;44;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Labor and Employment (DOLE)";56;.;.;42
"..Electricity, Gas, Steam and Air Conditioning Supply";"Regional Tripartite Wage and Productivity Board (RTWPB)";35;.;.;47
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Science and Technology (DOST)";2;.;0;17
"..Electricity, Gas, Steam and Air Conditioning Supply";"Development Academy of the Philippines (DAP)";2;.;0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Trade of Industry";2;.;.;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;0;5
"..Electricity, Gas, Steam and Air Conditioning Supply";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Assisting Agencies";56;.;24;12
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments with PIPs";.;.;192;126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments Assisted";116;.;.;42
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;8;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Labor and Employment (DOLE)";9;.;.;37
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";0;.;.;25
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Science and Technology (DOST)";5;.;1;10
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Development Academy of the Philippines (DAP)";8;.;11;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Trade of Industry";3;.;.;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;1;1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Assisting Agencies";106;.;62;4
"..Construction";"Total Establishments with PIPs";.;.;487;440
"..Construction";"Total Establishments Assisted";237;.;.;214
"..Construction";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;116;.
"..Construction";"Department of Labor and Employment (DOLE)";230;.;.;202
"..Construction";"Regional Tripartite Wage and Productivity Board (RTWPB)";71;.;.;46
"..Construction";"Department of Science and Technology (DOST)";0;.;1;3
"..Construction";"Development Academy of the Philippines (DAP)";0;.;0;0
"..Construction";"Department of Trade of Industry";20;.;.;.
"..Construction";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;10;4
"..Construction";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Construction";"Other Assisting Agencies";4;.;3;10
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";.;.;4126;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments Assisted";1177;.;.;984
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;959;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Labor and Employment (DOLE)";805;.;.;789
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Regional Tripartite Wage and Productivity Board (RTWPB)";289;.;.;229
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Science and Technology (DOST)";31;.;14;9
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Development Academy of the Philippines (DAP)";4;.;1;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Trade of Industry";500;.;.;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;166;174
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;16;0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Other Assisting Agencies";12;.;84;77
"..Transportation and Storage";"Total Establishments with PIPs";.;.;499;425
"..Transportation and Storage";"Total Establishments Assisted";230;.;.;62
"..Transportation and Storage";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;112;.
"..Transportation and Storage";"Department of Labor and Employment (DOLE)";173;.;.;37
"..Transportation and Storage";"Regional Tripartite Wage and Productivity Board (RTWPB)";56;.;.;20
"..Transportation and Storage";"Department of Science and Technology (DOST)";4;.;5;12
"..Transportation and Storage";"Development Academy of the Philippines (DAP)";1;.;0;0
"..Transportation and Storage";"Department of Trade of Industry";32;.;.;.
"..Transportation and Storage";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;0;3
"..Transportation and Storage";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;1;0
"..Transportation and Storage";"Other Assisting Agencies";31;.;15;6
"..Accommodation and Food Service Activities";"Total Establishments with PIPs";.;.;2531;2261
"..Accommodation and Food Service Activities";"Total Establishments Assisted";743;.;.;643
"..Accommodation and Food Service Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;600;.
"..Accommodation and Food Service Activities";"Department of Labor and Employment (DOLE)";586;.;.;570
"..Accommodation and Food Service Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";249;.;.;252
"..Accommodation and Food Service Activities";"Department of Science and Technology (DOST)";1;.;55;2
"..Accommodation and Food Service Activities";"Development Academy of the Philippines (DAP)";0;.;5;0
"..Accommodation and Food Service Activities";"Department of Trade of Industry";114;.;.;.
"..Accommodation and Food Service Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;64;69
"..Accommodation and Food Service Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;5;0
"..Accommodation and Food Service Activities";"Other Assisting Agencies";70;.;70;69
"..Information and Communication";"Total Establishments with PIPs";.;.;338;190
"..Information and Communication";"Total Establishments Assisted";57;.;.;49
"..Information and Communication";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;47;.
"..Information and Communication";"Department of Labor and Employment (DOLE)";52;.;.;44
"..Information and Communication";"Regional Tripartite Wage and Productivity Board (RTWPB)";17;.;.;1
"..Information and Communication";"Department of Science and Technology (DOST)";4;.;0;2
"..Information and Communication";"Development Academy of the Philippines (DAP)";0;.;0;0
"..Information and Communication";"Department of Trade of Industry";11;.;.;.
"..Information and Communication";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;6;0
"..Information and Communication";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Information and Communication";"Other Assisting Agencies";5;.;3;2
"..Financial and Insurance Activities";"Total Establishments with PIPs";.;.;731;580
"..Financial and Insurance Activities";"Total Establishments Assisted";221;.;.;357
"..Financial and Insurance Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;152;.
"..Financial and Insurance Activities";"Department of Labor and Employment (DOLE)";174;.;.;268
"..Financial and Insurance Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";42;.;.;165
"..Financial and Insurance Activities";"Department of Science and Technology (DOST)";37;.;19;3
"..Financial and Insurance Activities";"Development Academy of the Philippines (DAP)";1;.;5;0
"..Financial and Insurance Activities";"Department of Trade of Industry";86;.;.;.
"..Financial and Insurance Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;50;9
"..Financial and Insurance Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Financial and Insurance Activities";"Other Assisting Agencies";148;.;52;3
"..Real Estate Activities";"Total Establishments with PIPs";.;.;173;123
"..Real Estate Activities";"Total Establishments Assisted";60;.;.;3
"..Real Estate Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;59;.
"..Real Estate Activities";"Department of Labor and Employment (DOLE)";57;.;.;3
"..Real Estate Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";0;.;.;0
"..Real Estate Activities";"Department of Science and Technology (DOST)";0;.;0;0
"..Real Estate Activities";"Development Academy of the Philippines (DAP)";0;.;2;0
"..Real Estate Activities";"Department of Trade of Industry";0;.;.;.
"..Real Estate Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;0;0
"..Real Estate Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Real Estate Activities";"Other Assisting Agencies";18;.;4;0
"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";.;.;314;365
"..Professional, Scientific and Technical Activities";"Total Establishments Assisted";44;.;.;91
"..Professional, Scientific and Technical Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;50;.
"..Professional, Scientific and Technical Activities";"Department of Labor and Employment (DOLE)";39;.;.;89
"..Professional, Scientific and Technical Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";4;.;.;46
"..Professional, Scientific and Technical Activities";"Department of Science and Technology (DOST)";18;.;0;3
"..Professional, Scientific and Technical Activities";"Development Academy of the Philippines (DAP)";0;.;0;0
"..Professional, Scientific and Technical Activities";"Department of Trade of Industry";2;.;.;.
"..Professional, Scientific and Technical Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;0;0
"..Professional, Scientific and Technical Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Professional, Scientific and Technical Activities";"Other Assisting Agencies";3;.;0;3
"..Administrative and Support Service Activities";"Total Establishments with PIPs";.;.;929;1033
"..Administrative and Support Service Activities";"Total Establishments Assisted";369;.;.;304
"..Administrative and Support Service Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;222;.
"..Administrative and Support Service Activities";"Department of Labor and Employment (DOLE)";318;.;.;270
"..Administrative and Support Service Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";78;.;.;35
"..Administrative and Support Service Activities";"Department of Science and Technology (DOST)";3;.;0;2
"..Administrative and Support Service Activities";"Development Academy of the Philippines (DAP)";0;.;0;0
"..Administrative and Support Service Activities";"Department of Trade of Industry";28;.;.;.
"..Administrative and Support Service Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;6;17
"..Administrative and Support Service Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;1;0
"..Administrative and Support Service Activities";"Other Assisting Agencies";45;.;17;11
"..Education Except Public Education";"Total Establishments with PIPs";.;.;1901;1611
"..Education Except Public Education";"Total Establishments Assisted";941;.;.;344
"..Education Except Public Education";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;319;.
"..Education Except Public Education";"Department of Labor and Employment (DOLE)";527;.;.;224
"..Education Except Public Education";"Regional Tripartite Wage and Productivity Board (RTWPB)";123;.;.;22
"..Education Except Public Education";"Department of Science and Technology (DOST)";111;.;46;23
"..Education Except Public Education";"Development Academy of the Philippines (DAP)";76;.;1;0
"..Education Except Public Education";"Department of Trade of Industry";100;.;.;.
"..Education Except Public Education";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;18;55
"..Education Except Public Education";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Education Except Public Education";"Other Assisting Agencies";292;.;191;115
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";.;.;656;722
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments Assisted";136;.;.;152
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;120;.
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Labor and Employment (DOLE)";52;.;.;94
"..Human Health and Social Work Activities Except Public Health Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";90;.;.;114
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Science and Technology (DOST)";4;.;10;4
"..Human Health and Social Work Activities Except Public Health Activities";"Development Academy of the Philippines (DAP)";2;.;3;0
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Trade of Industry";10;.;.;.
"..Human Health and Social Work Activities Except Public Health Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;7;0
"..Human Health and Social Work Activities Except Public Health Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;1;0
"..Human Health and Social Work Activities Except Public Health Activities";"Other Assisting Agencies";75;.;64;11
"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";.;.;140;152
"..Arts, Entertainment and  Recreation";"Total Establishments Assisted";74;.;.;47
"..Arts, Entertainment and  Recreation";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;24;.
"..Arts, Entertainment and  Recreation";"Department of Labor and Employment (DOLE)";54;.;.;29
"..Arts, Entertainment and  Recreation";"Regional Tripartite Wage and Productivity Board (RTWPB)";15;.;.;2
"..Arts, Entertainment and  Recreation";"Department of Science and Technology (DOST)";0;.;4;2
"..Arts, Entertainment and  Recreation";"Development Academy of the Philippines (DAP)";0;.;0;0
"..Arts, Entertainment and  Recreation";"Department of Trade of Industry";0;.;.;.
"..Arts, Entertainment and  Recreation";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;14;0
"..Arts, Entertainment and  Recreation";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Arts, Entertainment and  Recreation";"Other Assisting Agencies";28;.;9;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";.;.;171;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments Assisted";62;.;.;72
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Labor and Employment/Regional Tripartite Wages and Productivity Board";.;.;21;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Labor and Employment (DOLE)";36;.;.;54
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Regional Tripartite Wage and Productivity Board (RTWPB)";2;.;.;35
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Science and Technology (DOST)";0;.;2;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Development Academy of the Philippines (DAP)";0;.;2;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Trade of Industry";8;.;.;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Department of Trade and Industry (DTI-Negosyo Center)";.;.;4;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"University of the Philippines Institute for Small Scale Industries (UP-ISSI)";.;.;0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Assisting Agencies";18;.;4;0
