"Number of Establishments Employing 20 or More Workers by Productivity Improvement Programs (PIPs) and Major Industry Group, Philippines: 2013 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/1001B3GP010.px/table/tableViewLayout1/?rxid=f46464c9-6e01-4f80-a79a-affc44d5471b"
"Major Industry Group";"Productivity Improvement Program";"2013";"2015";"2017";"2019"
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Productivity Programs Implemented";902;67;.;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"....5S of Good Housekeeping";238;.;130;.
"..Electricity, Gas, Steam and Air Conditioning Supply";"....7S of Good Housekeeping";.;.;.;79
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Client Satisfaction Measurement (CSM)";212;.;90;79
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Total Quality Management (TQM)";154;.;75;59
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Lean Management/Lean Production";8;.;29;32
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Suggestion/Feedback Scheme";141;.;66;73
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Six Sigma";6;.;13;53
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Just-In-Time";43;.;26;36
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Continuous Process Improvement";91;.;92;69
"..Electricity, Gas, Steam and Air Conditioning Supply";"....Others";8;.;15;23
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Establishments";314;335;326;338
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Total Establishments with PIPs";195;11;192;126
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..None";.;.;.;212
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Establishments with Productivity Program - Employment";.;1148;.;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Productivity Programs Implemented";468;11;.;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....5S of Good Housekeeping";100;.;76;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....7S of Good Housekeeping";.;.;.;70
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Client Satisfaction Measurement (CSM)";100;.;92;73
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Total Quality Management (TQM)";51;.;83;77
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Lean Management/Lean Production";9;.;21;12
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Suggestion/Feedback Scheme";123;.;94;85
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Six Sigma";15;.;14;0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Just-In-Time";21;.;13;2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Continuous Process Improvement";38;.;98;62
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Others";10;.;12;5
"..Construction";"Total Establishments";1042;973;991;1223
"..Construction";"..Total Establishments with PIPs";695;45;487;440
"..Construction";"..None";.;.;.;783
"..Construction";"Establishments with Productivity Program - Employment";.;16954;.;.
"..Construction";"Total Productivity Programs Implemented";1850;53;.;.
"..Construction";"....5S of Good Housekeeping";583;.;273;.
"..Construction";"....7S of Good Housekeeping";.;.;.;298
"..Construction";"....Client Satisfaction Measurement (CSM)";331;.;158;249
"..Construction";"....Total Quality Management (TQM)";489;.;217;302
"..Construction";"....Lean Management/Lean Production";7;.;52;124
"..Construction";"....Suggestion/Feedback Scheme";202;.;59;182
"..Construction";"....Six Sigma";4;.;16;77
"..Construction";"....Just-In-Time";38;.;92;133
"..Construction";"....Continuous Process Improvement";167;.;196;164
"..Construction";"....Others";29;.;8;10
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments";7555;7040;7820;9560
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Total Establishments with PIPs";4149;506;4126;3526
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..None";.;.;.;6034
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Establishments with Productivity Program - Employment";.;45900;.;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Productivity Programs Implemented";10081;654;.;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....5S of Good Housekeeping";2654;.;2490;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....7S of Good Housekeeping";.;.;.;2076
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Client Satisfaction Measurement (CSM)";1978;.;1964;1418
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Total Quality Management (TQM)";1485;.;1374;1219
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Lean Management/Lean Production";246;.;721;489
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Suggestion/Feedback Scheme";1877;.;1037;1639
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Six Sigma";75;.;200;297
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Just-In-Time";479;.;593;423
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Continuous Process Improvement";1124;.;1552;1412
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Others";163;.;138;313
"..Transportation and Storage";"Total Establishments";1139;996;1045;1152
"..Transportation and Storage";"..Total Establishments with PIPs";594;43;499;425
"..Transportation and Storage";"..None";.;.;.;727
"..Transportation and Storage";"Establishments with Productivity Program - Employment";.;19009;.;.
"..Transportation and Storage";"Total Productivity Programs Implemented";1343;72;.;.
"..Transportation and Storage";"....5S of Good Housekeeping";380;.;277;.
"..Transportation and Storage";"....7S of Good Housekeeping";.;.;.;183
"..Transportation and Storage";"....Client Satisfaction Measurement (CSM)";216;.;231;253
"..Transportation and Storage";"....Total Quality Management (TQM)";225;.;187;224
"..Transportation and Storage";"....Lean Management/Lean Production";14;.;60;123
"..Transportation and Storage";"....Suggestion/Feedback Scheme";172;.;125;93
"..Transportation and Storage";"....Six Sigma";6;.;17;60
"..Transportation and Storage";"....Just-In-Time";44;.;64;57
"..Transportation and Storage";"....Continuous Process Improvement";237;.;201;184
"..Transportation and Storage";"....Others";50;.;19;20
"..Accommodation and Food Service Activities";"Total Establishments";4670;4077;4183;4716
"..Accommodation and Food Service Activities";"..Total Establishments with PIPs";3258;398;2531;2261
"..Accommodation and Food Service Activities";"..None";.;.;.;2455
"..Accommodation and Food Service Activities";"Establishments with Productivity Program - Employment";.;22525;.;.
"..Accommodation and Food Service Activities";"Total Productivity Programs Implemented";8437;511;.;.
"..Accommodation and Food Service Activities";"....5S of Good Housekeeping";2110;.;1656;.
"..Accommodation and Food Service Activities";"....7S of Good Housekeeping";.;.;.;1259
"..Accommodation and Food Service Activities";"....Client Satisfaction Measurement (CSM)";1592;.;1234;1163
"..Accommodation and Food Service Activities";"....Total Quality Management (TQM)";1447;.;1181;1202
"..Accommodation and Food Service Activities";"....Lean Management/Lean Production";269;.;464;431
"..Accommodation and Food Service Activities";"....Suggestion/Feedback Scheme";1632;.;994;1280
"..Accommodation and Food Service Activities";"....Six Sigma";72;.;147;193
"..Accommodation and Food Service Activities";"....Just-In-Time";291;.;339;432
"..Accommodation and Food Service Activities";"....Continuous Process Improvement";960;.;945;1040
"..Accommodation and Food Service Activities";"....Others";66;.;56;147
"..Information and Communication";"Total Establishments";896;804;772;1052
"..Information and Communication";"..Total Establishments with PIPs";360;37;338;190
"..Information and Communication";"..None";.;.;.;863
"..Information and Communication";"Establishments with Productivity Program - Employment";.;13173;.;.
"..Information and Communication";"Total Productivity Programs Implemented";926;48;.;.
"..Information and Communication";"....5S of Good Housekeeping";162;.;156;.
"..Information and Communication";"....7S of Good Housekeeping";.;.;.;100
"..Information and Communication";"....Client Satisfaction Measurement (CSM)";149;.;148;117
"..Information and Communication";"....Total Quality Management (TQM)";158;.;129;120
"..Information and Communication";"....Lean Management/Lean Production";37;.;45;76
"..Information and Communication";"....Suggestion/Feedback Scheme";157;.;123;90
"..Information and Communication";"....Six Sigma";38;.;24;72
"..Information and Communication";"....Just-In-Time";39;.;39;51
"..Information and Communication";"....Continuous Process Improvement";149;.;168;146
"..Information and Communication";"....Others";37;.;14;4
"..Financial and Insurance Activities";"Total Establishments";1510;1350;1339;1696
"..Financial and Insurance Activities";"..Total Establishments with PIPs";687;137;731;580
"..Financial and Insurance Activities";"..None";.;.;.;1116
"..Financial and Insurance Activities";"Establishments with Productivity Program - Employment";.;20218;.;.
"..Financial and Insurance Activities";"Total Productivity Programs Implemented";1826;177;.;.
"..Financial and Insurance Activities";"....5S of Good Housekeeping";533;.;373;.
"..Financial and Insurance Activities";"....7S of Good Housekeeping";.;.;.;167
"..Financial and Insurance Activities";"....Client Satisfaction Measurement (CSM)";351;.;370;337
"..Financial and Insurance Activities";"....Total Quality Management (TQM)";199;.;229;39
"..Financial and Insurance Activities";"....Lean Management/Lean Production";36;.;80;105
"..Financial and Insurance Activities";"....Suggestion/Feedback Scheme";306;.;282;422
"..Financial and Insurance Activities";"....Six Sigma";13;.;37;36
"..Financial and Insurance Activities";"....Just-In-Time";49;.;52;21
"..Financial and Insurance Activities";"....Continuous Process Improvement";293;.;278;254
"..Financial and Insurance Activities";"....Others";45;.;19;22
"..Real Estate Activities";"Total Establishments";498;393;454;652
"..Real Estate Activities";"..Total Establishments with PIPs";264;31;173;123
"..Real Estate Activities";"..None";.;.;.;530
"..Real Estate Activities";"Establishments with Productivity Program - Employment";.;1606;.;.
"..Real Estate Activities";"Total Productivity Programs Implemented";501;31;.;.
"..Real Estate Activities";"....5S of Good Housekeeping";158;.;122;.
"..Real Estate Activities";"....7S of Good Housekeeping";.;.;.;50
"..Real Estate Activities";"....Client Satisfaction Measurement (CSM)";55;.;83;12
"..Real Estate Activities";"....Total Quality Management (TQM)";56;.;52;54
"..Real Estate Activities";"....Lean Management/Lean Production";0;.;25;7
"..Real Estate Activities";"....Suggestion/Feedback Scheme";111;.;40;58
"..Real Estate Activities";"....Six Sigma";0;.;10;3
"..Real Estate Activities";"....Just-In-Time";16;.;22;3
"..Real Estate Activities";"....Continuous Process Improvement";102;.;46;110
"..Real Estate Activities";"....Others";2;.;9;6
"..Professional, Scientific and Technical Activities";"Total Establishments";739;653;745;963
"..Professional, Scientific and Technical Activities";"..Total Establishments with PIPs";348;39;314;365
"..Professional, Scientific and Technical Activities";"..None";.;.;.;598
"..Professional, Scientific and Technical Activities";"Establishments with Productivity Program - Employment";.;5131;.;.
"..Professional, Scientific and Technical Activities";"Total Productivity Programs Implemented";841;61;.;.
"..Professional, Scientific and Technical Activities";"....5S of Good Housekeeping";120;.;155;.
"..Professional, Scientific and Technical Activities";"....7S of Good Housekeeping";.;.;.;200
"..Professional, Scientific and Technical Activities";"....Client Satisfaction Measurement (CSM)";153;.;112;128
"..Professional, Scientific and Technical Activities";"....Total Quality Management (TQM)";140;.;92;161
"..Professional, Scientific and Technical Activities";"....Lean Management/Lean Production";24;.;34;67
"..Professional, Scientific and Technical Activities";"....Suggestion/Feedback Scheme";138;.;81;145
"..Professional, Scientific and Technical Activities";"....Six Sigma";27;.;19;11
"..Professional, Scientific and Technical Activities";"....Just-In-Time";59;.;41;95
"..Professional, Scientific and Technical Activities";"....Continuous Process Improvement";169;.;139;208
"..Professional, Scientific and Technical Activities";"....Others";11;.;13;12
"..Administrative and Support Service Activities";"Total Establishments";2130;1800;1925;2729
"..Administrative and Support Service Activities";"..Total Establishments with PIPs";1186;95;929;1033
"..Administrative and Support Service Activities";"..None";.;.;.;1696
"..Administrative and Support Service Activities";"Establishments with Productivity Program - Employment";.;59370;.;.
"..Administrative and Support Service Activities";"Total Productivity Programs Implemented";2729;133;.;.
"..Administrative and Support Service Activities";"....5S of Good Housekeeping";582;.;484;.
"..Administrative and Support Service Activities";"....7S of Good Housekeeping";.;.;.;411
"..Administrative and Support Service Activities";"....Client Satisfaction Measurement (CSM)";594;.;435;511
"..Administrative and Support Service Activities";"....Total Quality Management (TQM)";480;.;339;437
"..Administrative and Support Service Activities";"....Lean Management/Lean Production";63;.;134;212
"..Administrative and Support Service Activities";"....Suggestion/Feedback Scheme";367;.;278;440
"..Administrative and Support Service Activities";"....Six Sigma";105;.;100;192
"..Administrative and Support Service Activities";"....Just-In-Time";118;.;118;250
"..Administrative and Support Service Activities";"....Continuous Process Improvement";358;.;386;524
"..Administrative and Support Service Activities";"....Others";62;.;57;78
"..Education Except Public Education";"Total Establishments";4002;3327;3574;4156
"..Education Except Public Education";"..Total Establishments with PIPs";1804;206;1901;1611
"..Education Except Public Education";"..None";.;.;.;2545
"..Education Except Public Education";"Establishments with Productivity Program - Employment";.;28442;.;.
"..Education Except Public Education";"Total Productivity Programs Implemented";3897;255;.;.
"..Education Except Public Education";"....5S of Good Housekeeping";1105;.;1065;.
"..Education Except Public Education";"....7S of Good Housekeeping";.;.;.;865
"..Education Except Public Education";"....Client Satisfaction Measurement (CSM)";507;.;491;644
"..Education Except Public Education";"....Total Quality Management (TQM)";704;.;677;831
"..Education Except Public Education";"....Lean Management/Lean Production";11;.;200;197
"..Education Except Public Education";"....Suggestion/Feedback Scheme";756;.;558;697
"..Education Except Public Education";"....Six Sigma";26;.;60;122
"..Education Except Public Education";"....Just-In-Time";132;.;166;351
"..Education Except Public Education";"....Continuous Process Improvement";558;.;943;566
"..Education Except Public Education";"....Others";97;.;59;219
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";923;960;1048;1447
"..Human Health and Social Work Activities Except Public Health Activities";"..Total Establishments with PIPs";601;78;656;722
"..Human Health and Social Work Activities Except Public Health Activities";"..None";.;.;.;724
"..Human Health and Social Work Activities Except Public Health Activities";"Establishments with Productivity Program - Employment";.;16711;.;.
"..Human Health and Social Work Activities Except Public Health Activities";"Total Productivity Programs Implemented";1517;127;.;.
"..Human Health and Social Work Activities Except Public Health Activities";"....5S of Good Housekeeping";435;.;395;.
"..Human Health and Social Work Activities Except Public Health Activities";"....7S of Good Housekeeping";.;.;.;454
"..Human Health and Social Work Activities Except Public Health Activities";"....Client Satisfaction Measurement (CSM)";300;.;400;451
"..Human Health and Social Work Activities Except Public Health Activities";"....Total Quality Management (TQM)";293;.;308;297
"..Human Health and Social Work Activities Except Public Health Activities";"....Lean Management/Lean Production";8;.;47;88
"..Human Health and Social Work Activities Except Public Health Activities";"....Suggestion/Feedback Scheme";304;.;383;485
"..Human Health and Social Work Activities Except Public Health Activities";"....Six Sigma";9;.;37;34
"..Human Health and Social Work Activities Except Public Health Activities";"....Just-In-Time";18;.;60;124
"..Human Health and Social Work Activities Except Public Health Activities";"....Continuous Process Improvement";131;.;290;112
"..Human Health and Social Work Activities Except Public Health Activities";"....Others";19;.;22;21
"..Arts, Entertainment and  Recreation";"Total Establishments";248;237;234;313
"..Arts, Entertainment and  Recreation";"..Total Establishments with PIPs";128;18;140;152
"..Arts, Entertainment and  Recreation";"..None";.;.;.;161
"..Arts, Entertainment and  Recreation";"Establishments with Productivity Program - Employment";.;2153;.;.
"..Arts, Entertainment and  Recreation";"Total Productivity Programs Implemented";270;18;.;.
"..Arts, Entertainment and  Recreation";"....5S of Good Housekeeping";80;.;96;.
"..Arts, Entertainment and  Recreation";"....7S of Good Housekeeping";.;.;.;60
"..Arts, Entertainment and  Recreation";"....Client Satisfaction Measurement (CSM)";54;.;69;87
"..Arts, Entertainment and  Recreation";"....Total Quality Management (TQM)";36;.;22;52
"..Arts, Entertainment and  Recreation";"....Lean Management/Lean Production";10;.;24;27
"..Arts, Entertainment and  Recreation";"....Suggestion/Feedback Scheme";54;.;43;30
"..Arts, Entertainment and  Recreation";"....Six Sigma";2;.;9;5
"..Arts, Entertainment and  Recreation";"....Just-In-Time";7;.;16;26
"..Arts, Entertainment and  Recreation";"....Continuous Process Improvement";24;.;30;84
"..Arts, Entertainment and  Recreation";"....Others";2;.;6;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";488;321;343;363
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Total Establishments with PIPs";243;18;171;103
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..None";.;.;.;261
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Establishments with Productivity Program - Employment";.;1113;.;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Productivity Programs Implemented";558;18;.;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....5S of Good Housekeeping";171;.;89;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....7S of Good Housekeeping";.;.;.;72
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Client Satisfaction Measurement (CSM)";135;.;93;56
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Total Quality Management (TQM)";89;.;57;38
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Lean Management/Lean Production";3;.;21;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Suggestion/Feedback Scheme";77;.;52;53
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Six Sigma";3;.;7;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Just-In-Time";10;.;15;29
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Continuous Process Improvement";51;.;70;46
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Others";20;.;4;0
