"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Program Objectives Extent of Fulfillment and Major Industry Group, Philippines:  2017 - 2019"

"Program Objectives Extent of Fulfillment";"Major Industry Group";"Productivity Improvement Program Objective/s";"2017";"2019"
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Cost on Machine Downtime";13;5
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Cost on Rework";14;0
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Cost on Process Cycle Time";9;27
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product and Service Quality by Skills Training";18;29
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product and Service Quality by Technology";28;8
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Improve Product and Service Quality by Innovation";24;6
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Complaints on Queuing Time";18;16
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Complaints on After Sales Service";10;24
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Complaints on Product Returns";8;34
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Reduce Complaints on Basic Customer Service";22;9
"Not/Partially Met";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Others";3;2
"Not/Partially Met";"..Construction";"Total Establishments with PIPs";487;440
"Not/Partially Met";"..Construction";"Reduce Cost on Work Accidents/Injuries/Diseases";60;33
"Not/Partially Met";"..Construction";"Reduce Cost on Wastage";62;44
"Not/Partially Met";"..Construction";"Reduce Cost on Personnel Downtime";50;30
"Not/Partially Met";"..Construction";"Reduce Cost on Machine Downtime";56;70
"Not/Partially Met";"..Construction";"Reduce Cost on Rework";61;36
"Not/Partially Met";"..Construction";"Reduce Cost on Process Cycle Time";36;30
"Not/Partially Met";"..Construction";"Improve Product and Service Quality by Skills Training";74;91
"Not/Partially Met";"..Construction";"Improve Product and Service Quality by Technology";45;46
"Not/Partially Met";"..Construction";"Improve Product and Service Quality by Innovation";41;37
"Not/Partially Met";"..Construction";"Reduce Complaints on Queuing Time";20;22
"Not/Partially Met";"..Construction";"Reduce Complaints on After Sales Service";17;19
"Not/Partially Met";"..Construction";"Reduce Complaints on Product Returns";18;11
"Not/Partially Met";"..Construction";"Reduce Complaints on Basic Customer Service";17;10
"Not/Partially Met";"..Construction";"Others";1;0
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Establishments with PIPs";4126;3526
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Cost on Work Accidents/Injuries/Diseases";342;232
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Cost on Wastage";529;343
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Cost on Personnel Downtime";466;395
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Cost on Machine Downtime";211;245
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Cost on Rework";259;262
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Cost on Process Cycle Time";251;278
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Improve Product and Service Quality by Skills Training";519;370
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Improve Product and Service Quality by Technology";215;280
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Improve Product and Service Quality by Innovation";303;315
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Complaints on Queuing Time";377;164
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Complaints on After Sales Service";309;223
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Complaints on Product Returns";358;292
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Reduce Complaints on Basic Customer Service";408;225
"Not/Partially Met";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";1;0
"Not/Partially Met";"..Transportation and Storage";"Total Establishments with PIPs";499;425
"Not/Partially Met";"..Transportation and Storage";"Reduce Cost on Work Accidents/Injuries/Diseases";70;51
"Not/Partially Met";"..Transportation and Storage";"Reduce Cost on Wastage";47;123
"Not/Partially Met";"..Transportation and Storage";"Reduce Cost on Personnel Downtime";52;135
"Not/Partially Met";"..Transportation and Storage";"Reduce Cost on Machine Downtime";32;82
"Not/Partially Met";"..Transportation and Storage";"Reduce Cost on Rework";18;33
"Not/Partially Met";"..Transportation and Storage";"Reduce Cost on Process Cycle Time";23;26
"Not/Partially Met";"..Transportation and Storage";"Improve Product and Service Quality by Skills Training";45;93
"Not/Partially Met";"..Transportation and Storage";"Improve Product and Service Quality by Technology";34;78
"Not/Partially Met";"..Transportation and Storage";"Improve Product and Service Quality by Innovation";41;32
"Not/Partially Met";"..Transportation and Storage";"Reduce Complaints on Queuing Time";15;62
"Not/Partially Met";"..Transportation and Storage";"Reduce Complaints on After Sales Service";14;61
"Not/Partially Met";"..Transportation and Storage";"Reduce Complaints on Product Returns";13;32
"Not/Partially Met";"..Transportation and Storage";"Reduce Complaints on Basic Customer Service";31;98
"Not/Partially Met";"..Transportation and Storage";"Others";0;0
"Not/Partially Met";"..Accommodation and Food Service Activities";"Total Establishments with PIPs";2531;2261
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";198;185
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Cost on Wastage";346;683
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Cost on Personnel Downtime";166;360
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Cost on Machine Downtime";122;359
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Cost on Rework";123;218
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Cost on Process Cycle Time";153;155
"Not/Partially Met";"..Accommodation and Food Service Activities";"Improve Product and Service Quality by Skills Training";249;488
"Not/Partially Met";"..Accommodation and Food Service Activities";"Improve Product and Service Quality by Technology";180;93
"Not/Partially Met";"..Accommodation and Food Service Activities";"Improve Product and Service Quality by Innovation";198;269
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Complaints on Queuing Time";181;195
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Complaints on After Sales Service";117;418
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Complaints on Product Returns";115;322
"Not/Partially Met";"..Accommodation and Food Service Activities";"Reduce Complaints on Basic Customer Service";214;148
"Not/Partially Met";"..Accommodation and Food Service Activities";"Others";6;0
"Not/Partially Met";"..Information and Communication";"Total Establishments with PIPs";338;190
"Not/Partially Met";"..Information and Communication";"Reduce Cost on Work Accidents/Injuries/Diseases";16;6
"Not/Partially Met";"..Information and Communication";"Reduce Cost on Wastage";32;2
"Not/Partially Met";"..Information and Communication";"Reduce Cost on Personnel Downtime";23;4
"Not/Partially Met";"..Information and Communication";"Reduce Cost on Machine Downtime";18;5
"Not/Partially Met";"..Information and Communication";"Reduce Cost on Rework";18;9
"Not/Partially Met";"..Information and Communication";"Reduce Cost on Process Cycle Time";38;13
"Not/Partially Met";"..Information and Communication";"Improve Product and Service Quality by Skills Training";36;44
"Not/Partially Met";"..Information and Communication";"Improve Product and Service Quality by Technology";25;26
"Not/Partially Met";"..Information and Communication";"Improve Product and Service Quality by Innovation";33;13
"Not/Partially Met";"..Information and Communication";"Reduce Complaints on Queuing Time";20;11
"Not/Partially Met";"..Information and Communication";"Reduce Complaints on After Sales Service";27;5
"Not/Partially Met";"..Information and Communication";"Reduce Complaints on Product Returns";14;11
"Not/Partially Met";"..Information and Communication";"Reduce Complaints on Basic Customer Service";28;25
"Not/Partially Met";"..Information and Communication";"Others";1;2
"Not/Partially Met";"..Financial and Insurance Activities";"Total Establishments with PIPs";731;580
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";27;11
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Cost on Wastage";41;11
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Cost on Personnel Downtime";36;9
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Cost on Machine Downtime";29;4
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Cost on Rework";22;7
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Cost on Process Cycle Time";39;14
"Not/Partially Met";"..Financial and Insurance Activities";"Improve Product and Service Quality by Skills Training";91;112
"Not/Partially Met";"..Financial and Insurance Activities";"Improve Product and Service Quality by Technology";65;101
"Not/Partially Met";"..Financial and Insurance Activities";"Improve Product and Service Quality by Innovation";73;108
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Complaints on Queuing Time";55;93
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Complaints on After Sales Service";44;83
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Complaints on Product Returns";31;160
"Not/Partially Met";"..Financial and Insurance Activities";"Reduce Complaints on Basic Customer Service";74;83
"Not/Partially Met";"..Financial and Insurance Activities";"Others";4;2
"Not/Partially Met";"..Real Estate Activities";"Total Establishments with PIPs";173;123
"Not/Partially Met";"..Real Estate Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";12;49
"Not/Partially Met";"..Real Estate Activities";"Reduce Cost on Wastage";11;3
"Not/Partially Met";"..Real Estate Activities";"Reduce Cost on Personnel Downtime";6;0
"Not/Partially Met";"..Real Estate Activities";"Reduce Cost on Machine Downtime";2;3
"Not/Partially Met";"..Real Estate Activities";"Reduce Cost on Rework";1;3
"Not/Partially Met";"..Real Estate Activities";"Reduce Cost on Process Cycle Time";5;7
"Not/Partially Met";"..Real Estate Activities";"Improve Product and Service Quality by Skills Training";15;3
"Not/Partially Met";"..Real Estate Activities";"Improve Product and Service Quality by Technology";13;3
"Not/Partially Met";"..Real Estate Activities";"Improve Product and Service Quality by Innovation";8;3
"Not/Partially Met";"..Real Estate Activities";"Reduce Complaints on Queuing Time";6;0
"Not/Partially Met";"..Real Estate Activities";"Reduce Complaints on After Sales Service";6;46
"Not/Partially Met";"..Real Estate Activities";"Reduce Complaints on Product Returns";3;0
"Not/Partially Met";"..Real Estate Activities";"Reduce Complaints on Basic Customer Service";3;3
"Not/Partially Met";"..Real Estate Activities";"Others";3;0
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Total Establishments with PIPs";314;365
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";21;2
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Cost on Wastage";36;4
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Cost on Personnel Downtime";41;7
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Cost on Machine Downtime";28;0
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Cost on Rework";32;4
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Cost on Process Cycle Time";27;4
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Improve Product and Service Quality by Skills Training";48;75
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Improve Product and Service Quality by Technology";41;43
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Improve Product and Service Quality by Innovation";39;45
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Complaints on Queuing Time";26;70
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Complaints on After Sales Service";23;2
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Complaints on Product Returns";15;2
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Reduce Complaints on Basic Customer Service";31;0
"Not/Partially Met";"..Professional, Scientific and Technical Activities";"Others";0;0
"Not/Partially Met";"..Administrative and Support Service Activities";"Total Establishments with PIPs";929;1033
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";64;80
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Cost on Wastage";74;72
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Cost on Personnel Downtime";81;91
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Cost on Machine Downtime";48;58
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Cost on Rework";49;71
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Cost on Process Cycle Time";76;71
"Not/Partially Met";"..Administrative and Support Service Activities";"Improve Product and Service Quality by Skills Training";125;126
"Not/Partially Met";"..Administrative and Support Service Activities";"Improve Product and Service Quality by Technology";63;93
"Not/Partially Met";"..Administrative and Support Service Activities";"Improve Product and Service Quality by Innovation";65;82
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Complaints on Queuing Time";63;37
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Complaints on After Sales Service";31;54
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Complaints on Product Returns";23;67
"Not/Partially Met";"..Administrative and Support Service Activities";"Reduce Complaints on Basic Customer Service";72;55
"Not/Partially Met";"..Administrative and Support Service Activities";"Others";5;74
"Not/Partially Met";"..Education Except Public Education";"Total Establishments with PIPs";1901;1611
"Not/Partially Met";"..Education Except Public Education";"Reduce Cost on Work Accidents/Injuries/Diseases";65;22
"Not/Partially Met";"..Education Except Public Education";"Reduce Cost on Wastage";116;139
"Not/Partially Met";"..Education Except Public Education";"Reduce Cost on Personnel Downtime";95;73
"Not/Partially Met";"..Education Except Public Education";"Reduce Cost on Machine Downtime";47;63
"Not/Partially Met";"..Education Except Public Education";"Reduce Cost on Rework";49;63
"Not/Partially Met";"..Education Except Public Education";"Reduce Cost on Process Cycle Time";49;69
"Not/Partially Met";"..Education Except Public Education";"Improve Product and Service Quality by Skills Training";295;203
"Not/Partially Met";"..Education Except Public Education";"Improve Product and Service Quality by Technology";230;244
"Not/Partially Met";"..Education Except Public Education";"Improve Product and Service Quality by Innovation";267;243
"Not/Partially Met";"..Education Except Public Education";"Reduce Complaints on Queuing Time";74;70
"Not/Partially Met";"..Education Except Public Education";"Reduce Complaints on After Sales Service";31;0
"Not/Partially Met";"..Education Except Public Education";"Reduce Complaints on Product Returns";19;3
"Not/Partially Met";"..Education Except Public Education";"Reduce Complaints on Basic Customer Service";107;21
"Not/Partially Met";"..Education Except Public Education";"Others";7;0
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments with PIPs";656;722
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";67;46
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Cost on Wastage";121;168
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Cost on Personnel Downtime";79;115
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Cost on Machine Downtime";66;68
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Cost on Rework";62;117
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Cost on Process Cycle Time";63;65
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product and Service Quality by Skills Training";137;181
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product and Service Quality by Technology";120;183
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Improve Product and Service Quality by Innovation";104;182
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Complaints on Queuing Time";110;34
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Complaints on After Sales Service";49;29
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Complaints on Product Returns";31;22
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Reduce Complaints on Basic Customer Service";123;88
"Not/Partially Met";"..Human Health and Social Work Activities Except Public Health Activities";"Others";0;0
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Total Establishments with PIPs";140;152
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Cost on Work Accidents/Injuries/Diseases";9;4
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Cost on Wastage";7;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Cost on Personnel Downtime";4;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Cost on Machine Downtime";16;4
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Cost on Rework";6;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Cost on Process Cycle Time";6;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Improve Product and Service Quality by Skills Training";29;27
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Improve Product and Service Quality by Technology";18;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Improve Product and Service Quality by Innovation";18;8
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Complaints on Queuing Time";11;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Complaints on After Sales Service";13;4
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Complaints on Product Returns";11;4
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Reduce Complaints on Basic Customer Service";31;6
"Not/Partially Met";"..Arts, Entertainment and  Recreation";"Others";4;0
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments with PIPs";171;103
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Cost on Work Accidents/Injuries/Diseases";10;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Cost on Wastage";21;35
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Cost on Personnel Downtime";19;0
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Cost on Machine Downtime";4;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Cost on Rework";15;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Cost on Process Cycle Time";10;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product and Service Quality by Skills Training";19;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product and Service Quality by Technology";8;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Improve Product and Service Quality by Innovation";7;35
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Complaints on Queuing Time";13;0
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Complaints on After Sales Service";11;18
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Complaints on Product Returns";8;0
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Reduce Complaints on Basic Customer Service";27;0
"Not/Partially Met";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";0;0
"Fully Met";"ALL INDUSTRIES";"Total Establishments with PIPs";17563;15234
"Fully Met";"ALL INDUSTRIES";"Reduce Cost on Work Accidents/Injuries/Diseases";6632;5462
"Fully Met";"ALL INDUSTRIES";"Reduce Cost on Wastage";5209;4813
