"Total population by age group, sex, region, province, and highly urbanized city: 2010"

"Geolocation";"2010 Male Below 5";"2010 Male 5-9";"2010 Male 10-14";"2010 Male 15-19";"2010 Male 20-24";"2010 Male 25-29";"2010 Male 30-34";"2010 Male 35-39";"2010 Male 40-44";"2010 Male 45-49";"2010 Male 50-54";"2010 Male 55-59";"2010 Male 60-64";"2010 Male 65-69";"2010 Male 70-74";"2010 Male 75-79";"2010 Male 80 and over";"2010 Female Below 5";"2010 Female 5-9";"2010 Female 10-14";"2010 Female 15-19";"2010 Female 20-24";"2010 Female 25-29";"2010 Female 30-34";"2010 Female 35-39";"2010 Female 40-44";"2010 Female 45-49";"2010 Female 50-54";"2010 Female 55-59";"2010 Female 60-64";"2010 Female 65-69";"2010 Female 70-74";"2010 Female 75-79";"2010 Female 80 and over"
"..Region XI (Davao Region)";265941;254134;245766;239805;220595;187188;171240;151397;134585;114998;96739;74209;51987;33257;24303;13762;11444;248300;238007;233269;237396;209431;172832;155327;138704;125716;108670;92948;71734;51190;35046;26987;16438;15218
"....Compostela Valley";41201;41132;39142;40153;35626;28564;25741;22992;21804;18331;14795;11017;7699;5217;4068;2338;1812;38136;38325;37271;36641;30574;24280;21213;20169;18957;15867;13206;9936;7067;5238;4064;2548;2071
"....Davao Del Norte";55532;53614;50512;50338;47422;41009;37366;32176;28808;24722;21388;16646;11205;7078;5061;2899;2525;52069;49507;47545;49350;44828;37245;33360;29151;26216;22963;19866;15621;10473;7167;5582;3377;3143
"....Davao Del Sur (excluding Davao City)";53873;50778;50873;47182;41439;34346;31445;29092;25368;22955;19012;14320;10240;6599;4890;2858;2512;50834;47903;47560;44757;37562;31015;28647;26351;24150;21370;18058;13775;10071;6867;5338;3342;3308
"....Davao City";83455;77251;73298;73049;72361;64016;58405;50437;42789;35389;30254;23798;16493;9998;6814;3686;3072;77419;72286;70424;80081;75628;63916;56191;48079;42134;35894;31374;24411;17307;11251;8356;5068;4912
"....Davao Oriental";31880;31359;31941;29083;23747;19253;18283;16700;15816;13601;11290;8428;6350;4365;3470;1981;1523;29842;29986;30469;26567;20839;16376;15916;14954;14259;12576;10444;7991;6272;4523;3647;2103;1784
"..Region XII (SOCCSKSARGEN)";252115;249904;244752;230861;200073;169229;153994;138353;123959;100106;79059;57529;40669;26245;18492;9993;8450;237274;235634;233095;227488;190587;160571;142875;130963;114205;93557;72881;53715;40340;27777;20496;12236;12094
"....Cotabato City";15131;16787;16183;15390;12702;11367;9808;8946;8020;6403;4573;3058;2298;1231;836;365;359;14664;16269;16258;16911;13930;12664;10498;10007;7774;6061;4355;2974;2387;1532;985;528;532
"....Cotabato (North Cotabato)";76180;74715;74239;70460;59142;49471;44546;40465;36488;30120;24215;17803;12566;8356;6197;3430;3047;71594;70354;70317;67617;54428;46097;40243;37890;33663;28494;22007;16542;12322;8809;6657;4020;4014
"....Sarangani";32974;32925;32083;28734;23840;20103;18009;16336;14184;11346;9070;6636;4785;3202;2212;1190;963;31425;31457;30150;27621;21526;18107;16270;14996;12596;10335;7951;5832;4462;3034;2163;1231;1156
"....South Cotabato (excluding General Santos City)";51577;49513;47355;45933;40580;33951;31481;27842;24718;20118;16475;12193;8650;5777;4042;2243;1870;48639;46002;44961;44269;37616;31211;28996;25567;22717;19002;15641;11944;9067;6453;4837;2900;3060
"....General Santos City";32848;30062;28357;28293;27620;23619;21784;18934;16944;13653;10695;7647;4950;2962;1955;1059;834;30216;28338;27507;29504;28081;23016;20768;18260;16407;13207;10211;7102;5075;3120;2380;1456;1222
"....Sultan Kudarat";43405;45902;46535;42051;36189;30718;28366;25830;23605;18466;14031;10192;7420;4717;3250;1706;1377;40736;43214;43902;41566;35006;29476;26100;24243;21048;16458;12716;9321;7027;4829;3474;2101;2110
"..Autonomous Region In Muslim Mindanao (ARMM)";218314;251200;233951;186175;125033;109315;100569;105279;89252;70212;49245;31584;22070;12729;8059;3484;2865;214517;246077;229113;191782;135990;127484;110690;114051;86054;65853;42499;28087;19323;12257;6859;3343;2825
"....Basilan";22097;23600;21577;16120;11034;10179;8544;8816;7329;5731;4081;2818;1988;1217;918;451;409;20565;22630;20354;16793;11969;11375;8944;9396;7061;5649;3849;2673;1979;1358;905;456;457
"....Lanao Del Sur";64880;72289;64630;51791;35105;30489;28149;28406;23817;19272;12786;8752;6024;3607;2294;1003;795;66451;74396;66911;57124;40211;37134;31892;31247;23910;17886;11336;7848;5365;3559;2032;1058;811
"....Maguindanao";67063;77308;72031;54541;37347;31367;29971;30142;26473;19835;13643;8640;6173;3648;2255;1006;807;62570;70784;66782;52028;38212;34554;32108;32391;24114;17820;11633;7461;5334;3321;1788;835;733
"....Sulu";38678;50838;51478;43613;27660;23859;21428;25279;21309;17085;12527;7301;5197;2793;1654;645;535;40086;51904;51920;45851;30688;28537;24537;27784;21300;16884;10567;6775;4377;2709;1344;637;511
"....Tawi-Tawi";25596;27165;24235;20110;13887;13421;12477;12636;10324;8289;6208;4073;2688;1464;938;379;319;24845;26363;23146;19986;14910;15884;13209;13233;9669;7614;5114;3330;2268;1310;790;357;313
"..Region XIII (Caraga)";149368;149778;147457;140352;115433;91196;80594;73965;69528;61673;51491;38950;28280;20520;15134;8654;6105;139739;141035;138460;130325;104367;82321;74242;69489;65493;58573;49313;38106;29128;22545;17449;10679;9482
"....Agusan Del Norte (excluding Butuan City)";20848;20183;20170;18725;15867;12491;10949;9863;9456;8448;7292;5797;3996;2749;2177;1313;955;19110;19067;18785;17392;13964;11218;10011;9493;8920;8151;7086;5505;3960;3064;2528;1577;1377
"....Butuan City";18661;18335;17638;17076;14801;11768;10708;9785;9272;8072;6756;5037;3567;2371;1742;921;694;17145;16964;16409;16824;14454;11357;10311;9425;9029;7843;6642;5073;3851;2684;2157;1238;1099
"....Agusan Del Sur";44907;43341;40773;38991;32174;25092;21682;20123;18712;16103;13012;9349;6504;4470;3375;1891;1296;42168;41192;37875;35998;28520;22084;19343;17993;16608;14582;11861;8553;6199;4607;3408;1955;1677
"....Surigao Del Norte";24868;26327;26375;24950;20675;16846;15147;13823;12655;11310;9388;7064;5410;4399;2934;1689;1228;23264;24837;24861;23103;19129;15351;14160;13210;12228;11077;9294;7411;6019;5095;3795;2453;2213
"....Surigao Del Sur";33293;34063;34981;33373;26169;20367;18083;16536;15929;14611;12440;9584;6988;5086;3699;2205;1497;31717;31988;33149;30349;22814;18145;16607;15606;15219;13811;11704;9279;7092;5439;4241;2693;2462
"....Dinagat Islands";6791;7529;7520;7237;5747;4632;4025;3835;3504;3129;2603;2119;1815;1445;1207;635;435;6335;6987;7381;6659;5486;4166;3810;3762;3489;3109;2726;2285;2007;1656;1320;763;654
