"Total Employment of Establishments with 20 or More Workers by Specific Group, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Total Employment";"2014 ..Young Workers (YW)";"2014 ….YW_15 - 24 years old";"2014 ….YW_25 - 30 years old";"2014 ..Older Workers";"2014 ..Persons with Disabilities (PWDs)";"2014 ..Workers Paid the Minimum Wage";"2014 ..Shift Workers";"2014 ..Workers under Alternative Work Arrangements";"2016 Total Employment";"2016 ..Young Workers (YW)";"2016 ….YW_15 - 24 years old";"2016 ….YW_25 - 30 years old";"2016 ..Older Workers";"2016 ..Persons with Disabilities (PWDs)";"2016 ..Workers Paid the Minimum Wage";"2016 ..Shift Workers";"2016 ..Workers under Alternative Work Arrangements";"2018 Total Employment";"2018 ..Young Workers (YW)";"2018 ….YW_15 - 24 years old";"2018 ….YW_25 - 30 years old";"2018 ..Older Workers";"2018 ..Persons with Disabilities (PWDs)";"2018 ..Workers Paid the Minimum Wage";"2018 ..Shift Workers";"2018 ..Workers under Alternative Work Arrangements";"2020 Total Employment";"2020 ..Young Workers (YW)";"2020 ….YW_15 - 24 years old";"2020 ….YW_25 - 30 years old";"2020 ..Older Workers";"2020 ..Persons with Disabilities (PWDs)";"2020 ..Workers Paid the Minimum Wage";"2020 ..Shift Workers";"2020 ..Workers under Alternative Work Arrangements";"2022 Total Employment";"2022 ..Young Workers (YW)";"2022 ….YW_15 - 24 years old";"2022 ….YW_25 - 30 years old";"2022 ..Older Workers";"2022 ..Persons with Disabilities (PWDs)";"2022 ..Workers Paid the Minimum Wage";"2022 ..Shift Workers";"2022 ..Workers under Alternative Work Arrangements"
"Both Sexes";"..Information and Communication";136057;54438;18246;36192;.;.;7457;7478;.;116685;59328;22297;37031;7777;79;12920;14580;.;142051;.;21297;.;.;131;7885;8540;.;140444;59098;20571;38527;8357;76;9737;20263;47853;140312;66852;18238;48614;8595;196;7034;13120;23299
"Both Sexes";"..Financial and Insurance Activities";262569;96549;36705;59844;.;.;9972;1019;.;243532;120011;48287;71724;19569;119;20660;622;.;301312;.;58598;.;.;267;21718;1529;.;376797;180228;58997;121230;25254;1710;32560;2107;54343;382575;189033;46979;142054;36849;476;19563;2614;28045
"Both Sexes";"..Real Estate Activities";40767;17238;6495;10743;.;.;2731;1182;.;45190;16393;5458;10936;5463;53;6991;382;.;52831;.;7467;.;.;41;6818;481;.;59865;26904;6853;20052;8069;34;4896;524;7618;65619;23068;5259;17808;7110;98;4733;2876;3658
"Both Sexes";"..Professional, Scientific and Technical Activities";95788;45522;16895;28627;.;.;13472;5621;.;108609;52844;21064;31780;6242;70;12526;3962;.;100612;.;23155;.;.;106;8857;3438;.;104780;56614;24910;31704;4782;39;12911;3032;17835;97775;47754;15662;32092;4867;120;7016;5510;14613
"Both Sexes";"..Administrative and Support Services Activities";915774;527398;192474;334924;.;.;287033;224578;.;967699;606507;252795;353712;28025;260;257737;220965;.;1314868;.;324744;.;.;263;451619;211009;.;1451192;863692;304429;559263;45337;8652;481248;195611;213442;1554358;798019;273368;524651;59220;2653;319971;400844;152401
"Both Sexes";"..Education except Public Education";307479;93828;37657;56170;.;.;22123;585;.;271023;108975;47890;61086;39282;412;27244;1148;.;293817;.;65392;.;.;449;33065;1297;.;279078;119004;48057;70946;39932;1467;33201;782;35502;269272;101424;32178;69246;38342;676;18824;928;8711
"Both Sexes";"..Human Health and Social Work Activities except Public Health Activities";108250;52455;18760;33696;.;.;15684;13986;.;135173;72650;25089;47561;10175;62;22014;18854;.;157186;.;26246;.;.;261;23047;28985;.;177856;86533;26295;60238;14129;614;29774;32431;13188;184786;79594;19588;60005;17370;502;16192;36479;8255
"Both Sexes";"..Arts, Entertainment and Recreation";30888;8190;2340;5850;.;.;6619;2122;.;46655;17208;5180;12028;7797;3;4954;4242;.;48887;.;6067;.;.;26;6614;2788;.;45798;11818;4415;7403;5402;295;7438;1038;1641;38419;14301;2759;11542;7155;36;2766;7954;6666
"Both Sexes";"..Other Service Activities except Activities of Membership Organizations";23460;12724;3269;9455;.;.;7594;987;.;14373;6177;1685;4493;1116;124;3280;1042;.;15919;.;2071;.;.;25;4620;1010;.;12131;6486;1430;5055;985;48;3434;0;1788;12221;6154;1307;4847;881;305;3740;337;63
"Female";"ALL INDUSTRIES";1748619;.;.;.;.;.;.;.;.;1870998;1067371;482639;584732;106986;.;.;.;.;2198954;.;550115;.;.;2076;541514;189228;.;2320210;1205666;448309;757357;135625;8744;582286;168574;288739;2286070;1129480;380247;749233;133804;5167;385205;276057;150787
"Female";"..Agriculture, Forestry and Fishing";37336;.;.;.;.;.;.;.;.;26638;8430;2283;6147;4021;.;.;.;.;33689;.;3634;.;.;110;8275;136;.;31993;10637;2537;8100;3497;10;7650;67;151;29112;8968;2091;6877;2803;31;6315;170;86
"Female";"..Mining and Quarrying";3599;.;.;.;.;.;.;.;.;3684;1534;450;1084;450;.;.;.;.;3789;.;518;.;.;4;454;137;.;5343;1896;608;1288;579;4;285;112;630;4476;1485;327;1159;420;6;427;185;21
"Female";"..Manufacturing";423912;.;.;.;.;.;.;.;.;448671;247416;113690;133725;24449;.;.;.;.;492856;.;117907;.;.;473;172415;52937;.;465455;217546;77593;139953;27018;1112;138304;47426;24085;474781;195987;62643;133344;26891;872;142644;49011;7385
"Female";"..Electricity, Gas, Steam and Air Conditioning Supply";12693;.;.;.;.;.;.;.;.;8933;2729;771;1959;2159;.;.;.;.;12516;.;1107;.;.;18;584;83;.;10167;3070;703;2368;1912;23;459;114;933;11409;2850;515;2335;1751;23;568;69;400
"Female";"..Water Supply; Sewerage, Waste Management and Remediation Activities";6330;.;.;.;.;.;.;.;.;6935;1712;431;1281;1391;.;.;.;.;7683;.;856;.;.;32;913;12;.;7669;2482;719;1763;1303;67;923;20;1550;8081;2533;544;1989;1304;42;650;52;177
"Female";"..Construction";14777;.;.;.;.;.;.;.;.;19881;10226;3857;6370;1069;.;.;.;.;28684;.;4635;.;.;19;3234;66;.;24848;12283;4252;8031;1310;93;4067;3;1380;26695;12582;3234;9348;1500;52;3853;83;793
"Female";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";254012;.;.;.;.;.;.;.;.;251298;154208;67739;86469;9893;.;.;.;.;269044;.;71748;.;.;501;74420;1285;.;378481;192926;69320;123606;24425;360;168238;1463;33408;271002;148326;47174;101152;13873;344;63074;1553;6353
"Female";"..Transportation and Storage";24796;.;.;.;.;.;.;.;.;37992;21101;10027;11073;2540;.;.;.;.;36667;.;7784;.;.;24;12705;567;.;30239;11525;3725;7801;3421;61;7698;653;3414;44262;20693;5426;15267;3179;88;2902;2503;5094
"Female";"..Accommodation and Food Service Activities";100727;.;.;.;.;.;.;.;.;92273;62595;36300;26294;2941;.;.;.;.;99158;.;38506;.;.;124;34592;6261;.;80468;53425;22183;31242;3015;32;22801;1803;14392;93806;60600;28861;31738;2500;186;25176;5403;2011
"Female";"..Information and Communication";54774;.;.;.;.;.;.;.;.;48619;26829;10782;16047;2337;.;.;.;.;59959;.;10940;.;.;44;3137;3288;.;62982;29185;10662;18522;2395;36;3662;9595;25990;54337;27751;8834;18916;2878;82;1985;4337;10049
"Female";"..Financial and Insurance Activities";129437;.;.;.;.;.;.;.;.;145788;75955;32500;43455;10584;.;.;.;.;183387;.;40491;.;.;110;10669;556;.;211766;105114;36688;68426;14194;901;11452;1186;30027;218403;111711;31296;80415;17901;280;8023;1265;15379
"Female";"..Real Estate Activities";16067;.;.;.;.;.;.;.;.;20329;9412;3455;5957;2095;.;.;.;.;22579;.;4145;.;.;17;1605;114;.;27146;13037;3927;9110;1675;16;1292;128;3736;28928;11531;2882;8649;2369;34;1370;532;2089
"Female";"..Professional, Scientific and Technical Activities";44574;.;.;.;.;.;.;.;.;47612;24581;10987;13593;2051;.;.;.;.;49030;.;13084;.;.;57;4274;1681;.;50083;28524;13595;14929;1661;26;6369;1209;8375;47571;25550;9542;16008;1698;50;2587;2280;8246
"Female";"..Administrative and Support Services Activities";357274;.;.;.;.;.;.;.;.;435302;289946;135689;154257;8168;.;.;.;.;584295;.;166845;.;.;107;174580;100438;.;622084;382973;149556;233417;15200;5033;169087;82821;108579;667568;371376;139825;231550;19440;2217;101905;182801;78973
"Female";"..Education except Public Education";175130;.;.;.;.;.;.;.;.;163719;70752;32254;38497;23672;.;.;.;.;183377;.;44640;.;.;237;20193;631;.;170856;73354;31232;42122;23044;437;18399;342;22205;162250;64724;21501;43222;21805;387;11184;384;5614
"Female";"..Human Health and Social Work Activities except Public Health Activities";68604;.;.;.;.;.;.;.;.;88609;48313;17777;30536;6444;.;.;.;.;103510;.;18772;.;.;175;14711;18770;.;116216;58262;18064;40197;8873;338;16845;20967;8821;122101;54230;13697;40533;10919;313;9960;22473;5071
"Female";"..Arts, Entertainment and Recreation";11416;.;.;.;.;.;.;.;.;17824;8138;2720;5418;2175;.;.;.;.;19941;.;3217;.;.;11;2122;1724;.;19320;6473;2217;4257;1742;177;2955;664;214;16187;5817;1302;4516;2251;19;942;2870;3017
"Female";"..Other Service Activities except Activities of Membership Organizations";13164;.;.;.;.;.;.;.;.;6891;3494;926;2568;546;.;.;.;.;8789;.;1284;.;.;12;2631;543;.;5092;2953;729;2224;360;18;1800;0;848;5101;2767;551;2216;322;141;1640;83;28
