"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Category of Workers Covered, Sex and Major Industry Group, Philippines: 2017 - 2019"

"Major Industry Group";"Sex";"Coverage of the Productivity Improvement Program";"2017";"2019"
"..Real Estate Activities";"..Female";"....Supervisors/Foremen";.;627
"..Real Estate Activities";"..Female";"....Rank-and-File/Production Workers";.;1226
"..Professional, Scientific and Technical Activities";"Both Sexes";"Total Workers Covered by the PIPs";36707;42996
"..Professional, Scientific and Technical Activities";"Both Sexes";"..Total";..;..
"..Professional, Scientific and Technical Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Professional, Scientific and Technical Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Professional, Scientific and Technical Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Professional, Scientific and Technical Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Professional, Scientific and Technical Activities";"..Male";"..Total";18405;21646
"..Professional, Scientific and Technical Activities";"..Male";"....Managerial/Executive";.;1500
"..Professional, Scientific and Technical Activities";"..Male";"....Supervisors/Foremen";.;5569
"..Professional, Scientific and Technical Activities";"..Male";"....Rank-and-File/Production Workers";.;14577
"..Professional, Scientific and Technical Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Professional, Scientific and Technical Activities";"..Female";"..Total";18302;21350
"..Professional, Scientific and Technical Activities";"..Female";"....Managerial/Executive";.;1867
"..Professional, Scientific and Technical Activities";"..Female";"....Supervisors/Foremen";.;2545
"..Professional, Scientific and Technical Activities";"..Female";"....Rank-and-File/Production Workers";.;16937
"..Administrative and Support Service Activities";"Both Sexes";"Total Workers Covered by the PIPs";413731;347999
"..Administrative and Support Service Activities";"Both Sexes";"..Total";..;..
"..Administrative and Support Service Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Administrative and Support Service Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Administrative and Support Service Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Administrative and Support Service Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Administrative and Support Service Activities";"..Male";"..Total";236369;204113
"..Administrative and Support Service Activities";"..Male";"....Managerial/Executive";.;3955
"..Administrative and Support Service Activities";"..Male";"....Supervisors/Foremen";.;12240
"..Administrative and Support Service Activities";"..Male";"....Rank-and-File/Production Workers";.;187919
"..Administrative and Support Service Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Administrative and Support Service Activities";"..Female";"..Total";177361;143886
"..Administrative and Support Service Activities";"..Female";"....Managerial/Executive";.;4559
"..Administrative and Support Service Activities";"..Female";"....Supervisors/Foremen";.;9614
"..Administrative and Support Service Activities";"..Female";"....Rank-and-File/Production Workers";.;129713
"..Education Except Public Education";"Both Sexes";"Total Workers Covered by the PIPs";119895;109941
"..Education Except Public Education";"Both Sexes";"..Total";..;..
"..Education Except Public Education";"Both Sexes";"....Managerial/Executive";..;..
"..Education Except Public Education";"Both Sexes";"....Supervisors/Foremen";..;..
"..Education Except Public Education";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Education Except Public Education";"..Male";"Total Workers Covered by the PIPs";..;..
"..Education Except Public Education";"..Male";"..Total";44694;40473
"..Education Except Public Education";"..Male";"....Managerial/Executive";.;2355
"..Education Except Public Education";"..Male";"....Supervisors/Foremen";.;2802
"..Education Except Public Education";"..Male";"....Rank-and-File/Production Workers";.;35316
"..Education Except Public Education";"..Female";"Total Workers Covered by the PIPs";..;..
"..Education Except Public Education";"..Female";"..Total";75202;69469
"..Education Except Public Education";"..Female";"....Managerial/Executive";.;4063
"..Education Except Public Education";"..Female";"....Supervisors/Foremen";.;4232
"..Education Except Public Education";"..Female";"....Rank-and-File/Production Workers";.;61174
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"Total Workers Covered by the PIPs";82583;82467
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"..Total";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"..Total";27285;28855
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"....Managerial/Executive";.;1330
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"....Supervisors/Foremen";.;2717
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"....Rank-and-File/Production Workers";.;24808
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"..Total";55298;53612
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"....Managerial/Executive";.;1801
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"....Supervisors/Foremen";.;4534
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"....Rank-and-File/Production Workers";.;47277
"..Arts, Entertainment and  Recreation";"Both Sexes";"Total Workers Covered by the PIPs";11190;16965
"..Arts, Entertainment and  Recreation";"Both Sexes";"..Total";..;..
"..Arts, Entertainment and  Recreation";"Both Sexes";"....Managerial/Executive";..;..
"..Arts, Entertainment and  Recreation";"Both Sexes";"....Supervisors/Foremen";..;..
"..Arts, Entertainment and  Recreation";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Arts, Entertainment and  Recreation";"..Male";"Total Workers Covered by the PIPs";..;..
"..Arts, Entertainment and  Recreation";"..Male";"..Total";7298;10321
"..Arts, Entertainment and  Recreation";"..Male";"....Managerial/Executive";.;492
"..Arts, Entertainment and  Recreation";"..Male";"....Supervisors/Foremen";.;595
"..Arts, Entertainment and  Recreation";"..Male";"....Rank-and-File/Production Workers";.;9235
"..Arts, Entertainment and  Recreation";"..Female";"Total Workers Covered by the PIPs";..;..
"..Arts, Entertainment and  Recreation";"..Female";"..Total";3892;6644
"..Arts, Entertainment and  Recreation";"..Female";"....Managerial/Executive";.;204
"..Arts, Entertainment and  Recreation";"..Female";"....Supervisors/Foremen";.;465
"..Arts, Entertainment and  Recreation";"..Female";"....Rank-and-File/Production Workers";.;5974
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"Total Workers Covered by the PIPs";7735;3167
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"..Total";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"Total Workers Covered by the PIPs";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"..Total";3302;1608
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"....Managerial/Executive";.;124
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"....Supervisors/Foremen";.;556
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"....Rank-and-File/Production Workers";.;928
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"Total Workers Covered by the PIPs";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"..Total";4433;1559
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"....Managerial/Executive";.;151
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"....Supervisors/Foremen";.;474
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"....Rank-and-File/Production Workers";.;935
