"Number of Registered Marriages by Age Group of Male and Place of Occurrence (Region, Province and HUCs), Philippines: 2013-2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__MA/1001A1BMAR0.px/table/tableViewLayout1/?rxid=755d6dde-6b4c-467c-8864-6839e23553f5"
"Geolocation";"2013 Total";"2013 Under 15";"2013 15 - 19";"2013 20 - 24";"2013 25 - 29";"2013 30 - 34";"2013 35 - 39";"2013 40 - 44";"2013 45 - 49";"2013 50 - 54";"2013 55 - 59";"2013 60 and Over";"2013 Not Stated";"2014 Total";"2014 Under 15";"2014 15 - 19";"2014 20 - 24";"2014 25 - 29";"2014 30 - 34";"2014 35 - 39";"2014 40 - 44";"2014 45 - 49";"2014 50 - 54";"2014 55 - 59";"2014 60 and Over";"2014 Not Stated";"2015 Total";"2015 Under 15";"2015 15 - 19";"2015 20 - 24";"2015 25 - 29";"2015 30 - 34";"2015 35 - 39";"2015 40 - 44";"2015 45 - 49";"2015 50 - 54";"2015 55 - 59";"2015 60 and Over";"2015 Not Stated";"2016 Total";"2016 Under 15";"2016 15 - 19";"2016 20 - 24";"2016 25 - 29";"2016 30 - 34";"2016 35 - 39";"2016 40 - 44";"2016 45 - 49";"2016 50 - 54";"2016 55 - 59";"2016 60 and Over";"2016 Not Stated";"2017 Total";"2017 Under 15";"2017 15 - 19";"2017 20 - 24";"2017 25 - 29";"2017 30 - 34";"2017 35 - 39";"2017 40 - 44";"2017 45 - 49";"2017 50 - 54";"2017 55 - 59";"2017 60 and Over";"2017 Not Stated";"2018 Total";"2018 Under 15";"2018 15 - 19";"2018 20 - 24";"2018 25 - 29";"2018 30 - 34";"2018 35 - 39";"2018 40 - 44";"2018 45 - 49";"2018 50 - 54";"2018 55 - 59";"2018 60 and Over";"2018 Not Stated";"2019 Total";"2019 Under 15";"2019 15 - 19";"2019 20 - 24";"2019 25 - 29";"2019 30 - 34";"2019 35 - 39";"2019 40 - 44";"2019 45 - 49";"2019 50 - 54";"2019 55 - 59";"2019 60 and Over";"2019 Not Stated";"2020 Total";"2020 Under 15";"2020 15 - 19";"2020 20 - 24";"2020 25 - 29";"2020 30 - 34";"2020 35 - 39";"2020 40 - 44";"2020 45 - 49";"2020 50 - 54";"2020 55 - 59";"2020 60 and Over";"2020 Not Stated";"2021 Total";"2021 Under 15";"2021 15 - 19";"2021 20 - 24";"2021 25 - 29";"2021 30 - 34";"2021 35 - 39";"2021 40 - 44";"2021 45 - 49";"2021 50 - 54";"2021 55 - 59";"2021 60 and Over";"2021 Not Stated";"2022 Total";"2022 Under 15";"2022 15 - 19";"2022 20 - 24";"2022 25 - 29";"2022 30 - 34";"2022 35 - 39";"2022 40 - 44";"2022 45 - 49";"2022 50 - 54";"2022 55 - 59";"2022 60 and Over";"2022 Not Stated"
"..ILOILO";8847;0;110;2210;3180;1909;793;359;137;56;32;61;0;8319;0;109;2013;2974;1849;778;289;141;74;46;46;0;9303;0;115;2197;3419;2072;839;312;160;75;41;71;2;10171;0;119;2176;3799;2286;959;427;188;81;67;69;0;9213;0;93;1927;3489;2151;851;341;155;97;45;64;0;9163;0;89;1782;3441;2225;912;372;162;83;42;55;0;9313;0;72;1614;3530;2336;1000;375;183;81;44;78;0;5280;0;33;865;2083;1398;510;194;90;50;30;27;0;6510;0;31;978;2584;1822;633;234;125;31;25;47;0;8433;0;32;987;3089;2444;1049;396;193;80;61;102;0
"..NEGROS OCCIDENTAL";11997;0;275;3481;4185;2289;924;396;181;111;69;84;2;11849;0;262;3373;4226;2309;882;341;159;119;79;96;3;11870;0;218;3301;4206;2357;974;344;180;104;75;108;3;10676;0;201;2859;3932;2076;841;361;164;82;62;97;1;11446;0;185;2932;4178;2334;954;382;178;121;69;113;0;11625;0;166;2626;4265;2567;1077;430;194;122;70;108;0;11127;0;151;2415;4097;2516;1022;416;204;121;60;125;0;6582;0;83;1395;2518;1486;608;222;98;56;42;74;0;8904;0;99;1830;3293;2250;786;292;153;76;49;76;0;10998;0;113;1859;3776;2935;1202;524;210;139;85;154;1
"..CITY OF BACOLOD";4336;0;29;644;1544;1148;493;204;101;53;48;69;3;2658;0;13;391;978;735;277;107;48;28;37;44;0;2653;0;16;367;1032;746;268;82;48;41;24;29;0;2753;0;11;330;1003;774;318;127;66;41;34;49;0;3046;1;13;348;1117;868;348;132;90;46;33;50;0;3085;0;10;347;1120;891;381;146;53;46;35;55;1;2931;0;3;290;1093;887;340;142;58;36;33;49;0;1563;0;6;114;612;489;188;79;24;18;11;22;0;1976;0;3;157;743;638;243;89;44;21;12;26;0;2587;0;3;171;871;874;363;144;57;31;28;44;1
"..CITY OF ILOILO";3646;0;19;533;1462;907;369;153;76;47;37;43;0;3669;0;21;538;1379;995;395;137;72;46;36;50;0;2963;0;11;411;1125;766;358;126;52;42;29;42;1;2725;0;12;357;1032;757;301;114;60;36;23;33;0;2732;0;12;289;1037;814;292;117;60;37;27;46;1;2522;0;10;283;947;734;317;121;39;18;22;31;0;2078;0;3;200;791;645;256;81;45;13;17;27;0;1198;0;4;106;461;382;135;51;30;5;7;17;0;1449;0;2;95;565;523;167;44;21;8;9;15;0;2056;0;5;105;740;720;255;114;43;21;13;40;0
"REGION VII (CENTRAL VISAYAS)";33483;0;622;8736;12126;6619;2497;1101;604;413;291;473;1;34149;0;550;8658;12604;6967;2516;1091;574;412;295;480;2;35934;0;477;8390;13420;7583;3033;1158;635;398;307;532;1;34192;0;471;7848;12806;7253;2938;1091;602;400;303;479;1;36776;0;418;7740;13967;8253;3206;1289;604;424;307;566;2;36690;0;324;6761;13862;8700;3561;1339;716;463;345;619;0;35924;0;248;6334;13474;8705;3674;1379;705;468;330;607;0;18882;0;149;3098;7464;4797;1814;676;282;195;125;282;0;32977;0;218;4685;12528;9095;3505;1428;577;283;217;441;0;38008;0;204;4513;13626;10690;4453;1925;854;517;409;817;0
"..BOHOL";6023;0;131;1675;2123;1188;447;203;93;66;42;54;1;6256;0;112;1646;2248;1275;496;178;103;67;50;81;0;6398;0;79;1600;2453;1293;513;198;102;60;31;68;1;6512;0;95;1547;2457;1408;543;191;91;68;45;66;1;7046;0;76;1567;2733;1509;587;263;106;72;44;89;0;6725;0;58;1317;2646;1528;657;217;94;58;54;96;0;6593;0;50;1232;2581;1588;604;231;103;60;51;93;0;3709;0;19;628;1483;966;329;126;52;35;19;52;0;5669;0;30;952;2237;1523;498;200;93;38;36;62;0;6670;0;34;788;2458;1917;699;322;165;79;73;135;0
"..CEBU";13450;0;184;3462;4937;2644;999;459;255;182;117;211;0;12999;0;147;3369;4899;2608;878;421;204;169;116;187;1;14715;0;147;3384;5494;3104;1276;459;295;180;140;236;0;13276;0;131;2974;5038;2779;1164;439;235;173;135;208;0;14235;0;116;2928;5463;3156;1300;486;236;177;129;244;0;14872;0;86;2628;5687;3460;1487;603;279;206;165;271;0;14148;0;64;2385;5303;3401;1488;577;294;210;152;274;0;6919;0;20;1013;2829;1792;676;247;101;77;47;117;0;13614;0;54;1692;5229;3837;1532;614;254;135;88;179;0;14908;0;46;1603;5347;4208;1744;823;349;231;194;363;0
"..NEGROS ORIENTAL";7042;0;264;2404;2335;1131;434;166;107;66;45;90;0;7634;0;253;2519;2640;1240;473;191;116;70;56;76;0;7634;0;218;2349;2681;1324;559;198;97;57;58;93;0;7551;0;215;2379;2657;1281;499;190;120;64;49;97;0;7711;0;201;2251;2740;1438;534;217;112;73;51;92;2;7485;0;160;1965;2683;1505;565;205;141;80;65;116;0;7417;0;125;1863;2675;1549;613;223;129;84;50;106;0;5040;0;105;1184;1975;1017;420;151;64;38;28;58;0;6920;0;128;1565;2600;1537;566;253;86;39;39;107;0;8435;0;113;1608;3008;2004;877;349;154;99;70;153;0
"..SIQUIJOR";337;0;7;73;128;67;24;16;11;2;3;6;0;356;0;2;73;121;84;30;17;15;7;1;6;0;372;0;1;61;141;87;31;25;5;8;5;8;0;320;0;5;53;123;69;30;16;8;2;5;9;0;392;0;1;64;140;100;31;22;6;7;7;14;0;371;0;0;36;132;86;54;22;12;13;3;13;0;374;0;0;40;132;103;55;18;11;3;5;7;0;161;0;0;18;46;45;25;8;8;0;2;9;0;221;0;1;23;63;64;32;8;10;5;5;10;0;365;0;0;25;123;107;58;20;7;8;3;14;0
"..CITY OF CEBU";3706;0;16;562;1494;936;340;137;77;49;46;49;0;3858;0;12;514;1523;1015;379;183;81;53;32;66;0;3739;0;14;461;1505;1031;370;138;76;47;34;63;0;3898;0;13;454;1513;1075;432;163;100;56;34;58;0;4206;0;13;479;1637;1200;447;178;78;50;50;74;0;4286;0;14;414;1625;1316;480;178;100;62;32;65;0;4169;0;3;422;1615;1215;492;164;95;52;44;67;0;1583;0;3;113;591;530;199;68;24;18;11;26;0;3702;0;2;235;1350;1258;501;195;63;38;29;31;0;4370;0;5;255;1618;1415;590;226;95;56;35;75;0
"..CITY OF LAPU-LAPU";1622;0;13;317;586;357;129;74;41;29;27;49;0;1673;0;14;293;625;388;149;58;33;28;33;51;1;1607;0;12;301;585;356;145;65;33;35;30;45;0;1482;0;10;268;565;358;131;53;24;25;23;25;0;1840;0;9;257;722;495;160;69;42;33;18;35;0;1913;0;2;278;667;520;212;82;58;29;21;44;0;1899;0;5;255;699;478;227;94;43;35;17;46;0;878;0;1;95;318;265;94;40;23;16;12;14;0;1659;0;2;140;616;478;219;92;43;21;12;36;0;1791;0;3;136;587;572;246;89;52;24;20;62;0
"..CITY OF MANDAUE";1303;0;7;243;523;296;124;46;20;19;11;14;0;1373;0;10;244;548;357;111;43;22;18;7;13;0;1469;0;6;234;561;388;139;75;27;11;9;19;0;1153;0;2;173;453;283;139;39;24;12;12;16;0;1346;0;2;194;532;355;147;54;24;12;8;18;0;1038;0;4;123;422;285;106;32;32;15;5;14;0;1324;0;1;137;469;371;195;72;30;24;11;14;0;592;0;1;47;222;182;71;36;10;11;6;6;0;1192;0;1;78;433;398;157;66;28;7;8;16;0;1469;0;3;98;485;467;239;96;32;20;14;15;0
"REGION VIII (EASTERN VISAYAS)";15861;0;212;2919;5243;3636;1704;882;500;298;192;274;1;12962;0;141;2469;4640;2869;1268;620;334;245;158;217;1;16159;0;128;2813;5447;3645;1829;931;521;356;188;298;3;15852;0;159;2707;5509;3687;1780;797;439;297;196;281;0;16085;0;131;2598;5593;3744;1859;887;498;300;190;285;0;15947;0;98;2253;5631;3880;1858;874;468;316;223;346;0;15728;0;59;2074;5401;4012;1900;946;506;282;204;344;0;8422;0;32;1020;3172;2145;945;471;255;141;100;141;0;14130;0;66;1723;5260;3682;1689;781;363;195;142;229;0;16741;0;67;1453;5655;4691;2293;1084;611;324;225;338;0
"..BILIRAN";513;0;6;103;173;105;59;28;13;9;9;8;0;413;0;6;90;151;74;32;13;19;11;6;11;0;607;0;4;114;213;119;64;28;20;15;10;20;0;523;0;10;101;196;116;46;17;10;11;9;7;0;875;0;6;112;304;220;104;52;21;26;10;20;0;544;0;3;71;193;132;69;22;17;11;9;17;0;676;0;1;107;208;164;74;39;27;12;16;28;0;353;0;2;39;119;85;50;19;16;4;3;16;0;686;0;4;75;266;167;84;38;20;10;3;19;0;676;0;3;46;242;185;85;36;40;10;8;21;0
"..EASTERN SAMAR";2287;0;15;362;669;547;311;169;84;55;26;49;0;1036;0;9;178;367;220;115;57;35;18;15;22;0;1306;0;8;209;486;279;146;87;36;24;7;24;0;1292;0;6;191;443;333;145;63;45;25;26;15;0;1806;0;8;231;634;405;239;129;70;40;22;28;0;1680;0;8;214;574;376;229;115;60;40;28;36;0;1602;0;3;147;553;435;251;106;40;17;14;36;0;664;0;0;78;248;177;72;28;22;15;6;18;0;986;0;1;110;377;269;103;52;23;20;13;18;0;1859;0;3;149;616;499;283;146;77;36;25;25;0
"..LEYTE";5788;0;114;1309;2027;1216;507;229;165;68;64;89;0;5319;0;68;1156;1961;1129;476;202;97;78;58;94;0;6841;0;81;1414;2306;1543;700;316;177;133;68;103;0;7094;0;90;1375;2534;1588;748;321;152;95;64;127;0;6762;0;65;1237;2406;1571;704;295;184;103;70;127;0;7094;0;60;1127;2573;1708;785;333;157;118;88;145;0;6685;0;37;1014;2303;1701;748;362;203;110;75;132;0;3541;0;20;470;1388;880;375;170;86;55;47;50;0;6208;0;42;855;2307;1596;725;328;132;72;56;95;0;6584;0;42;693;2278;1799;831;407;218;115;85;116;0
"..NORTHERN SAMAR";2167;0;29;379;673;505;245;150;77;46;24;39;0;1961;0;24;354;673;433;196;119;65;48;24;24;1;1950;0;11;283;653;421;234;128;88;47;31;51;3;1723;0;18;296;600;350;197;106;59;32;28;37;0;1766;0;23;320;580;413;190;110;63;28;14;25;0;1737;0;8;275;556;426;183;114;70;42;33;30;0;2114;0;7;277;727;497;251;146;87;49;33;40;0;993;0;5;121;387;230;104;59;37;24;12;14;0;1821;0;11;248;664;458;194;107;69;25;22;23;0;2606;0;12;232;863;704;384;177;101;55;29;49;0
"..SAMAR";2033;0;29;385;635;467;215;118;66;47;34;36;1;2389;0;27;414;782;529;256;157;77;65;43;39;0;3087;0;18;455;947;668;387;249;147;104;47;65;0;2878;0;18;445;884;647;386;194;114;89;47;54;0;2468;0;22;425;804;499;294;158;108;71;40;47;0;2682;0;10;364;866;625;329;188;114;75;39;72;0;2152;0;9;284;749;498;252;134;95;47;28;56;0;1726;0;2;200;595;443;216;129;68;28;23;22;0;2273;0;6;271;889;538;285;117;73;38;24;32;0;2674;0;5;208;923;731;362;169;111;66;38;61;0
"..SOUTHERN LEYTE";1456;0;19;266;549;339;129;62;22;23;13;34;0;1450;0;7;234;535;392;148;56;28;18;10;22;0;1601;0;5;266;561;384;207;76;35;21;18;28;0;1550;0;14;223;566;427;164;57;38;23;13;25;0;1621;0;5;201;605;415;201;95;30;20;23;26;0;1530;0;6;146;596;405;186;80;35;20;19;37;0;1585;0;2;171;535;436;207;100;39;36;25;34;0;716;0;3;65;271;198;88;43;16;11;7;14;0;1449;0;2;114;492;429;205;106;33;18;15;35;0;1583;0;2;90;488;507;254;96;48;26;24;48;0
"..CITY OF TACLOBAN";1617;0;0;115;517;457;238;126;73;50;22;19;0;394;0;0;43;171;92;45;16;13;7;2;5;0;767;0;1;72;281;231;91;47;18;12;7;7;0;792;0;3;76;286;226;94;39;21;22;9;16;0;787;0;2;72;260;221;127;48;22;12;11;12;0;680;0;3;56;273;208;77;22;15;10;7;9;0;914;0;0;74;326;281;117;59;15;11;13;18;0;429;0;0;47;164;132;40;23;10;4;2;7;0;707;0;0;50;265;225;93;33;13;12;9;7;0;759;0;0;35;245;266;94;53;16;16;16;18;0
"REGION IX (ZAMBOANGA PENINSULA)";13321;0;307;3516;4484;2627;1100;548;285;182;127;141;4;14129;0;289;3661;4943;2797;1178;535;268;166;109;181;2;15281;0;306;3773;5227;3079;1355;664;335;196;160;185;1;15435;2;259;3533;5405;3123;1488;649;362;242;186;185;1;13574;0;260;3073;4907;2856;1196;534;283;169;122;174;0;14276;0;205;2891;5250;3117;1335;635;326;190;151;176;0;13948;0;194;2712;5117;3066;1366;641;304;204;139;205;0;8096;0;114;1478;3166;1817;750;354;163;98;67;89;0;11544;0;136;1914;4491;2854;1130;479;226;132;80;102;0;14748;0;164;2173;5278;3786;1606;770;381;230;144;216;0
"..ZAMBOANGA DEL NORTE";4188;0;76;1103;1403;789;368;170;120;68;41;48;2;4370;0;65;1175;1434;844;382;194;106;55;39;75;1;4483;0;63;1090;1529;883;388;215;114;66;68;66;1;4222;0;66;994;1539;798;386;177;100;63;47;52;0;3682;0;67;878;1356;760;298;121;81;32;39;50;0;4205;0;55;834;1491;895;414;205;119;65;64;63;0;4527;0;52;853;1594;983;462;239;119;83;58;84;0;2337;0;26;415;870;514;239;121;58;37;21;36;0;3227;0;38;584;1237;738;326;135;69;41;23;36;0;4885;0;56;793;1643;1203;530;275;142;90;57;96;0
"..ZAMBOANGA DEL SUR";3945;0;105;1211;1349;701;275;130;57;40;30;46;1;4113;0;113;1224;1479;727;292;116;58;41;29;34;0;4411;0;94;1260;1544;834;357;144;57;45;29;47;0;4063;0;72;1151;1443;736;328;134;61;54;43;41;0;4167;0;78;1016;1572;853;321;140;61;41;34;51;0;4253;0;61;1015;1573;886;362;155;73;42;38;48;0;3933;0;57;879;1508;802;352;150;60;46;33;46;0;2705;0;51;580;1060;564;240;94;49;24;16;27;0;3748;0;48;679;1494;879;365;121;66;38;23;35;0;4447;0;48;752;1621;1130;431;208;100;69;37;51;0
"..ZAMBOANGA SIBUGAY";2150;0;77;697;739;356;133;72;30;13;23;10;0;2164;0;54;660;766;372;165;64;27;22;16;18;0;2385;0;55;693;813;416;212;85;48;18;23;22;0;2442;0;58;631;896;416;232;90;52;25;15;26;1;2712;0;55;690;977;532;230;105;52;36;11;24;0;2645;0;63;609;1015;518;216;97;50;33;20;24;0;2372;0;56;577;856;490;199;95;39;18;12;30;0;1433;0;29;302;578;322;112;43;18;11;9;9;0;2343;0;40;425;879;580;214;104;41;27;14;19;0;2659;0;47;418;1009;624;287;126;59;32;25;32;0
"..CITY OF ISABELA";85;0;2;26;30;18;4;0;2;2;0;1;0;5;0;0;0;2;2;0;0;0;1;0;0;0;136;0;3;34;54;27;7;4;2;1;1;3;0;105;0;2;20;38;29;10;2;1;1;1;1;0;140;0;1;26;55;31;13;4;6;2;1;1;0;128;0;2;26;48;34;8;7;1;1;0;1;0;168;0;0;30;56;47;18;8;4;3;1;1;0;161;0;4;38;67;21;15;7;6;1;0;2;0;228;0;2;46;89;59;18;5;2;2;3;2;0;238;0;3;24;102;65;25;10;3;2;3;1;0
"..CITY OF ZAMBOANGA";2953;0;47;479;963;763;320;176;76;59;33;36;1;3477;0;57;602;1262;852;339;161;77;47;25;54;1;3866;0;91;696;1287;919;391;216;114;66;39;47;0;4603;2;61;737;1489;1144;532;246;148;99;80;65;0;2873;0;59;463;947;680;334;164;83;58;37;48;0;3045;0;24;407;1123;784;335;171;83;49;29;40;0;2948;0;29;373;1103;744;335;149;82;54;35;44;0;1460;0;4;143;591;396;144;89;32;25;21;15;0;1998;0;8;180;792;598;207;114;48;24;17;10;0;2519;0;10;186;903;764;333;151;77;37;22;36;0
"REGION X (NORTHERN MINDANAO)";22025;1;555;6526;7743;4030;1539;624;359;262;154;231;1;20605;0;496;5874;7331;3872;1473;628;320;215;148;246;2;21025;1;391;5597;7695;4048;1642;683;348;219;144;247;10;19327;0;434;4810;7165;3792;1608;615;311;197;155;239;1;21184;1;410;5091;7971;4272;1712;663;370;248;160;285;1;21416;1;327;4458;8050;4774;1885;760;445;241;184;291;0;20790;0;282;4097;7768;4717;1997;830;420;231;164;284;0;13655;0;199;2489;5238;3322;1248;510;243;140;93;173;0;18304;1;250;3307;6896;4775;1621;677;274;183;116;204;0;23456;0;218;3200;8310;6601;2723;1122;486;299;171;326;0
"..BUKIDNON";8086;0;324;2965;2680;1176;451;181;117;70;44;78;0;7601;0;321;2658;2562;1135;439;201;105;72;35;72;1;8181;0;250;2685;2878;1324;525;236;116;51;50;66;0;7192;0;259;2341;2563;1149;453;171;88;60;42;66;0;8096;0;268;2444;2942;1400;506;232;106;84;43;71;0;7473;1;206;2061;2770;1333;522;220;148;75;50;87;0;7322;0;211;1952;2654;1427;535;246;107;69;46;75;0;5375;0;145;1357;2007;1106;392;171;80;43;32;42;0;7038;1;173;1800;2602;1494;479;230;94;64;40;61;0;7660;0;139;1450;2840;1895;718;302;102;69;60;85;0
"..CAMIGUIN";477;0;2;105;163;119;48;20;5;4;4;7;0;366;0;3;68;133;71;45;17;5;6;6;12;0;440;0;1;85;168;97;53;12;9;8;1;6;0;340;0;0;68;123;74;41;12;7;4;5;6;0;402;0;1;62;143;99;41;18;20;4;8;6;0;348;0;1;44;127;96;40;22;6;7;2;3;0;381;0;1;46;134;106;42;22;10;10;4;6;0;245;0;1;23;80;64;33;17;9;7;2;9;0;217;0;0;12;85;69;23;10;4;2;7;5;0;360;0;0;27;127;99;59;21;9;7;4;7;0
"..LANAO DEL NORTE";1771;1;66;529;626;324;121;37;24;26;10;7;0;1752;0;42;471;633;340;154;47;27;10;8;19;1;1750;1;41;509;595;302;132;64;38;27;7;25;9;1713;0;42;421;655;302;146;57;37;15;16;21;1;1821;1;35;456;691;370;125;63;31;11;15;23;0;1933;0;45;440;728;398;161;66;31;17;16;31;0;1675;0;25;352;615;365;161;57;42;20;15;23;0;1060;0;20;194;427;240;87;34;28;9;10;11;0;1441;0;23;247;582;362;121;49;20;14;12;11;0;2592;0;24;294;901;716;342;152;72;45;17;29;0
"..MISAMIS OCCIDENTAL";2566;0;37;741;912;482;167;82;54;30;22;39;0;2373;0;42;651;854;476;167;70;36;24;19;34;0;2509;0;28;593;918;519;209;76;53;35;26;52;0;2364;0;35;511;931;472;209;85;43;21;23;34;0;2473;0;32;563;949;499;224;74;38;29;18;47;0;2562;0;22;463;991;590;238;98;60;44;24;32;0;2563;0;9;481;969;610;247;104;66;28;17;32;0;1819;0;8;278;693;455;197;100;29;18;11;30;0;2415;0;17;383;879;663;256;82;57;27;13;38;0;3390;0;16;434;1227;947;386;176;73;47;23;61;0
"..MISAMIS ORIENTAL";3736;0;73;1017;1345;730;287;135;41;47;27;33;1;4045;0;53;1088;1434;834;310;127;61;44;43;51;0;3651;0;37;883;1382;731;315;124;62;47;30;39;1;3793;0;58;841;1365;833;362;143;66;45;29;51;0;3832;0;45;830;1440;808;355;132;81;57;28;55;1;3876;0;31;704;1433;943;384;155;92;32;43;59;0;4190;0;27;708;1533;952;492;209;98;51;48;72;0;2226;0;16;358;868;551;201;82;54;29;18;49;0;3579;0;25;510;1352;1029;340;171;53;36;19;44;0;4038;0;31;525;1354;1160;487;216;110;61;32;62;0
"..CITY OF CAGAYAN DE ORO";4146;0;35;854;1562;936;368;136;100;69;38;48;0;2939;0;23;575;1150;704;229;98;57;36;24;43;0;3021;0;18;513;1182;758;294;116;50;32;15;43;0;2780;0;25;430;1062;715;275;105;42;40;33;53;0;3254;0;22;503;1287;797;327;108;70;44;35;61;0;3678;0;15;476;1412;1030;385;147;75;50;34;54;0;3159;0;6;353;1250;862;369;138;67;35;25;54;0;2105;0;3;176;827;685;251;72;32;20;12;27;0;2399;0;3;202;912;815;267;91;31;28;16;34;0;3987;0;6;320;1339;1334;558;195;89;51;29;66;0
"..CITY OF ILIGAN";1243;0;18;315;455;263;97;33;18;16;9;19;0;1529;0;12;363;565;312;129;68;29;23;13;15;0;1473;0;16;329;572;317;114;55;20;19;15;16;0;1145;0;15;198;466;247;122;42;28;12;7;8;0;1306;0;7;233;519;299;134;36;24;19;13;22;0;1546;0;7;270;589;384;155;52;33;16;15;25;0;1500;0;3;205;613;395;151;54;30;18;9;22;0;825;0;6;103;336;221;87;34;11;14;8;5;0;1215;0;9;153;484;343;135;44;15;12;9;11;0;1429;0;2;150;522;450;173;60;31;19;6;16;0
"REGION XI (DAVAO REGION)";23340;0;347;5442;8282;4994;2118;951;461;293;176;271;5;22496;0;330;5049;8105;4902;2039;883;426;294;197;265;6;22431;0;302;4825;8093;5014;2122;906;472;266;174;256;1;20818;0;231;4274;7628;4743;1895;859;447;280;171;289;1;21865;0;293;4254;8086;5037;2164;874;442;240;189;286;0;23275;1;223;4117;8322;5641;2537;1036;558;287;203;349;1;21901;0;188;3648;7628;5445;2510;1092;511;299;239;341;0;13566;0;112;2093;5171;3482;1437;595;232;168;98;178;0;22012;0;167;3229;8103;5879;2536;1067;417;251;136;227;0;23865;0;187;3079;8218;6618;2934;1333;610;307;214;365;0
"..DAVAO DE ORO";3313;0;39;836;1192;664;302;146;61;33;15;25;0;3425;0;48;824;1228;701;319;161;55;44;21;24;0;3434;0;47;826;1207;692;339;149;77;36;26;35;0;3152;0;26;741;1116;682;301;136;75;23;26;26;0;3311;0;36;713;1202;730;326;153;74;34;23;20;0;2741;0;15;560;946;657;307;112;54;34;20;36;0;2866;0;18;515;1043;653;343;141;72;23;28;30;0;1718;0;13;298;651;419;173;86;25;28;12;13;0;3732;0;18;551;1371;968;422;203;80;54;29;36;0;3470;0;21;417;1154;946;448;249;99;54;32;50;0
"..DAVAO DEL NORTE";5583;0;100;1361;1989;1143;490;228;100;65;43;62;2;5256;0;75;1216;1939;1152;455;180;80;68;40;49;2;5970;0;82;1355;2184;1301;548;230;112;64;38;55;1;5648;0;65;1223;2127;1246;504;208;94;64;49;67;1;5151;0;52;1069;2020;1148;478;166;81;44;39;54;0;6538;0;52;1158;2390;1591;715;281;149;75;51;76;0;5329;0;40;963;1918;1295;560;258;120;58;52;65;0;3092;0;30;483;1272;780;296;109;41;25;18;38;0;5644;0;52;813;2206;1471;628;256;83;60;33;42;0;5629;0;45;735;2076;1571;632;280;114;57;37;82;0
"..DAVAO DEL SUR";3489;0;70;944;1195;672;278;144;79;41;20;44;2;3324;0;69;926;1165;647;277;102;53;32;24;26;3;3023;0;58;738;1073;608;287;103;63;39;22;32;0;1969;0;41;517;714;408;159;50;32;16;10;22;0;2906;0;56;698;1102;585;240;99;47;29;19;31;0;3093;0;44;670;1126;710;279;123;57;22;22;40;0;2543;0;38;548;898;582;231;104;54;33;22;33;0;2082;0;23;441;745;492;195;84;38;27;11;26;0;2844;0;30;502;1080;704;278;120;57;26;20;27;0;3251;0;34;520;1165;821;378;151;63;48;23;48;0
"..DAVAO OCCIDENTAL";1469;0;38;356;504;260;136;70;40;26;16;22;1;1254;0;27;368;395;202;97;60;36;20;17;31;1;1283;0;20;316;490;228;97;60;32;19;7;14;0;1145;0;17;248;384;241;100;68;29;27;12;19;0;1305;0;43;291;408;283;129;52;40;18;11;30;0;1596;0;25;325;530;328;169;92;63;21;17;26;0;1224;0;24;256;370;294;130;55;38;23;12;22;0;1024;0;9;201;359;237;109;56;20;12;8;13;0;857;0;14;195;277;196;85;35;22;13;7;13;0;1059;0;16;236;361;238;118;46;20;5;9;10;0
"..DAVAO ORIENTAL";2187;0;30;500;769;489;221;76;50;26;11;15;0;2549;0;44;598;885;545;238;117;58;27;17;20;0;2624;0;32;505;874;656;298;117;70;33;19;20;0;2447;0;32;540;908;495;233;118;52;31;15;23;0;2081;0;52;442;735;470;186;92;39;26;17;22;0;2131;0;35;422;746;475;233;107;51;28;11;23;0;2068;0;30;362;700;492;260;120;41;20;17;26;0;1283;0;20;225;485;299;125;69;26;14;7;13;0;2721;0;24;447;959;693;311;156;61;37;13;20;0;2461;0;33;345;811;695;292;147;62;19;20;37;0
"..CITY OF DAVAO";7299;0;70;1445;2633;1766;691;287;131;102;71;103;0;6688;0;67;1117;2493;1655;653;263;144;103;78;115;0;6097;0;63;1085;2265;1529;553;247;118;75;62;100;0;6457;0;50;1005;2379;1671;598;279;165;119;59;132;0;7111;0;54;1041;2619;1821;805;312;161;89;80;129;0;7176;1;52;982;2584;1880;834;321;184;107;82;148;1;7871;0;38;1004;2699;2129;986;414;186;142;108;165;0;4367;0;17;445;1659;1255;539;191;82;62;42;75;0;6214;0;29;721;2210;1847;812;297;114;61;34;89;0;7995;0;38;826;2651;2347;1066;460;252;124;93;138;0
"REGION XII (SOCCSKSARGEN) 1/";17665;2;431;5094;6174;3354;1359;579;305;174;83;109;1;17668;0;351;4932;6294;3315;1443;608;299;172;101;153;0;16850;0;376;4482;6135;3260;1347;580;284;149;97;140;0;15558;1;281;3908;5735;3181;1281;561;255;136;79;139;1;17690;1;322;4110;6564;3775;1541;657;287;159;116;158;0;17800;1;296;3889;6540;3950;1639;702;342;173;121;147;0;15250;0;223;3258;5726;3421;1388;618;264;140;81;131;0;9994;1;122;1820;3970;2344;924;392;180;97;60;84;0;15847;0;186;2744;6055;3961;1575;695;295;132;74;130;0;17956;0;165;2728;6512;4662;2069;905;413;195;137;170;0
