"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Workers Benifitted by Sex, Category and Major Industry Group, Philippines:  2017 - 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/6751B3GP110.px/table/tableViewLayout1/?rxid=ed11a92c-d045-4915-9f5c-39179ded88fd"
"Major Industry Group";"Sex";"Category of Employees Who Benefitted from PIP Incentives";"2017";"2019"
"..Manufacturing";"Both Sexes";"Total";289587;225496
"..Manufacturing";"Both Sexes";"..Total";..;..
"..Manufacturing";"Both Sexes";"....Managerial/Executive";..;..
"..Manufacturing";"Both Sexes";"....Supervisors/Foremen";..;..
"..Manufacturing";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Manufacturing";"..Male";"Total";..;..
"..Manufacturing";"..Male";"..Total";5896;119825
"..Manufacturing";"..Male";"....Managerial/Executive";15041;5261
"..Manufacturing";"..Male";"....Supervisors/Foremen";127642;12174
"..Manufacturing";"..Male";"....Rank-and-File/Production Workers";141008;102390
"..Manufacturing";"..Female";"Total";..;..
"..Manufacturing";"..Female";"..Total";3764;105671
"..Manufacturing";"..Female";"....Managerial/Executive";10280;3090
"..Manufacturing";"..Female";"....Supervisors/Foremen";126964;9071
"..Manufacturing";"..Female";"....Rank-and-File/Production Workers";348895;93509
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"Total";11521;16587
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"..Total";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"....Managerial/Executive";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"....Supervisors/Foremen";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"Total";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"..Total";9130;13455
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"....Managerial/Executive";411;655
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"....Supervisors/Foremen";1679;1966
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Male";"....Rank-and-File/Production Workers";7040;10834
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"Total";..;..
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"..Total";2391;3132
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"....Managerial/Executive";182;419
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"....Supervisors/Foremen";486;620
"..Electricity, Gas, Steam and Air Conditioning Supply";"..Female";"....Rank-and-File/Production Workers";1723;2092
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"Total";9130;6480
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"..Total";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"Total";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"..Total";6688;4749
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"....Managerial/Executive";1031;272
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"....Supervisors/Foremen";435;1189
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Male";"....Rank-and-File/Production Workers";5222;3288
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"Total";..;..
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"..Total";2442;1730
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"....Managerial/Executive";706;197
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"....Supervisors/Foremen";314;790
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Female";"....Rank-and-File/Production Workers";1421;743
"..Construction";"Both Sexes";"Total";36395;38966
"..Construction";"Both Sexes";"..Total";..;..
"..Construction";"Both Sexes";"....Managerial/Executive";..;..
"..Construction";"Both Sexes";"....Supervisors/Foremen";..;..
"..Construction";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Construction";"..Male";"Total";..;..
"..Construction";"..Male";"..Total";33356;33103
"..Construction";"..Male";"....Managerial/Executive";862;1286
"..Construction";"..Male";"....Supervisors/Foremen";1739;2907
"..Construction";"..Male";"....Rank-and-File/Production Workers";30756;28909
"..Construction";"..Female";"Total";..;..
"..Construction";"..Female";"..Total";3039;5864
"..Construction";"..Female";"....Managerial/Executive";250;602
"..Construction";"..Female";"....Supervisors/Foremen";569;609
"..Construction";"..Female";"....Rank-and-File/Production Workers";2220;4652
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"Total";105590;134660
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"..Total";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"....Managerial/Executive";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"....Supervisors/Foremen";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"Total";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"..Total";62585;71846
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"....Managerial/Executive";3510;5184
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"....Supervisors/Foremen";5560;6404
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Male";"....Rank-and-File/Production Workers";53514;60259
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"Total";..;..
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"..Total";43005;62814
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"....Managerial/Executive";2833;4511
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"....Supervisors/Foremen";5303;6434
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Female";"....Rank-and-File/Production Workers";34869;51870
"..Transportation and Storage";"Both Sexes";"Total";23999;23572
"..Transportation and Storage";"Both Sexes";"..Total";..;..
"..Transportation and Storage";"Both Sexes";"....Managerial/Executive";..;..
"..Transportation and Storage";"Both Sexes";"....Supervisors/Foremen";..;..
"..Transportation and Storage";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Transportation and Storage";"..Male";"Total";..;..
"..Transportation and Storage";"..Male";"..Total";19844;17873
"..Transportation and Storage";"..Male";"....Managerial/Executive";495;749
"..Transportation and Storage";"..Male";"....Supervisors/Foremen";1235;1338
"..Transportation and Storage";"..Male";"....Rank-and-File/Production Workers";18114;15786
"..Transportation and Storage";"..Female";"Total";..;..
"..Transportation and Storage";"..Female";"..Total";4156;5699
"..Transportation and Storage";"..Female";"....Managerial/Executive";359;576
"..Transportation and Storage";"..Female";"....Supervisors/Foremen";404;771
"..Transportation and Storage";"..Female";"....Rank-and-File/Production Workers";3393;4353
"..Accommodation and Food Service Activities";"Both Sexes";"Total";44627;47386
"..Accommodation and Food Service Activities";"Both Sexes";"..Total";..;..
"..Accommodation and Food Service Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Accommodation and Food Service Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Accommodation and Food Service Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Accommodation and Food Service Activities";"..Male";"Total";..;..
"..Accommodation and Food Service Activities";"..Male";"..Total";26187;27730
"..Accommodation and Food Service Activities";"..Male";"....Managerial/Executive";2206;1570
"..Accommodation and Food Service Activities";"..Male";"....Supervisors/Foremen";2609;2975
"..Accommodation and Food Service Activities";"..Male";"....Rank-and-File/Production Workers";21372;23185
"..Accommodation and Food Service Activities";"..Female";"Total";..;..
"..Accommodation and Food Service Activities";"..Female";"..Total";18440;19656
"..Accommodation and Food Service Activities";"..Female";"....Managerial/Executive";2298;2892
"..Accommodation and Food Service Activities";"..Female";"....Supervisors/Foremen";1985;3414
"..Accommodation and Food Service Activities";"..Female";"....Rank-and-File/Production Workers";14157;13351
"..Information and Communication";"Both Sexes";"Total";20964;19197
"..Information and Communication";"Both Sexes";"..Total";..;..
"..Information and Communication";"Both Sexes";"....Managerial/Executive";..;..
"..Information and Communication";"Both Sexes";"....Supervisors/Foremen";..;..
"..Information and Communication";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Information and Communication";"..Male";"Total";..;..
"..Information and Communication";"..Male";"..Total";11637;9905
"..Information and Communication";"..Male";"....Managerial/Executive";564;657
"..Information and Communication";"..Male";"....Supervisors/Foremen";619;1321
"..Information and Communication";"..Male";"....Rank-and-File/Production Workers";10454;7927
"..Information and Communication";"..Female";"Total";..;..
"..Information and Communication";"..Female";"..Total";9328;9292
"..Information and Communication";"..Female";"....Managerial/Executive";400;560
"..Information and Communication";"..Female";"....Supervisors/Foremen";536;796
"..Information and Communication";"..Female";"....Rank-and-File/Production Workers";8391;7936
"..Financial and Insurance Activities";"Both Sexes";"Total";59348;97235
"..Financial and Insurance Activities";"Both Sexes";"..Total";..;..
"..Financial and Insurance Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Financial and Insurance Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Financial and Insurance Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Financial and Insurance Activities";"..Male";"Total";..;..
"..Financial and Insurance Activities";"..Male";"..Total";25461;36117
"..Financial and Insurance Activities";"..Male";"....Managerial/Executive";2657;9552
"..Financial and Insurance Activities";"..Male";"....Supervisors/Foremen";4748;4791
"..Financial and Insurance Activities";"..Male";"....Rank-and-File/Production Workers";18057;21775
"..Financial and Insurance Activities";"..Female";"Total";..;..
"..Financial and Insurance Activities";"..Female";"..Total";33886;61118
"..Financial and Insurance Activities";"..Female";"....Managerial/Executive";2874;16414
"..Financial and Insurance Activities";"..Female";"....Supervisors/Foremen";6770;7208
"..Financial and Insurance Activities";"..Female";"....Rank-and-File/Production Workers";24243;37495
"..Real Estate Activities";"Both Sexes";"Total";5796;3866
"..Real Estate Activities";"Both Sexes";"..Total";..;..
"..Real Estate Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Real Estate Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Real Estate Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Real Estate Activities";"..Male";"Total";..;..
"..Real Estate Activities";"..Male";"..Total";3513;2563
"..Real Estate Activities";"..Male";"....Managerial/Executive";172;619
"..Real Estate Activities";"..Male";"....Supervisors/Foremen";181;325
"..Real Estate Activities";"..Male";"....Rank-and-File/Production Workers";3159;1620
"..Real Estate Activities";"..Female";"Total";..;..
"..Real Estate Activities";"..Female";"..Total";2283;1302
"..Real Estate Activities";"..Female";"....Managerial/Executive";123;374
"..Real Estate Activities";"..Female";"....Supervisors/Foremen";134;276
"..Real Estate Activities";"..Female";"....Rank-and-File/Production Workers";2027;653
"..Professional, Scientific and Technical Activities";"Both Sexes";"Total";17429;15976
"..Professional, Scientific and Technical Activities";"Both Sexes";"..Total";..;..
"..Professional, Scientific and Technical Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Professional, Scientific and Technical Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Professional, Scientific and Technical Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Professional, Scientific and Technical Activities";"..Male";"Total";..;..
"..Professional, Scientific and Technical Activities";"..Male";"..Total";8992;8476
"..Professional, Scientific and Technical Activities";"..Male";"....Managerial/Executive";791;620
"..Professional, Scientific and Technical Activities";"..Male";"....Supervisors/Foremen";1169;765
"..Professional, Scientific and Technical Activities";"..Male";"....Rank-and-File/Production Workers";7032;7091
"..Professional, Scientific and Technical Activities";"..Female";"Total";..;..
"..Professional, Scientific and Technical Activities";"..Female";"..Total";8437;7500
"..Professional, Scientific and Technical Activities";"..Female";"....Managerial/Executive";728;554
"..Professional, Scientific and Technical Activities";"..Female";"....Supervisors/Foremen";1191;962
"..Professional, Scientific and Technical Activities";"..Female";"....Rank-and-File/Production Workers";6519;5984
"..Administrative and Support Service Activities";"Both Sexes";"Total";164037;153706
"..Administrative and Support Service Activities";"Both Sexes";"..Total";..;..
"..Administrative and Support Service Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Administrative and Support Service Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Administrative and Support Service Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Administrative and Support Service Activities";"..Male";"Total";..;..
"..Administrative and Support Service Activities";"..Male";"..Total";89294;86690
"..Administrative and Support Service Activities";"..Male";"....Managerial/Executive";1233;1632
"..Administrative and Support Service Activities";"..Male";"....Supervisors/Foremen";3865;6134
"..Administrative and Support Service Activities";"..Male";"....Rank-and-File/Production Workers";84196;78924
"..Administrative and Support Service Activities";"..Female";"Total";..;..
"..Administrative and Support Service Activities";"..Female";"..Total";74743;67016
"..Administrative and Support Service Activities";"..Female";"....Managerial/Executive";1218;2028
"..Administrative and Support Service Activities";"..Female";"....Supervisors/Foremen";3562;3797
"..Administrative and Support Service Activities";"..Female";"....Rank-and-File/Production Workers";69963;61190
"..Education Except Public Education";"Both Sexes";"Total";43656;46715
"..Education Except Public Education";"Both Sexes";"..Total";..;..
"..Education Except Public Education";"Both Sexes";"....Managerial/Executive";..;..
"..Education Except Public Education";"Both Sexes";"....Supervisors/Foremen";..;..
"..Education Except Public Education";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Education Except Public Education";"..Male";"Total";..;..
"..Education Except Public Education";"..Male";"..Total";16912;17745
"..Education Except Public Education";"..Male";"....Managerial/Executive";902;989
"..Education Except Public Education";"..Male";"....Supervisors/Foremen";1163;1660
"..Education Except Public Education";"..Male";"....Rank-and-File/Production Workers";14847;15096
"..Education Except Public Education";"..Female";"Total";..;..
"..Education Except Public Education";"..Female";"..Total";26744;28970
"..Education Except Public Education";"..Female";"....Managerial/Executive";1161;1947
"..Education Except Public Education";"..Female";"....Supervisors/Foremen";1689;2210
"..Education Except Public Education";"..Female";"....Rank-and-File/Production Workers";23894;24813
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"Total";35450;30921
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"..Total";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"Total";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"..Total";11574;10667
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"....Managerial/Executive";551;389
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"....Supervisors/Foremen";856;926
"..Human Health and Social Work Activities Except Public Health Activities";"..Male";"....Rank-and-File/Production Workers";10166;9352
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"Total";..;..
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"..Total";23877;20254
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"....Managerial/Executive";814;812
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"....Supervisors/Foremen";1852;1818
"..Human Health and Social Work Activities Except Public Health Activities";"..Female";"....Rank-and-File/Production Workers";21211;17623
"..Arts, Entertainment and  Recreation";"Both Sexes";"Total";2401;4727
"..Arts, Entertainment and  Recreation";"Both Sexes";"..Total";..;..
"..Arts, Entertainment and  Recreation";"Both Sexes";"....Managerial/Executive";..;..
"..Arts, Entertainment and  Recreation";"Both Sexes";"....Supervisors/Foremen";..;..
"..Arts, Entertainment and  Recreation";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Arts, Entertainment and  Recreation";"..Male";"Total";..;..
"..Arts, Entertainment and  Recreation";"..Male";"..Total";1403;2484
"..Arts, Entertainment and  Recreation";"..Male";"....Managerial/Executive";89;265
"..Arts, Entertainment and  Recreation";"..Male";"....Supervisors/Foremen";132;114
"..Arts, Entertainment and  Recreation";"..Male";"....Rank-and-File/Production Workers";1182;2105
"..Arts, Entertainment and  Recreation";"..Female";"Total";..;..
"..Arts, Entertainment and  Recreation";"..Female";"..Total";997;2244
"..Arts, Entertainment and  Recreation";"..Female";"....Managerial/Executive";99;44
"..Arts, Entertainment and  Recreation";"..Female";"....Supervisors/Foremen";141;248
"..Arts, Entertainment and  Recreation";"..Female";"....Rank-and-File/Production Workers";757;1951
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"Total";3012;1236
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"..Total";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"....Managerial/Executive";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"....Supervisors/Foremen";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Both Sexes";"....Rank-and-File/Production Workers";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"Total";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"..Total";1361;862
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"....Managerial/Executive";78;66
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"....Supervisors/Foremen";76;374
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Male";"....Rank-and-File/Production Workers";1207;422
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"Total";..;..
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"..Total";1651;374
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"....Managerial/Executive";106;66
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"....Supervisors/Foremen";142;162
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Female";"....Rank-and-File/Production Workers";1403;146
