"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Type of Assistance Provided and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/8751B3GP171.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Type of Assistance Provided";"2015"
"..Information and Communication";"Skills Assessment and Certification";0
"..Information and Communication";"Technology Acquisition or Upgrade";0
"..Information and Communication";"Credit/Finacial Assistance";0
"..Information and Communication";"Information/Advice";7
"..Information and Communication";"Others";1
"..Information and Communication";"None";34
"..Financial and Insurance Activities";"Total Productivity Programs Implemented";177
"..Financial and Insurance Activities";"Skills Training or Upgrading";38
"..Financial and Insurance Activities";"Skills Assessment and Certification";22
"..Financial and Insurance Activities";"Technology Acquisition or Upgrade";1
"..Financial and Insurance Activities";"Credit/Finacial Assistance";2
"..Financial and Insurance Activities";"Information/Advice";25
"..Financial and Insurance Activities";"Others";2
"..Financial and Insurance Activities";"None";120
"..Real Estate Activities";"Total Productivity Programs Implemented";31
"..Real Estate Activities";"Skills Training or Upgrading";18
"..Real Estate Activities";"Skills Assessment and Certification";16
"..Real Estate Activities";"Technology Acquisition or Upgrade";8
"..Real Estate Activities";"Credit/Finacial Assistance";7
"..Real Estate Activities";"Information/Advice";2
"..Real Estate Activities";"Others";0
"..Real Estate Activities";"None";7
"..Professional, Scientific and Technical Activities";"Total Productivity Programs Implemented";61
"..Professional, Scientific and Technical Activities";"Skills Training or Upgrading";25
"..Professional, Scientific and Technical Activities";"Skills Assessment and Certification";24
"..Professional, Scientific and Technical Activities";"Technology Acquisition or Upgrade";6
"..Professional, Scientific and Technical Activities";"Credit/Finacial Assistance";0
"..Professional, Scientific and Technical Activities";"Information/Advice";31
"..Professional, Scientific and Technical Activities";"Others";7
"..Professional, Scientific and Technical Activities";"None";9
"..Administrative and Support Service Activities";"Total Productivity Programs Implemented";133
"..Administrative and Support Service Activities";"Skills Training or Upgrading";37
"..Administrative and Support Service Activities";"Skills Assessment and Certification";10
"..Administrative and Support Service Activities";"Technology Acquisition or Upgrade";6
"..Administrative and Support Service Activities";"Credit/Finacial Assistance";3
"..Administrative and Support Service Activities";"Information/Advice";25
"..Administrative and Support Service Activities";"Others";2
"..Administrative and Support Service Activities";"None";67
"..Education Except Public Education";"Total Productivity Programs Implemented";255
"..Education Except Public Education";"Skills Training or Upgrading";75
"..Education Except Public Education";"Skills Assessment and Certification";41
"..Education Except Public Education";"Technology Acquisition or Upgrade";0
"..Education Except Public Education";"Credit/Finacial Assistance";0
"..Education Except Public Education";"Information/Advice";23
"..Education Except Public Education";"Others";11
"..Education Except Public Education";"None";118
"..Human Health and Social Work Activities Except Public Health Activities";"Total Productivity Programs Implemented";127
"..Human Health and Social Work Activities Except Public Health Activities";"Skills Training or Upgrading";25
"..Human Health and Social Work Activities Except Public Health Activities";"Skills Assessment and Certification";14
"..Human Health and Social Work Activities Except Public Health Activities";"Technology Acquisition or Upgrade";3
"..Human Health and Social Work Activities Except Public Health Activities";"Credit/Finacial Assistance";7
"..Human Health and Social Work Activities Except Public Health Activities";"Information/Advice";30
"..Human Health and Social Work Activities Except Public Health Activities";"Others";5
"..Human Health and Social Work Activities Except Public Health Activities";"None";74
"..Arts, Entertainment and Recreation";"Total Productivity Programs Implemented";18
"..Arts, Entertainment and Recreation";"Skills Training or Upgrading";7
"..Arts, Entertainment and Recreation";"Skills Assessment and Certification";0
"..Arts, Entertainment and Recreation";"Technology Acquisition or Upgrade";0
"..Arts, Entertainment and Recreation";"Credit/Finacial Assistance";0
"..Arts, Entertainment and Recreation";"Information/Advice";9
"..Arts, Entertainment and Recreation";"Others";0
"..Arts, Entertainment and Recreation";"None";3
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Productivity Programs Implemented";18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Skills Training or Upgrading";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Skills Assessment and Certification";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Technology Acquisition or Upgrade";8
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Credit/Finacial Assistance";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Information/Advice";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Others";0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"None";3
