"Number of Establishments Employing 20 or More Workers by Business Recovery Measures/Actions for the Next Six Months and Major Industry Group, Philippines:  June 30, 2020"

"Major Industry Group";"Business Recovery Measures/Actions for the Next Six Months";"2020"
"..Education Except Public Education";"....Apply for bankruptcy";2
"..Education Except Public Education";"....Others";481
"..Education Except Public Education";"..None";2079
"..Human Health and Social Work Activities Except Public Health Activities";"Total Establishments";1378
"..Human Health and Social Work Activities Except Public Health Activities";"..Total Establishments with Business Recovery Measures/Actions";502
"..Human Health and Social Work Activities Except Public Health Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";137
"..Human Health and Social Work Activities Except Public Health Activities";"....Request lending institutions for delayed repayment of loans";60
"..Human Health and Social Work Activities Except Public Health Activities";"....Reduce employees' wages/salaries";260
"..Human Health and Social Work Activities Except Public Health Activities";"....Lay-off workers";131
"..Human Health and Social Work Activities Except Public Health Activities";"....Cancel contracts with suppliers";5
"..Human Health and Social Work Activities Except Public Health Activities";"....Apply for bankruptcy";0
"..Human Health and Social Work Activities Except Public Health Activities";"....Others";66
"..Human Health and Social Work Activities Except Public Health Activities";"..None";876
"..Arts, Entertainment and  Recreation";"Total Establishments";202
"..Arts, Entertainment and  Recreation";"..Total Establishments with Business Recovery Measures/Actions";81
"..Arts, Entertainment and  Recreation";"....Request the government for delayed payments on taxes, SSS contributions, etc.";14
"..Arts, Entertainment and  Recreation";"....Request lending institutions for delayed repayment of loans";2
"..Arts, Entertainment and  Recreation";"....Reduce employees' wages/salaries";2
"..Arts, Entertainment and  Recreation";"....Lay-off workers";41
"..Arts, Entertainment and  Recreation";"....Cancel contracts with suppliers";2
"..Arts, Entertainment and  Recreation";"....Apply for bankruptcy";0
"..Arts, Entertainment and  Recreation";"....Others";28
"..Arts, Entertainment and  Recreation";"..None";121
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Establishments";317
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Total Establishments with Business Recovery Measures/Actions";168
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Request the government for delayed payments on taxes, SSS contributions, etc.";92
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Request lending institutions for delayed repayment of loans";59
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Reduce employees' wages/salaries";15
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Lay-off workers";31
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Cancel contracts with suppliers";15
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Apply for bankruptcy";15
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Others";46
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..None";148
